,WasherDryer,TumbleDryer,BaseLoad,P_EV
2024-01-04 16:30:00,0.001,0.001,0.3774121973529143,0.0
2024-01-04 16:45:00,0.001,0.001,0.20925219735291428,0.0
2024-01-04 17:00:00,0.001,0.001,0.20925219735291428,0.0
2024-01-04 17:15:00,0.001,0.001,0.34858553068624765,0.0
2024-01-04 17:30:00,0.001,0.001,0.384527838588221,0.0
2024-01-04 17:45:00,0.001,0.001,0.2397,0.0
2024-01-04 18:00:00,0.001,0.001,0.3327,0.0
2024-01-04 18:15:00,0.001,0.001,0.2087,0.0
2024-01-04 18:30:00,0.001,0.001,0.1777,0.0
2024-01-04 18:45:00,0.001,0.001,0.3550333333333333,0.0
2024-01-04 19:00:00,0.001,0.001,0.3297,0.0
2024-01-04 19:15:00,0.001,0.001,0.18847014649019428,0.0
2024-01-04 19:30:00,0.001,0.001,0.482118864019581,0.0
2024-01-04 19:45:00,0.001,0.001,0.4362521973529143,0.0
2024-01-04 20:00:00,0.001,0.001,0.37962102356740957,0.0
2024-01-04 20:15:00,0.001,0.001,0.541609273058921,0.0
2024-01-04 20:30:00,0.001,0.001,0.45397245990206014,0.0
2024-01-04 20:45:00,0.001,0.001,0.6865237423726734,0.0
2024-01-04 21:00:00,0.001,0.001,2.5244620204314776,0.0
2024-01-04 21:15:00,0.001,0.001,2.0524210235674096,0.0
2024-01-04 21:30:00,0.001,0.001,0.30589593972558776,0.0
2024-01-04 21:45:00,0.001,0.001,0.39637593972558777,0.0
2024-01-04 22:00:00,0.001,0.001,0.3828692730589211,0.0
2024-01-04 22:15:00,0.001,0.001,0.27781607884193904,0.0
2024-01-04 22:30:00,0.001,0.001,0.34152374237267347,0.0
2024-01-04 22:45:00,0.001,0.001,0.47393766166678397,0.0
2024-01-04 23:00:00,0.001,0.001,0.5054092730589211,0.0
2024-01-04 23:15:00,0.001,0.001,0.5240092730589211,0.0
2024-01-04 23:30:00,0.001,0.001,0.25907593972558784,0.0
2024-01-04 23:45:00,0.001,0.001,0.2087252165124098,0.0
2024-01-05 00:00:00,0.001,0.001,0.19032087894116573,0.0
2024-01-05 00:15:00,0.001,0.001,0.33671886401958095,0.0
2024-01-05 00:30:00,0.001,0.001,0.48558553068624766,0.0
2024-01-05 00:45:00,0.001,0.001,0.4122521973529143,0.0
2024-01-05 01:00:00,0.001,0.001,0.2222521973529143,0.0
2024-01-05 01:15:00,0.001,0.001,0.21878553068624765,0.0
2024-01-05 01:30:00,0.001,0.001,0.18190695964705525,0.0
2024-01-05 01:45:00,0.001,0.001,0.804318864019581,0.0
2024-01-05 02:00:00,0.001,0.001,0.5415855306862477,0.0
2024-01-05 02:15:00,0.001,0.001,0.39225219735291433,0.0
2024-01-05 02:30:00,0.001,0.001,0.20925219735291428,0.0
2024-01-05 02:45:00,0.001,0.001,0.20925219735291428,0.0
2024-01-05 03:00:00,0.001,0.001,0.09080754560783239,0.0
2024-01-05 03:15:00,0.001,0.001,0.06733333333333333,0.0
2024-01-05 03:30:00,0.001,0.001,0.38699999999999996,0.0
2024-01-05 03:45:00,0.001,0.001,0.24900000000000003,0.0
2024-01-05 04:00:00,0.001,0.001,0.042,0.0
2024-01-05 04:15:00,0.001,0.001,0.042,0.0
2024-01-05 04:30:00,0.001,0.001,0.042,0.0
2024-01-05 04:45:00,0.001,0.001,0.10533333333333333,0.0
2024-01-05 05:00:00,0.001,0.001,0.325,0.0
2024-01-05 05:15:00,0.001,0.001,0.6728000000000001,0.0
2024-01-05 05:30:00,0.001,0.001,0.042,0.0
2024-01-05 05:45:00,0.001,0.001,0.042,6.533333333333333
2024-01-05 06:00:00,0.001,0.001,0.042,1.4
2024-01-05 06:15:00,0.001,0.001,0.15546666666666667,0.0
2024-01-05 06:30:00,0.001,0.001,0.27599999999999997,0.0
2024-01-05 06:45:00,0.001,0.001,0.24799999999999997,0.0
2024-01-05 07:00:00,0.001,0.001,0.11526666666666666,0.0
2024-01-05 07:15:00,0.001,0.001,0.042,0.0
2024-01-05 07:30:00,0.001,0.001,0.042,0.0
2024-01-05 07:45:00,0.001,0.001,0.18133333333333335,0.0
2024-01-05 08:00:00,0.001,0.001,0.49853333333333333,0.0
2024-01-05 08:15:00,0.001,0.001,0.30446666666666666,0.0
2024-01-05 08:30:00,0.001,0.001,0.18057649898302314,0.0
2024-01-05 08:45:00,0.001,0.001,0.06682374237267351,0.0
2024-01-05 09:00:00,0.001,0.001,0.4666237423726735,0.0
2024-01-05 09:15:00,0.001,0.001,0.23462374237267353,0.0
2024-01-05 09:30:00,0.001,0.001,0.3187570757060068,0.0
2024-01-05 09:45:00,0.001,0.001,0.23556091209027077,0.0
2024-01-05 10:00:00,0.001,0.001,2.4101333333333335,0.0
2024-01-05 10:15:00,0.001,0.001,1.2770000000000001,0.0
2024-01-05 10:30:00,0.001,0.001,0.14274666666666666,0.0
2024-01-05 10:45:00,0.001,0.001,1.55924,0.0
2024-01-05 11:00:00,0.001,0.001,1.3242666666666667,0.0
2024-01-05 11:15:00,0.001,0.001,0.20292000000000002,0.0
2024-01-05 11:30:00,0.001,0.001,0.318,0.0
2024-01-05 11:45:00,0.001,0.001,0.269,0.0
2024-01-05 12:00:00,0.001,0.001,0.23933333333333331,0.0
2024-01-05 12:15:00,0.001,0.001,1.336117399117638,0.0
2024-01-05 12:30:00,0.001,0.001,2.4426188640195807,0.0
2024-01-05 12:45:00,0.001,0.001,0.33821886401958096,0.0
2024-01-05 13:00:00,0.001,0.001,0.839136610460162,0.0
2024-01-05 13:15:00,0.001,0.001,0.3743759397255878,0.0
2024-01-05 13:30:00,0.001,0.001,0.3172426063922545,0.0
2024-01-05 13:45:00,0.001,0.001,0.3774446213138392,0.0
2024-01-05 14:00:00,0.001,0.001,0.21282374237267349,0.0
2024-01-05 14:15:00,0.001,0.001,2.2202647484745346,0.0
2024-01-05 14:30:00,0.001,0.001,1.2108139100563169,0.0
2024-01-05 14:45:00,0.001,0.001,0.4655237423726735,0.0
2024-01-05 15:00:00,0.001,0.001,0.5118570757060069,0.0
2024-01-05 15:15:00,0.001,0.001,0.5005237423726735,0.0
2024-01-05 15:30:00,0.001,0.001,0.30894724338965035,0.0
2024-01-05 15:45:00,0.001,0.001,0.3105237423726735,0.0
2024-01-05 16:00:00,0.001,0.001,0.19759040903934016,0.9333333333333333
2024-01-05 16:15:00,0.001,0.001,0.3135237423726735,7.0
2024-01-05 16:30:00,0.001,0.001,0.5139953537648106,1.4
2024-01-05 16:45:00,0.001,0.001,0.3659816943019837,0.0
2024-01-05 17:00:00,0.001,0.001,0.20925219735291428,0.0
2024-01-05 17:15:00,0.001,0.001,0.7446836124941157,0.0
2024-01-05 17:30:00,0.001,0.001,0.3314759397255878,0.0
2024-01-05 17:45:00,0.001,0.001,0.28106403535306207,0.0
2024-01-05 18:00:00,0.001,0.001,0.5597655002550049,0.0
2024-01-05 18:15:00,0.001,0.001,0.4306092730589211,0.0
2024-01-05 18:30:00,0.001,0.001,0.3420759397255878,0.0
2024-01-05 18:45:00,0.001,0.001,0.3420759397255878,0.0
2024-01-05 19:00:00,0.001,0.001,0.2877959397255878,0.0
2024-01-05 19:15:00,0.001,0.001,0.7943620204314773,0.0
2024-01-05 19:30:00,0.001,0.001,0.586091873941283,0.0
2024-01-05 19:45:00,0.001,0.001,0.3814051953189606,0.0
2024-01-05 20:00:00,0.001,0.001,0.20925219735291428,0.0
2024-01-05 20:15:00,0.001,0.001,0.22028769023407627,0.0
