,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-12 05:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 05:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 05:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 06:00:00,0.001,0.0,0.001,0.18633333333333332,0.0
2024-01-12 06:15:00,0.001,0.0,0.001,0.237,0.0
2024-01-12 06:30:00,0.001,0.0,0.001,0.059666666666666666,0.0
2024-01-12 06:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 07:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 07:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 07:30:00,0.001,0.0,0.001,0.22433333333333333,0.0
2024-01-12 07:45:00,0.001,0.0,0.001,0.21166666666666664,0.0
2024-01-12 08:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 08:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 08:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 08:45:00,0.001,0.0,0.001,0.07233333333333333,0.0
2024-01-12 09:00:00,0.001,0.0,0.001,0.237,0.0
2024-01-12 09:15:00,0.001,0.0,0.001,0.17366666666666666,0.0
2024-01-12 09:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 09:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 10:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 10:15:00,0.001,0.0,0.001,0.11033333333333334,0.0
2024-01-12 10:30:00,0.001,0.0,0.001,0.237,0.0
2024-01-12 10:45:00,0.001,0.0,0.001,0.13566666666666669,0.0
2024-01-12 11:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 11:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 11:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 11:45:00,0.001,0.0,0.001,0.14833333333333334,0.0
2024-01-12 12:00:00,0.001,0.0,0.001,0.237,0.0
2024-01-12 12:15:00,0.001,0.0,0.001,0.09766666666666665,0.0
2024-01-12 12:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 12:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 13:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 13:15:00,0.001,0.0,0.001,0.18633333333333332,0.0
2024-01-12 13:30:00,0.001,0.0,0.001,0.237,0.0
2024-01-12 13:45:00,0.001,0.0,0.001,0.059666666666666666,0.0
2024-01-12 14:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 14:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 14:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 14:45:00,0.001,0.0,0.001,0.22433333333333333,0.0
2024-01-12 15:00:00,0.001,0.0,0.001,0.21166666666666664,0.0
2024-01-12 15:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 15:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 15:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 16:00:00,0.001,0.0,0.001,0.07233333333333333,0.0
2024-01-12 16:15:00,0.001,0.0,0.001,0.237,0.0
2024-01-12 16:30:00,0.001,0.0,0.001,0.17366666666666666,0.0
2024-01-12 16:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 17:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 17:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 17:30:00,0.001,0.0,0.001,0.11033333333333334,0.0
2024-01-12 17:45:00,0.001,0.0,0.001,0.237,0.0
2024-01-12 18:00:00,0.001,0.0,0.001,0.13566666666666669,0.0
2024-01-12 18:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 18:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 18:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 19:00:00,0.001,0.0,0.001,0.14833333333333334,0.0
2024-01-12 19:15:00,0.001,0.0,0.001,0.237,0.0
2024-01-12 19:30:00,0.001,0.0,0.001,0.09766666666666665,0.0
2024-01-12 19:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 20:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 20:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 20:30:00,0.001,0.0,0.001,0.18633333333333332,0.0
2024-01-12 20:45:00,0.001,0.0,0.001,0.237,0.0
2024-01-12 21:00:00,0.001,0.0,0.001,0.059666666666666666,0.0
2024-01-12 21:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 21:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 21:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 22:00:00,0.001,0.0,0.001,0.22433333333333333,0.0
2024-01-12 22:15:00,0.001,0.0,0.001,0.21797710613724952,0.0
2024-01-12 22:30:00,0.001,0.0,0.001,0.07855219735291431,0.0
2024-01-12 22:45:00,0.001,0.0,0.001,0.623138864019581,0.0
2024-01-12 23:00:00,0.001,0.0,0.001,0.1995521973529143,0.0
2024-01-12 23:15:00,0.001,0.0,0.001,0.23434452458438643,1.2
2024-01-12 23:30:00,0.001,0.0,0.001,0.3698237423726735,3.0
2024-01-12 23:45:00,0.001,0.0,0.001,0.30649040903934016,0.4
2024-01-13 00:00:00,0.001,0.0,0.001,0.1072237423726735,0.0
2024-01-13 00:15:00,0.001,0.0,0.001,0.0588237423726735,0.0
2024-01-13 00:30:00,0.001,0.0,0.001,0.04857649898302314,0.0
2024-01-13 00:45:00,0.001,0.0,0.001,0.11033333333333334,0.0
2024-01-13 01:00:00,0.001,0.0,0.001,0.237,0.0
2024-01-13 01:15:00,0.001,0.0,0.001,0.13566666666666669,0.0
2024-01-13 01:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-13 01:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-13 02:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-13 02:15:00,0.001,0.0,0.001,0.14833333333333334,0.0
