,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-05 07:15:00,0.001,0.3255333333333333,0.0,2.3333333333333335
2024-01-05 07:30:00,0.001,0.3246666666666666,0.0,0.0
2024-01-05 07:45:00,0.001,0.19799999999999998,0.0,0.0
2024-01-05 08:00:00,0.001,0.13466666666666666,0.0,0.0
2024-01-05 08:15:00,0.001,0.046,0.0,0.0
2024-01-05 08:30:00,0.001,0.31253333333333333,0.0,0.0
2024-01-05 08:45:00,0.001,0.31253333333333333,0.0,2.6666666666666665
2024-01-05 09:00:00,0.001,0.1029726625987592,0.0,2.6666666666666665
2024-01-05 09:15:00,0.001,0.24782374237267352,0.0,1.6666666666666667
2024-01-05 09:30:00,0.001,0.0578237423726735,0.0,1.0
2024-01-05 09:45:00,0.001,0.06735707570600685,0.0,0.0
2024-01-05 10:00:00,0.001,0.07082374237267351,0.0,0.0
2024-01-05 10:15:00,0.1343270449307853,0.07082374237267351,3.6666666666666665,1.0
2024-01-05 10:30:00,0.3980656350139567,0.2014863312993796,6.6,1.3333333333333333
2024-01-05 10:45:00,0.7000993479286205,0.4242666666666667,0.0,0.0
2024-01-05 11:00:00,0.1361017319839218,0.3168666666666667,0.0,0.0
2024-01-05 11:15:00,0.2459531966181246,0.059000000000000004,0.0,3.0
2024-01-05 11:30:00,1.262108895437139,0.059000000000000004,0.0,0.0
2024-01-05 11:45:00,0.4280888661194665,0.0944,0.0,1.6666666666666667
2024-01-05 12:00:00,0.11063258560186728,0.23600000000000002,0.0,2.0
2024-01-05 12:15:00,0.2961313106793138,0.058666666666666666,0.0,0.0
2024-01-05 12:30:00,0.3235509140948796,0.046,0.0,0.0
2024-01-05 12:45:00,0.001,0.046,0.0,0.0
2024-01-05 13:00:00,0.001,0.046,0.0,0.0
2024-01-05 13:15:00,0.001,0.17266666666666666,0.0,2.3333333333333335
2024-01-05 13:30:00,0.001,0.16,0.0,0.0
2024-01-05 13:45:00,0.001,0.046,0.0,3.6666666666666665
2024-01-05 14:00:00,0.001,0.046,0.0,0.0
2024-01-05 14:15:00,0.001,0.046,0.0,0.0
2024-01-05 14:30:00,0.001,0.07133333333333332,0.0,0.0
2024-01-05 14:45:00,0.001,0.7690666666666667,0.0,0.0
2024-01-05 15:00:00,0.001,0.07133333333333333,0.0,0.0
2024-01-05 15:15:00,0.001,0.046,0.0,3.0
2024-01-05 15:30:00,0.001,0.046,0.0,0.0
2024-01-05 15:45:00,0.001,0.11053333333333334,0.0,1.3333333333333333
2024-01-05 16:00:00,0.001,1.0806,0.0,3.0
2024-01-05 16:15:00,0.001,0.7003999999999999,0.0,0.0
2024-01-05 16:30:00,0.001,0.40158666666666665,0.0,0.6666666666666666
2024-01-05 16:45:00,0.001,0.5884707444066273,0.0,1.6666666666666667
2024-01-05 17:00:00,0.001,0.09415707570600684,0.0,0.0
2024-01-05 17:15:00,0.001,0.08349040903934019,0.0,2.6666666666666665
2024-01-05 17:30:00,0.001,0.26082374237267353,0.0,0.0
2024-01-05 17:45:00,0.001,0.10882374237267352,0.0,0.0
2024-01-05 18:00:00,0.001,0.7980904090393401,3.6666666666666665,0.0
2024-01-05 18:15:00,0.001,1.538576498983023,11.0,0.0
2024-01-05 18:30:00,0.001,1.3729647484745346,4.4,0.0
2024-01-05 18:45:00,0.001,1.44169040903934,0.0,2.3333333333333335
2024-01-05 19:00:00,0.001,2.8124904090393406,0.0,0.3333333333333333
2024-01-05 19:15:00,0.001,0.3008237423726735,0.0,3.3333333333333335
2024-01-05 19:30:00,0.001,0.2926904090393402,0.0,0.0
2024-01-05 19:45:00,0.001,0.3008237423726735,0.0,0.0
2024-01-05 20:00:00,0.001,0.3008237423726735,0.0,0.0
2024-01-05 20:15:00,0.001,0.6012237423726735,0.0,0.0
2024-01-05 20:30:00,0.001,0.3514904090393402,0.0,0.0
2024-01-05 20:45:00,0.001,0.7006237423726736,0.0,0.0
2024-01-05 21:00:00,0.001,0.7110237423726736,0.0,0.0
2024-01-05 21:15:00,0.001,0.24875707570600683,0.0,2.3333333333333335
2024-01-05 21:30:00,0.001,0.37829040903934014,0.0,3.6666666666666665
2024-01-05 21:45:00,0.001,0.3448237423726735,0.0,1.0
2024-01-05 22:00:00,0.001,0.22909040903934016,0.0,0.0
2024-01-05 22:15:00,0.001,0.3008237423726735,0.0,2.3333333333333335
2024-01-05 22:30:00,0.001,0.3008237423726735,0.0,0.0
2024-01-05 22:45:00,0.001,0.3008237423726735,0.0,4.666666666666667
2024-01-05 23:00:00,0.001,0.47815707570600685,0.0,0.0
2024-01-05 23:15:00,0.001,0.35785107977391434,0.0,0.0
2024-01-05 23:30:00,0.001,0.289,0.0,0.0
2024-01-05 23:45:00,0.001,0.289,0.0,0.0
2024-01-06 00:00:00,0.001,0.15926666666666664,0.0,3.0
2024-01-06 00:15:00,0.001,0.12199999999999998,0.0,0.3333333333333333
2024-01-06 00:30:00,0.001,0.21066666666666664,0.0,3.0
2024-01-06 00:45:00,0.001,0.046,0.0,0.0
2024-01-06 01:00:00,0.001,0.046,0.0,0.0
2024-01-06 01:15:00,0.001,0.046,0.0,0.0
2024-01-06 01:30:00,0.001,0.4458,0.0,0.0
2024-01-06 01:45:00,0.001,0.21066666666666664,0.0,0.3333333333333333
2024-01-06 02:00:00,0.001,0.12199999999999998,0.0,4.333333333333333
2024-01-06 02:15:00,0.001,0.046,0.0,0.0
2024-01-06 02:30:00,0.001,0.046,0.0,0.0
2024-01-06 02:45:00,0.001,0.046,0.0,0.0
2024-01-06 03:00:00,0.001,0.10933333333333332,0.0,0.0
2024-01-06 03:15:00,0.001,0.2233333333333333,0.0,0.0
2024-01-06 03:30:00,0.001,0.046,0.0,0.0
2024-01-06 03:45:00,0.001,0.046,0.0,0.0
