,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-04 19:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 20:00:00,0.0,0.001,0.06966666666666667,0.0,0.0
2024-01-04 20:15:00,0.0,0.001,0.204,0.0,0.0
2024-01-04 20:30:00,0.0,0.001,0.25033333333333335,0.0,0.5333333333333333
2024-01-04 20:45:00,0.0,0.001,0.16299999999999998,0.0,1.6
2024-01-04 21:00:00,0.0,0.001,0.44880000000000003,0.0,0.0
2024-01-04 21:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 21:30:00,0.0,0.001,0.14906666666666668,0.0,0.0
2024-01-04 21:45:00,0.0,0.001,0.44003681315686094,0.0,0.0
2024-01-04 22:00:00,0.0,0.001,0.46755219735291426,0.0,0.0
2024-01-04 22:15:00,0.0,0.001,0.4618855306862476,0.0,0.0
2024-01-04 22:30:00,0.0,0.001,0.33122294175954153,0.0,0.0
2024-01-04 22:45:00,0.0,0.001,0.2375759397255878,0.0,0.0
2024-01-04 23:00:00,0.0,0.001,0.2374724599020602,0.0,0.0
2024-01-04 23:15:00,0.0,0.001,0.7488904090393402,0.0,0.0
2024-01-04 23:30:00,0.0,0.001,0.1494904090393402,0.0,0.0
2024-01-04 23:45:00,0.0,0.001,0.21603141514120136,0.0,0.0
2024-01-05 00:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 00:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 00:30:00,0.0,0.001,0.16266666666666665,0.0,0.0
2024-01-05 00:45:00,0.0,0.001,0.173,0.0,0.0
2024-01-05 01:00:00,0.0,0.001,0.11233333333333334,0.0,0.0
2024-01-05 01:15:00,0.0,0.001,0.239,0.0,0.0
2024-01-05 01:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 01:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 02:00:00,0.0,0.001,0.19366666666666665,0.0,0.0
2024-01-05 02:15:00,0.0,0.001,0.142,0.0,0.0
2024-01-05 02:30:00,0.0,0.001,0.4868,0.0,0.0
2024-01-05 02:45:00,0.0,0.001,0.239,0.0,0.0
2024-01-05 03:00:00,0.0,0.001,0.07433333333333333,0.0,0.0
2024-01-05 03:15:00,0.0,0.001,0.06966666666666667,0.0,0.0
2024-01-05 03:30:00,0.0,0.001,0.7370666666666666,0.0,0.0
2024-01-05 03:45:00,0.0,0.001,0.111,0.0,0.0
2024-01-05 04:00:00,0.0,0.001,0.06166666666666667,0.0,1.6
2024-01-05 04:15:00,0.0,0.001,0.239,0.0,0.0
2024-01-05 04:30:00,0.0,0.001,0.09966666666666665,0.0,3.466666666666667
2024-01-05 04:45:00,0.0,0.001,0.10066666666666667,0.0,0.5333333333333333
2024-01-05 05:00:00,0.0,0.001,0.204,0.0,0.0
2024-01-05 05:15:00,0.0,0.001,0.08,0.0,0.0
2024-01-05 05:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 05:45:00,0.0,0.001,0.7594,0.0,0.0
2024-01-05 06:00:00,0.0,0.001,0.125,0.0,0.0
2024-01-05 06:15:00,0.0,0.001,0.13166666666666665,0.0,0.0
2024-01-05 06:30:00,0.0,0.001,0.204,0.0,0.0
2024-01-05 06:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 07:00:00,0.0,0.001,0.05246666666666667,0.0,2.4
2024-01-05 07:15:00,0.0,0.001,0.214,0.0,0.0
2024-01-05 07:30:00,0.0,0.001,0.16333333333333336,0.0,0.0
2024-01-05 07:45:00,0.0,0.001,0.17566666666666667,0.0,0.0
2024-01-05 08:00:00,0.0,0.001,0.186,0.0,0.0
2024-01-05 08:15:00,0.0,0.001,0.04986666666666666,0.0,0.0
2024-01-05 08:30:00,0.0,0.001,0.5820666666666666,0.0,0.0
2024-01-05 08:45:00,0.0,0.001,0.17566666666666667,0.0,0.0
2024-01-05 09:00:00,0.0,0.001,0.17566666666666667,0.0,0.0
2024-01-05 09:15:00,0.0,0.001,0.19366666666666665,0.0,1.0666666666666667
2024-01-05 09:30:00,0.0,0.001,0.142,0.0,1.3333333333333333
2024-01-05 09:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 10:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 10:15:00,0.0,0.001,0.15033333333333332,0.0,0.0
2024-01-05 10:30:00,0.0,0.001,0.22166666666666665,0.0,0.0
2024-01-05 10:45:00,0.0,0.001,0.204,0.0,0.0
2024-01-05 11:00:00,0.0,0.001,0.111,0.0,0.0
2024-01-05 11:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 11:30:00,0.0,0.001,0.44880000000000003,0.0,0.0
2024-01-05 11:45:00,0.0,0.001,0.125,0.0,1.0666666666666667
2024-01-05 12:00:00,0.0,0.001,0.27799999999999997,0.0,1.3333333333333333
2024-01-05 12:15:00,0.0,0.001,0.204,14.0,0.0
2024-01-05 12:30:00,0.0,0.001,0.08,0.0,0.0
2024-01-05 12:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 13:00:00,0.0,0.001,0.5820666666666666,0.0,0.0
2024-01-05 13:15:00,0.0,0.001,0.09966666666666667,0.0,0.0
2024-01-05 13:30:00,0.0,0.001,0.32166666666666666,0.0,0.0
2024-01-05 13:45:00,0.0,0.001,0.21666666666666667,0.0,0.0
