,BaseLoad,P_HP,P_WB
2024-01-12 10:15:00,0.8739570757060069,0.0,1.5
2024-01-12 10:30:00,0.27695707570600686,0.0,0.2
2024-01-12 10:45:00,0.06775707570600684,0.0,0.0
2024-01-12 11:00:00,0.0738237423726735,0.0,0.0
2024-01-12 11:15:00,0.06357649898302313,0.0,0.1
2024-01-12 11:30:00,0.12273333333333333,0.0,0.9
2024-01-12 11:45:00,0.239,2.3333333333333335,0.0
2024-01-12 12:00:00,0.07433333333333333,0.0,0.0
2024-01-12 12:15:00,0.049,0.0,0.0
2024-01-12 12:30:00,0.3155333333333334,0.0,0.1
2024-01-12 12:45:00,0.41313333333333335,0.0,1.5
2024-01-12 13:00:00,0.40492949694906943,0.0,1.5
2024-01-12 13:15:00,0.41782374237267356,0.0,1.5
2024-01-12 13:30:00,0.30382374237267357,0.0,1.5
2024-01-12 13:45:00,0.29569040903934013,2.3333333333333335,1.5
2024-01-12 14:00:00,0.20320579323539353,0.0,0.4
2024-01-12 14:15:00,0.15970519531896057,0.0,0.0
2024-01-12 14:30:00,0.2705521973529143,0.0,1.5
2024-01-12 14:45:00,0.09321886401958097,0.0,1.5
2024-01-12 15:00:00,0.19348553068624763,0.0,0.8
2024-01-12 15:15:00,0.18188058596077716,0.0,0.0
2024-01-12 15:30:00,0.23390347982352763,0.0,0.0
2024-01-12 15:45:00,0.525709273058921,0.0,0.3
2024-01-12 16:00:00,0.4174426063922544,2.3333333333333335,1.5
2024-01-12 16:15:00,0.22130927305892112,0.0,1.0
2024-01-12 16:30:00,0.2143759397255878,0.0,0.5
2024-01-12 16:45:00,0.10652425279744711,0.0,1.5
2024-01-12 17:00:00,0.13766666666666666,0.0,1.5
2024-01-12 17:15:00,0.33934,0.0,1.5
2024-01-12 17:30:00,0.3067,0.0,0.2
2024-01-12 17:45:00,0.3136333333333333,0.0,0.0
2024-01-12 18:00:00,0.3197,2.3333333333333335,0.2
2024-01-12 18:15:00,0.3358333333333333,0.0,1.5
2024-01-12 18:30:00,2.5522647484745344,0.0,1.5
2024-01-12 18:45:00,1.5535904090393402,0.0,0.1
2024-01-12 19:00:00,0.3175237423726735,0.0,0.0
2024-01-12 19:15:00,0.3385585406079497,0.0,0.0
2024-01-12 19:30:00,0.2522759397255878,0.0,0.0
2024-01-12 19:45:00,0.3215267781438055,0.0,1.2
2024-01-12 20:00:00,0.3959502791607824,1.0,1.5
2024-01-12 20:15:00,0.2280759397255878,1.3333333333333333,1.5
2024-01-12 20:30:00,0.324528687098144,0.0,0.4
2024-01-12 20:45:00,0.3175237423726735,0.0,0.5
2024-01-12 21:00:00,0.3554321669216716,0.0,1.5
2024-01-12 21:15:00,0.5068092730589211,0.0,1.5
2024-01-12 21:30:00,0.30407593972558783,0.0,0.9
2024-01-12 21:45:00,0.2162521973529143,0.0,0.0
2024-01-12 22:00:00,0.2162521973529143,0.0,0.0
2024-01-12 22:15:00,0.2742472526274438,0.0,0.0
2024-01-12 22:30:00,0.5417000000000001,0.0,0.0
