,TumbleDryer,DishWasher,BaseLoad,P_HP
2024-01-11 05:30:00,0.001,0.0,0.11233333333333334,0.0
2024-01-11 05:45:00,0.001,0.0,0.239,0.0
2024-01-11 06:00:00,0.001,0.0,0.049,2.0
2024-01-11 06:15:00,0.001,0.0,0.049,3.0
2024-01-11 06:30:00,0.001,0.0,0.049,3.0
2024-01-11 06:45:00,0.001,0.0,0.049,2.4
2024-01-11 07:00:00,0.001,0.0,0.07433333333333333,3.0
2024-01-11 07:15:00,0.001,0.0,0.239,2.8
2024-01-11 07:30:00,0.001,0.0,0.087,0.0
2024-01-11 07:45:00,0.001,0.0,0.049,0.8
2024-01-11 08:00:00,0.001,0.0,0.049,3.0
2024-01-11 08:15:00,0.001,0.0,0.049,0.4
2024-01-11 08:30:00,0.001,0.0,0.049,0.0
2024-01-11 08:45:00,0.001,0.0,0.22633333333333333,0.0
2024-01-11 09:00:00,0.001,0.0,0.125,2.0
2024-01-11 09:15:00,0.001,0.0,0.049,2.0
2024-01-11 09:30:00,0.001,0.0,0.049,0.0
2024-01-11 09:45:00,0.001,0.0,0.049,0.0
2024-01-11 10:00:00,0.001,0.0,0.049,0.0
2024-01-11 10:15:00,0.001,0.0,0.988,2.6
2024-01-11 10:30:00,0.001,0.0,2.6419333333333332,1.2
2024-01-11 10:45:00,0.001,0.0,0.049,0.0
2024-01-11 11:00:00,0.001,0.0,0.049,0.0
2024-01-11 11:15:00,0.001,0.0,0.049,0.0
2024-01-11 11:30:00,0.001,0.0,0.049,2.4
2024-01-11 11:45:00,0.001,0.0,0.15033333333333332,1.4
2024-01-11 12:00:00,0.001,0.0,0.20099999999999998,0.0
2024-01-11 12:15:00,0.001,0.0,0.049,0.0
2024-01-11 12:30:00,0.001,0.0,0.049,0.0
2024-01-11 12:45:00,0.001,0.0,0.049,1.2
2024-01-11 13:00:00,0.001,0.0,0.049,2.2
2024-01-11 13:15:00,0.001,0.0,0.11233333333333334,0.0
2024-01-11 13:30:00,0.001,0.0,0.239,0.0
2024-01-11 13:45:00,0.001,0.0,0.049,0.0
2024-01-11 14:00:00,0.001,0.0,0.049,0.4
2024-01-11 14:15:00,0.001,0.0,0.049,3.0
2024-01-11 14:30:00,0.001,0.0,0.049,0.2
2024-01-11 14:45:00,0.001,0.0,0.07433333333333333,0.0
2024-01-11 15:00:00,0.001,0.0,0.239,0.0
2024-01-11 15:15:00,0.001,0.0,0.087,0.0
2024-01-11 15:30:00,0.001,0.0,0.049,1.2
2024-01-11 15:45:00,0.001,0.0,0.049,2.4
2024-01-11 16:00:00,0.001,0.0,0.049,0.0
2024-01-11 16:15:00,0.001,0.0,0.049,0.0
2024-01-11 16:30:00,0.001,0.0,0.22633333333333333,0.0
2024-01-11 16:45:00,0.001,0.0,0.125,0.0
2024-01-11 17:00:00,0.001,0.0,0.3688666666666666,1.4
2024-01-11 17:15:00,0.001,0.0,1.8126,2.2
2024-01-11 17:30:00,0.001,0.0,0.4618,0.0
2024-01-11 17:45:00,0.001,0.0,0.7007999999999999,0.0
2024-01-11 18:00:00,0.001,0.0,0.3233333333333333,0.0
2024-01-11 18:15:00,0.001,0.0,0.28846666666666665,0.0
2024-01-11 18:30:00,0.001,0.0,0.17494124745755785,1.0
2024-01-11 18:45:00,0.001,0.0,0.24735707570600685,2.6
2024-01-11 19:00:00,0.001,0.0,0.20622374237267352,0.0
2024-01-11 19:15:00,0.001,0.0,0.3280237423726735,0.0
2024-01-11 19:30:00,0.001,0.0,1.0304770757060069,0.0
2024-01-11 19:45:00,0.001,0.0,1.8477704090393403,0.0
2024-01-11 20:00:00,0.001,0.0,1.0091882494915114,0.4
2024-01-11 20:15:00,0.001,0.0,0.3974079141242245,1.0
2024-01-11 20:30:00,0.001,0.0,0.3650904090393402,0.0
2024-01-11 20:45:00,0.001,0.0,0.4378237423726735,0.0
2024-01-11 21:00:00,0.001,0.0,0.4608237423726735,0.8
2024-01-11 21:15:00,0.001,0.0,1.0398904090393402,3.0
