,WasherDryer,DishWasher,BaseLoad,P_EV,P_HP
2024-01-03 19:45:00,0.001,0.0,0.547728687098144,0.0,0.0
2024-01-03 20:00:00,0.001,0.0,0.35794724338965034,0.0,0.13333333333333333
2024-01-03 20:15:00,0.001,0.0,0.3346382780588038,0.0,2.0
2024-01-03 20:30:00,0.001,0.0,0.461918864019581,0.0,0.13333333333333333
2024-01-03 20:45:00,0.001,0.0,0.3732521973529143,0.0,0.0
2024-01-03 21:00:00,0.001,0.0,0.3623855306862477,0.0,0.0
2024-01-03 21:15:00,0.001,0.0,0.43358553068624767,0.0,0.0
2024-01-03 21:30:00,0.001,0.0,0.33778553068624767,0.0,0.0
2024-01-03 21:45:00,0.001,0.0,0.4431034798235276,0.0,0.0
2024-01-03 22:00:00,0.001,0.0,0.311913910056317,0.0,0.0
2024-01-03 22:15:00,0.001,0.0,0.8486147678040336,0.0,0.0
2024-01-03 22:30:00,0.001,0.0,0.36170927305892114,0.0,0.0
2024-01-03 22:45:00,0.001,0.0,0.5474226063922545,0.0,0.0
2024-01-03 23:00:00,0.001,0.0,0.6740759397255878,0.0,0.0
2024-01-03 23:15:00,0.001,0.0,0.34707593972558776,0.0,0.0
2024-01-03 23:30:00,0.001,0.0,0.32814906485232953,0.0,0.0
2024-01-03 23:45:00,0.001,0.0,0.3924333333333333,0.0,0.0
2024-01-04 00:00:00,0.001,0.0,0.3640333333333333,0.0,0.0
2024-01-04 00:15:00,0.001,0.0,0.5657,0.0,0.0
2024-01-04 00:30:00,0.001,0.0,0.4880333333333333,0.0,0.0
2024-01-04 00:45:00,0.001,0.0,0.3657,0.0,0.0
2024-01-04 01:00:00,0.001,0.0,0.24723333333333333,0.0,0.0
2024-01-04 01:15:00,0.001,0.0,0.22069999999999998,0.0,0.0
2024-01-04 01:30:00,0.001,0.0,0.3093666666666666,0.0,0.0
2024-01-04 01:45:00,0.001,0.0,0.27803333333333335,0.0,0.0
2024-01-04 02:00:00,0.001,0.0,0.32703333333333334,0.0,0.0
2024-01-04 02:15:00,0.001,0.0,0.7065,0.0,0.0
2024-01-04 02:30:00,0.001,0.0,0.24603333333333335,0.0,0.0
2024-01-04 02:45:00,0.001,0.0,0.2840333333333333,0.0,0.0
2024-01-04 03:00:00,0.001,0.0,0.1827,0.0,0.0
2024-01-04 03:15:00,0.001,0.0,0.25603333333333333,0.0,0.0
2024-01-04 03:30:00,0.001,0.0,0.19656666666666667,0.0,0.0
2024-01-04 03:45:00,0.001,0.0,0.2906666666666667,0.0,0.0
2024-01-04 04:00:00,0.001,0.0,0.5538000000000001,0.0,0.0
2024-01-04 04:15:00,0.001,0.0,0.047,0.0,1.7333333333333334
2024-01-04 04:30:00,0.001,0.0,0.047,0.0,0.0
2024-01-04 04:45:00,0.001,0.0,0.09833333333333334,0.0,0.0
2024-01-04 05:00:00,0.001,0.0,0.2563333333333333,0.0,0.5333333333333333
2024-01-04 05:15:00,0.001,0.0,0.22166666666666668,0.0,2.0
2024-01-04 05:30:00,0.001,0.0,0.14,0.0,1.0666666666666667
2024-01-04 05:45:00,0.001,0.0,0.8465999999999999,0.0,0.0
2024-01-04 06:00:00,0.001,0.0,0.047,0.0,0.0
2024-01-04 06:15:00,0.001,0.0,0.22779999999999997,0.0,0.0
2024-01-04 06:30:00,0.001,0.0,0.19533333333333333,0.0,0.0
2024-01-04 06:45:00,0.001,0.0,0.5291333333333333,0.0,0.0
2024-01-04 07:00:00,0.001,0.0,0.215,0.0,0.0
2024-01-04 07:15:00,0.001,0.0,0.05999999999999999,0.0,0.0
2024-01-04 07:30:00,0.001,0.0,0.22466666666666668,0.0,0.0
2024-01-04 07:45:00,0.001,0.0,0.06733333333333333,0.0,0.0
2024-01-04 08:00:00,0.001,0.0,0.17,0.0,0.0
2024-01-04 08:15:00,0.001,0.0,0.15953333333333333,0.0,0.0
2024-01-04 08:30:00,0.001,0.0,1.2258666666666664,0.0,0.0
