,DishWasher,BaseLoad,P_EV,P_HP
2024-01-04 13:15:00,0.0,0.25066666666666665,0.0,0.0
2024-01-04 13:30:00,0.0,0.18924724338965035,0.0,0.0
2024-01-04 13:45:00,0.0,0.1908237423726735,0.0,0.0
2024-01-04 14:00:00,0.0,0.18995707570600684,0.0,0.0
2024-01-04 14:15:00,0.0,0.24115707570600683,0.0,0.0
2024-01-04 14:30:00,0.0,0.27023549288116194,0.0,0.0
2024-01-04 14:45:00,0.0,0.057666666666666665,0.0,0.0
2024-01-04 15:00:00,0.0,0.045,0.0,0.0
2024-01-04 15:15:00,0.0,0.045,2.933333333333333,0.0
2024-01-04 15:30:00,0.0,0.045,0.0,0.0
2024-01-04 15:45:00,0.0,0.17166666666666666,0.0,1.0666666666666667
2024-01-04 16:00:00,0.0,0.18433333333333332,0.0,1.8666666666666667
2024-01-04 16:15:00,0.0,0.045,0.0,0.0
2024-01-04 16:30:00,0.0,0.045,0.0,0.0
2024-01-04 16:45:00,0.0,0.045,0.0,0.0
2024-01-04 17:00:00,0.0,0.045,0.0,0.0
2024-01-04 17:15:00,0.0,0.3454,0.0,0.0
2024-01-04 17:30:00,0.0,0.16133333333333333,0.0,0.0
2024-01-04 17:45:00,0.0,0.166,0.0,0.0
2024-01-04 18:00:00,0.0,0.166,0.0,0.0
2024-01-04 18:15:00,0.0,0.166,0.0,0.0
2024-01-04 18:30:00,0.0,0.22933333333333333,0.0,0.0
2024-01-04 18:45:00,0.0,0.356,0.0,0.0
2024-01-04 19:00:00,0.0,0.08186666666666667,0.0,0.0
2024-01-04 19:15:00,0.0,0.045,0.0,0.0
2024-01-04 19:30:00,0.0,0.045,0.0,0.0
2024-01-04 19:45:00,0.0,0.045,0.0,0.0
2024-01-04 20:00:00,0.0,0.17166666666666666,0.0,0.0
2024-01-04 20:15:00,0.0,0.18433333333333332,0.0,0.0
2024-01-04 20:30:00,0.0,0.045,0.0,0.0
2024-01-04 20:45:00,0.0,0.045,0.0,0.0
2024-01-04 21:00:00,0.0,0.045,0.0,0.0
2024-01-04 21:15:00,0.0,0.045,0.0,2.933333333333333
2024-01-04 21:30:00,0.0,0.235,0.0,0.0
2024-01-04 21:45:00,0.0,0.121,0.0,0.0
2024-01-04 22:00:00,0.0,0.045,0.0,0.0
2024-01-04 22:15:00,0.0,0.045,0.0,0.0
2024-01-04 22:30:00,0.0,0.045,0.0,0.0
2024-01-04 22:45:00,0.0,0.10833333333333334,0.0,0.0
2024-01-04 23:00:00,0.0,0.235,0.0,0.0
2024-01-04 23:15:00,0.0,0.057666666666666665,0.0,0.0
2024-01-04 23:30:00,0.0,0.045,0.0,0.0
2024-01-04 23:45:00,0.0,0.045,0.0,0.0
2024-01-05 00:00:00,0.0,0.045,0.0,0.0
2024-01-05 00:15:00,0.0,0.17166666666666666,0.0,0.0
2024-01-05 00:30:00,0.0,0.18433333333333332,0.0,0.0
2024-01-05 00:45:00,0.0,0.045,0.0,0.0
2024-01-05 01:00:00,0.0,0.045,0.0,0.0
2024-01-05 01:15:00,0.0,0.045,0.0,0.0
2024-01-05 01:30:00,0.0,0.045,0.0,0.0
2024-01-05 01:45:00,0.0,0.235,0.0,0.0
2024-01-05 02:00:00,0.0,0.121,0.0,0.0
2024-01-05 02:15:00,0.0,0.045,0.0,0.0
2024-01-05 02:30:00,0.0,0.045,0.0,0.0
2024-01-05 02:45:00,0.0,0.045,0.0,0.0
2024-01-05 03:00:00,0.0,0.10833333333333334,0.0,0.0
2024-01-05 03:15:00,0.0,0.235,0.0,0.0
2024-01-05 03:30:00,0.0,0.057666666666666665,0.0,0.0
2024-01-05 03:45:00,0.0,0.5780666666666666,0.0,0.0
2024-01-05 04:00:00,0.0,0.045,0.0,0.0
2024-01-05 04:15:00,0.0,0.045,0.0,3.7333333333333334
