,BaseLoad,P_EV,P_WB
2024-01-04 19:00:00,0.25237593972558775,0.0,0.0
2024-01-04 19:15:00,0.21227245990206017,0.0,0.0
2024-01-04 19:30:00,0.13178824949151158,0.0,0.0
2024-01-04 19:45:00,0.17833333333333334,0.0,0.0
2024-01-04 20:00:00,0.044,0.0,0.0
2024-01-04 20:15:00,0.04951774644058096,0.0,0.0
2024-01-04 20:30:00,0.2308904090393402,0.0,0.0
2024-01-04 20:45:00,0.3287779546471726,0.0,0.0
2024-01-04 21:00:00,0.20837593972558782,0.0,0.2
2024-01-04 21:15:00,0.8964426063922545,0.0,3.0
2024-01-04 21:30:00,0.26643469226802996,0.0,1.6
2024-01-04 21:45:00,0.16410135893469666,0.0,0.0
2024-01-04 22:00:00,0.2802605555295345,0.0,0.0
2024-01-04 22:15:00,0.3562147678040335,0.0,0.0
2024-01-04 22:30:00,0.28097593972558776,0.0,0.0
2024-01-04 22:45:00,0.40092102356740955,0.0,0.0
2024-01-04 23:00:00,0.3815521973529143,0.0,3.0
2024-01-04 23:15:00,0.19655219735291432,0.0,0.0
2024-01-04 23:30:00,0.2641382780588038,0.0,0.0
2024-01-04 23:45:00,0.306415828248449,0.0,0.0
2024-01-05 00:00:00,0.0558237423726735,0.0,2.8
2024-01-05 00:15:00,0.0558237423726735,0.0,1.6
2024-01-05 00:30:00,0.20049040903934018,0.0,0.0
2024-01-05 00:45:00,0.12500407773996056,0.0,2.0
2024-01-05 01:00:00,0.09466666666666666,0.0,3.0
2024-01-05 01:15:00,0.234,0.0,0.4
2024-01-05 01:30:00,0.06933333333333333,0.0,0.0
2024-01-05 01:45:00,0.044,0.0,0.0
2024-01-05 02:00:00,0.3725333333333333,0.0,0.0
2024-01-05 02:15:00,0.33226666666666665,0.0,0.0
2024-01-05 02:30:00,0.06933333333333333,0.0,0.0
2024-01-05 02:45:00,0.234,0.0,0.0
2024-01-05 03:00:00,0.6277333333333334,0.0,0.0
2024-01-05 03:15:00,0.044,0.0,0.0
2024-01-05 03:30:00,0.044,0.0,1.4
2024-01-05 03:45:00,0.17833333333333334,0.0,1.2
2024-01-05 04:00:00,0.12666666666666668,0.0,0.0
2024-01-05 04:15:00,0.234,0.0,0.0
2024-01-05 04:30:00,0.12000000000000001,0.0,0.0
2024-01-05 04:45:00,0.044,0.0,2.2
2024-01-05 05:00:00,0.044,0.0,0.2
2024-01-05 05:15:00,0.09566666666666666,0.0,0.0
2024-01-05 05:30:00,0.199,0.0,0.0
2024-01-05 05:45:00,0.6188,0.0,0.0
2024-01-05 06:00:00,0.16636813156860955,0.0,2.8
2024-01-05 06:15:00,0.07555219735291431,0.0,1.2
2024-01-05 06:30:00,0.07555219735291431,0.0,1.0
2024-01-05 06:45:00,0.07555219735291431,0.0,1.4
2024-01-05 07:00:00,0.1995521973529143,0.0,1.6
