,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-03 11:30:00,0.001,0.001,0.0,0.001,1.8258855306862476,0.0,0.0
2024-01-03 11:45:00,0.001,0.001,0.0,0.001,0.18128553068624764,0.0,0.0
2024-01-03 12:00:00,0.001,0.001,0.0002,0.001,0.2647521973529143,0.0,0.0
2024-01-03 12:15:00,0.001,0.001,0.30086666666666667,0.001,0.48735219735291424,0.0,0.0
2024-01-03 12:30:00,0.001,0.001,0.9006000000000001,0.001,0.42469219735291425,0.0,4.0
2024-01-03 12:45:00,0.001,0.001,0.001,0.001,0.44018058596077714,0.0,0.3333333333333333
2024-01-03 13:00:00,0.001,0.001,0.00046666666666666666,0.001,0.3338333333333333,0.0,0.0
2024-01-03 13:15:00,0.001,0.001,0.0,0.001,0.34486882621449527,0.0,3.0
2024-01-03 13:30:00,0.001,0.001,0.0,0.001,0.4885237423726735,0.0,3.6666666666666665
2024-01-03 13:45:00,0.001,0.001,0.0,0.001,0.6361904090393402,0.0,0.0
2024-01-03 14:00:00,0.001,0.001,0.0,0.001,1.8183237423726735,0.0,3.3333333333333335
2024-01-03 14:15:00,0.001,0.001,0.0,0.001,2.059625207274616,0.0,0.0
2024-01-03 14:30:00,0.001,0.001,0.0,0.001,0.4820759397255878,0.0,0.0
2024-01-03 14:45:00,0.001,0.001,0.0,0.001,0.3126759397255878,0.0,0.0
2024-01-03 15:00:00,0.001,0.001,0.0,0.001,0.3414759397255878,0.0,0.0
2024-01-03 15:15:00,0.7392991336538189,0.001,0.0,0.001,1.0790210235674096,0.0,2.3333333333333335
2024-01-03 15:30:00,0.7920347860576631,0.001,0.0,0.001,0.4449805859607771,0.0,0.0
2024-01-03 15:45:00,0.7920347860576631,0.001,0.0,0.001,0.3177,0.0,0.0
2024-01-03 16:00:00,0.7920347860576631,0.001,0.0,0.001,0.3177,0.0,0.0
2024-01-03 16:15:00,0.7920347860576631,0.001,0.0,0.001,0.30050494472547046,0.0,0.0
2024-01-03 16:30:00,0.7920347860576631,0.001,0.0,0.001,0.342318864019581,0.0,0.0
2024-01-03 16:45:00,0.7920347860576631,0.001,0.0,0.001,0.6475855306862477,0.0,0.0
2024-01-03 17:00:00,0.7920347860576631,0.001,0.0,0.001,0.6222521973529143,0.0,0.0
2024-01-03 17:15:00,0.7920347860576631,0.001,0.0,0.001,0.7531855306862476,0.0,0.0
2024-01-03 17:30:00,0.7920347860576631,0.001,0.0,0.04455419540545832,2.5901487175293867,0.0,3.0
