,DishWasher,BaseLoad,P_HP,P_WB
2024-01-04 22:15:00,0.0,0.33625219735291434,0.0,0.0
2024-01-04 22:30:00,0.0,0.40078553068624767,0.0,0.0
2024-01-04 22:45:00,0.0,0.3254934448104721,0.0,0.0
2024-01-04 23:00:00,0.0,0.3333759397255877,0.0,0.0
2024-01-04 23:15:00,0.0,0.46013418184325633,0.0,2.0
2024-01-04 23:30:00,0.0,0.3916237423726735,0.0,2.6
2024-01-04 23:45:00,0.0,0.21952722219620113,0.0,2.4
2024-01-05 00:00:00,0.0,0.22301119125105312,0.0,0.0
2024-01-05 00:15:00,0.0,0.2135521973529143,0.0,0.0
2024-01-05 00:30:00,0.0,0.23888553068624763,0.0,0.0
2024-01-05 00:45:00,0.0,0.40355219735291425,0.0,0.0
2024-01-05 01:00:00,0.0,0.1464785710391924,0.0,0.0
2024-01-05 01:15:00,0.0,0.048,0.0,0.0
2024-01-05 01:30:00,0.0,0.048,0.0,0.4
2024-01-05 01:45:00,0.0,0.048,0.0,2.8
2024-01-05 02:00:00,0.0,0.13666666666666666,0.0,0.0
2024-01-05 02:15:00,0.0,0.22533333333333333,0.0,1.4
2024-01-05 02:30:00,0.0,0.048,0.0,2.2
2024-01-05 02:45:00,0.0,0.048,0.0,0.0
2024-01-05 03:00:00,0.0,0.048,0.0,0.0
2024-01-05 03:15:00,0.0,0.048,0.0,2.0
2024-01-05 03:30:00,0.0,0.2,0.0,1.4
2024-01-05 03:45:00,0.0,0.16199999999999998,0.0,0.0
2024-01-05 04:00:00,0.0,0.048,0.0,0.0
2024-01-05 04:15:00,0.0,0.048,1.4666666666666666,0.0
2024-01-05 04:30:00,0.0,0.048,1.8666666666666667,0.0
2024-01-05 04:45:00,0.0,0.07333333333333333,0.4,0.0
2024-01-05 05:00:00,0.0,0.238,1.2,0.0
2024-01-05 05:15:00,0.0,0.09866666666666667,0.0,1.6
2024-01-05 05:30:00,0.0,0.048,0.0,3.0
2024-01-05 05:45:00,0.0,0.048,0.0,2.6
2024-01-05 06:00:00,0.0,0.44780000000000003,0.4,0.0
2024-01-05 06:15:00,0.0,0.13666666666666666,0.0,0.0
2024-01-05 06:30:00,0.0,0.2305333333333333,0.0,0.2
2024-01-05 06:45:00,0.0,0.061000000000000006,0.0,3.0
2024-01-05 07:00:00,0.0,0.061000000000000006,0.0,1.6
2024-01-05 07:15:00,0.0,0.061000000000000006,1.0666666666666667,1.6
2024-01-05 07:30:00,0.0,0.055799999999999995,0.26666666666666666,0.0
2024-01-05 07:45:00,0.0,0.2,2.0,2.8
2024-01-05 08:00:00,0.0,0.16806666666666667,0.26666666666666666,1.4
2024-01-05 08:15:00,0.0,0.061000000000000006,0.0,0.0
2024-01-05 08:30:00,0.0,0.061000000000000006,0.0,0.0
2024-01-05 08:45:00,0.0,0.061000000000000006,0.0,0.0
2024-01-05 09:00:00,0.0,0.08633333333333333,0.0,0.0
2024-01-05 09:15:00,0.0,0.251,0.5333333333333333,0.0
2024-01-05 09:30:00,0.0,0.09866666666666667,2.0,2.0
2024-01-05 09:45:00,0.0,0.44780000000000003,0.13333333333333333,3.0
2024-01-05 10:00:00,0.0,0.8606,0.0,0.4
2024-01-05 10:15:00,0.0,0.061000000000000006,0.0,0.0
2024-01-05 10:30:00,0.0,0.14966666666666667,0.0,2.0
2024-01-05 10:45:00,0.0,0.6355333333333333,0.0,3.0
2024-01-05 11:00:00,0.0,0.052333333333333336,0.0,0.6
2024-01-05 11:15:00,0.0,0.061000000000000006,0.0,0.0
2024-01-05 11:30:00,0.0,0.061000000000000006,0.6666666666666666,0.0
2024-01-05 11:45:00,0.0,0.061000000000000006,0.0,0.0
2024-01-05 12:00:00,0.0,0.20259999999999997,0.13333333333333333,0.0
2024-01-05 12:15:00,0.0,0.16199999999999998,0.26666666666666666,0.0
2024-01-05 12:30:00,0.0,0.5810666666666667,0.0,0.0
2024-01-05 12:45:00,0.0,0.06693131841174858,0.0,0.0
2024-01-05 13:00:00,0.0,0.0890111912510531,0.0,1.2
2024-01-05 13:15:00,0.0,0.17317593972558779,0.0,3.0
2024-01-05 13:30:00,0.0,0.4023759397255878,0.13333333333333333,1.0
2024-01-05 13:45:00,0.0,0.26304260639225446,2.0,0.0
2024-01-05 14:00:00,0.0,0.19187256586930643,1.4666666666666666,0.0
2024-01-05 14:15:00,0.0,0.169,0.0,0.0
2024-01-05 14:30:00,0.0,0.0722,0.0,0.0
2024-01-05 14:45:00,0.0,0.13666666666666666,0.0,0.6
2024-01-05 15:00:00,0.0,0.22533333333333333,0.0,3.0
2024-01-05 15:15:00,0.0,0.048,0.0,0.0
2024-01-05 15:30:00,0.0,0.048,0.0,0.0
2024-01-05 15:45:00,0.0,0.048,0.0,0.0
2024-01-05 16:00:00,0.0,0.048,1.4666666666666666,1.4
2024-01-05 16:15:00,0.0,0.7330666666666666,0.9333333333333333,1.6
2024-01-05 16:30:00,0.0,0.16199999999999998,0.0,0.0
2024-01-05 16:45:00,0.0,0.048,0.0,0.0
2024-01-05 17:00:00,0.0,0.048,0.0,0.0
2024-01-05 17:15:00,0.0,0.12060000000000001,0.0,1.8
2024-01-05 17:30:00,0.0,0.19433333333333333,0.0,1.2
2024-01-05 17:45:00,0.0,0.359,0.0,0.0
2024-01-05 18:00:00,0.0,0.22912566056480546,0.0,0.0
2024-01-05 18:15:00,0.0,0.2980904090393402,1.4666666666666666,0.0
2024-01-05 18:30:00,0.0,2.1818237423726736,0.9333333333333333,0.0
2024-01-05 18:45:00,0.0,1.8220237423726737,0.0,0.0
2024-01-05 19:00:00,0.0,1.245600848509923,0.0,0.0
2024-01-05 19:15:00,0.0,1.3518267781438056,0.0,0.0
2024-01-05 19:30:00,0.0,1.0533759397255877,0.0,2.4
2024-01-05 19:45:00,0.0,0.18710927305892114,0.0,1.2
2024-01-05 20:00:00,0.0,1.1582426063922546,0.0,0.0
2024-01-05 20:15:00,0.0,0.8633092730589211,0.0,0.0
2024-01-05 20:30:00,0.0,0.4741226911660514,1.2,0.0
2024-01-05 20:45:00,0.0003333333333333333,0.40399999999999997,1.2,0.0
2024-01-05 21:00:00,2.25,0.29,0.0,3.0
2024-01-05 21:15:00,1.2004666666666668,0.23422783858822094,0.0,3.0
2024-01-05 21:30:00,1.2004666666666668,0.636818864019581,0.0,3.0
2024-01-05 21:45:00,0.0006666666666666666,0.12101886401958098,0.0,3.0
2024-01-05 22:00:00,0.0,0.3905521973529143,0.0,3.0
2024-01-05 22:15:00,0.0,0.251218864019581,0.0,3.0
2024-01-05 22:30:00,0.0,0.17951739911763812,0.0,3.0
2024-01-05 22:45:00,0.0,0.18582783858822097,0.0,3.0
2024-01-05 23:00:00,0.0,0.15275219735291432,0.0,3.0
2024-01-05 23:15:00,0.0,0.18121886401958096,0.0,3.0
2024-01-05 23:30:00,0.0,0.2698855306862476,0.0,3.0
2024-01-05 23:45:00,0.0,0.09081886401958099,0.0,3.0
2024-01-06 00:00:00,0.0,0.08776087894116572,0.0,3.0
2024-01-06 00:15:00,0.0,0.1837,0.0,3.0
2024-01-06 00:30:00,0.0,0.1837,0.0,3.0
2024-01-06 00:45:00,0.0,0.3357,0.0,3.0
2024-01-06 01:00:00,0.0,0.3087354928811619,0.0,3.0
2024-01-06 01:15:00,0.0,0.1955237423726735,0.0,3.0
2024-01-06 01:30:00,0.0,0.1955237423726735,0.0,0.0
2024-01-06 01:45:00,0.0,0.5953237423726735,0.0,0.0
2024-01-06 02:00:00,0.0,0.21849232723147213,0.0,0.0
2024-01-06 02:15:00,0.0,0.3737,0.0,0.0
2024-01-06 02:30:00,0.0,0.7674333333333332,0.0,0.0
2024-01-06 02:45:00,0.0,0.1837,0.0,0.0
2024-01-06 03:00:00,0.0,0.1837,0.0,0.0
2024-01-06 03:15:00,0.0,0.1837,0.5333333333333333,0.0
2024-01-06 03:30:00,0.0,0.27236666666666665,1.6,0.0
2024-01-06 03:45:00,0.0,0.3610333333333333,2.0,0.0
2024-01-06 04:00:00,0.0,0.7167666666666666,0.5333333333333333,2.4
2024-01-06 04:15:00,0.0,0.1837,0.0,1.4
2024-01-06 04:30:00,0.0,0.1837,1.6,0.6
2024-01-06 04:45:00,0.0,0.1837,0.8,2.6
2024-01-06 05:00:00,0.0,0.3357,0.0,0.0
2024-01-06 05:15:00,0.0,0.27960666666666667,0.0,0.0
2024-01-06 05:30:00,0.0,0.048,0.0,0.0
2024-01-06 05:45:00,0.0,0.048,0.0,0.0
2024-01-06 06:00:00,0.0,1.1141333333333336,0.0,0.0
2024-01-06 06:15:00,0.0,0.07333333333333333,0.0,0.0
2024-01-06 06:30:00,0.0,0.6378,0.6666666666666666,0.0
2024-01-06 06:45:00,0.0,0.09866666666666667,0.4,1.0
2024-01-06 07:00:00,0.0,0.0795521973529143,0.0,2.8
2024-01-06 07:15:00,0.0,0.0795521973529143,0.0,1.6
2024-01-06 07:30:00,0.0,0.0795521973529143,0.6666666666666666,3.0
2024-01-06 07:45:00,0.0,0.6809521973529143,1.7333333333333334,0.2
2024-01-06 08:00:00,0.0,0.9239521973529143,0.0,0.0
2024-01-06 08:15:00,0.0,0.19672435876469332,0.0,0.0
2024-01-06 08:30:00,0.0,0.182,0.0,0.0
2024-01-06 08:45:00,0.0,0.12553333333333333,0.0,2.2
2024-01-06 09:00:00,0.0,0.9938666666666668,0.0,1.4
2024-01-06 09:15:00,0.0,0.6024,0.0,0.0
2024-01-06 09:30:00,0.0,0.3518666666666667,0.0,0.0
2024-01-06 09:45:00,0.0,2.3090933333333337,1.4666666666666666,0.0
2024-01-06 10:00:00,0.0,2.2567,0.9333333333333333,0.0
2024-01-06 10:15:00,0.0,0.43609999999999993,0.0,0.0
2024-01-06 10:30:00,0.0004,0.5973,0.0,0.0
2024-01-06 10:45:00,0.7506666666666667,0.8145666666666667,0.0,0.0
2024-01-06 11:00:00,0.4508,0.3683666666666667,0.0,0.0
2024-01-06 11:15:00,0.001,0.3177,0.0,0.0
2024-01-06 11:30:00,0.0005333333333333334,0.3177,0.0,0.0
2024-01-06 11:45:00,0.0,0.2693,0.0,1.6
2024-01-06 12:00:00,0.0,0.27236666666666665,1.6,3.0
2024-01-06 12:15:00,0.0,0.4658999999999999,0.8,1.0
2024-01-06 12:30:00,0.0,0.3046999999999999,0.0,0.0
2024-01-06 12:45:00,0.0,0.3046999999999999,0.0,0.0
2024-01-06 13:00:00,0.0,0.32083333333333336,0.0,0.0
2024-01-06 13:15:00,0.0,0.8359,0.0,0.0
2024-01-06 13:30:00,0.0,0.5423000000000001,0.0,0.0
2024-01-06 13:45:00,0.0,0.8330764989830232,0.0,0.0
2024-01-06 14:00:00,0.0,0.3295237423726735,0.0,2.0
2024-01-06 14:15:00,0.0,0.3182570757060068,1.2,3.0
2024-01-06 14:30:00,0.0,1.052797075706007,1.2,3.0
2024-01-06 14:45:00,0.0,0.20615707570600686,0.0,2.8
2024-01-06 15:00:00,0.0,0.7682589938981388,0.0,0.0
2024-01-06 15:15:00,0.0,0.21966666666666665,0.0,0.0
2024-01-06 15:30:00,0.0,0.13987857103919238,0.0,0.0
2024-01-06 15:45:00,0.0,0.47935219735291423,0.0,0.0
2024-01-06 16:00:00,0.0,0.1037521973529143,0.0,0.0
2024-01-06 16:15:00,0.0,0.28921886401958097,0.0,0.2
2024-01-06 16:30:00,0.0,0.37788553068624764,0.4,2.4
2024-01-06 16:45:00,0.0,0.20055219735291427,2.0,0.0
2024-01-06 17:00:00,0.001,0.20748553068624762,0.0,0.0
2024-01-06 17:15:00,1.2004666666666668,0.19531538419605338,0.0,0.0
2024-01-06 17:30:00,0.001,0.19813333333333333,0.0,1.2
2024-01-06 17:45:00,0.001,0.455,0.0,1.6
2024-01-06 18:00:00,0.001,0.42954246176601063,0.0,0.0
2024-01-06 18:15:00,0.001,0.3463759397255878,0.0,0.0
2024-01-06 18:30:00,0.001,0.2495759397255878,0.0,0.0
2024-01-06 18:45:00,0.001,0.2253759397255878,0.4,0.0
2024-01-06 19:00:00,0.7506666666666667,0.25070927305892116,2.0,0.0
2024-01-06 19:15:00,1.6502666666666668,0.4111689800785326,0.0,0.0
2024-01-06 19:30:00,0.00046666666666666666,0.18369040903934017,0.0,0.0
2024-01-06 19:45:00,0.0,0.0598237423726735,0.0,0.0
2024-01-06 20:00:00,0.0,0.05430599593209253,0.0,0.0
2024-01-06 20:15:00,0.0,0.10436403535306209,0.0,0.0
2024-01-06 20:30:00,0.0,0.30104260639225444,0.0,2.2
2024-01-06 20:45:00,0.0,0.3897092730589211,0.0,3.0
2024-01-06 21:00:00,0.0,0.21237593972558783,0.0,0.2
2024-01-06 21:15:00,0.0,0.20843469226803,1.2,0.0
2024-01-06 21:30:00,0.0,0.18721538419605335,1.4666666666666666,0.0
2024-01-06 21:45:00,0.0,0.1837,0.0,0.0
2024-01-06 22:00:00,0.0,0.3357,0.0,0.0
2024-01-06 22:15:00,0.0,0.29769999999999996,0.0,0.0
2024-01-06 22:30:00,0.0,0.1837,0.0,0.0
2024-01-06 22:45:00,0.0,0.1837,0.0,0.0
2024-01-06 23:00:00,0.0,0.1837,0.0,0.0
2024-01-06 23:15:00,0.0,0.20903333333333332,0.0,0.0
2024-01-06 23:30:00,0.0,0.3737,0.0,0.0
2024-01-06 23:45:00,0.0,0.23436666666666667,0.0,0.0
2024-01-07 00:00:00,0.0,0.1837,0.5333333333333333,0.0
2024-01-07 00:15:00,0.0,0.1837,0.6666666666666666,0.0
2024-01-07 00:30:00,0.0,0.1837,0.0,0.0
2024-01-07 00:45:00,0.0,0.27236666666666665,0.0,0.0
2024-01-07 01:00:00,0.0,0.3610333333333333,0.0,0.0
2024-01-07 01:15:00,0.0,0.1837,0.6666666666666666,0.0
2024-01-07 01:30:00,0.0,0.1837,0.9333333333333333,0.0
2024-01-07 01:45:00,0.0,0.1837,0.0,0.0
2024-01-07 02:00:00,0.0,0.1837,0.0,0.0
2024-01-07 02:15:00,0.0,0.3357,0.0,0.0
2024-01-07 02:30:00,0.0,0.29769999999999996,0.0,0.0
2024-01-07 02:45:00,0.0,0.1837,0.0,0.0
2024-01-07 03:00:00,0.0,0.11132666666666666,0.0,0.0
2024-01-07 03:15:00,0.0,0.048,0.0,0.0
2024-01-07 03:30:00,0.0,0.07333333333333333,0.26666666666666666,0.0
2024-01-07 03:45:00,0.0,0.238,0.13333333333333333,0.0
2024-01-07 04:00:00,0.0,0.09866666666666667,0.0,0.0
2024-01-07 04:15:00,0.0,0.048,0.4,0.0
2024-01-07 04:30:00,0.0,0.048,1.3333333333333333,0.0
2024-01-07 04:45:00,0.0,0.048,2.0,0.0
2024-01-07 05:00:00,0.0,0.13666666666666666,0.13333333333333333,0.0
