,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-04 19:00:00,0.0,0.001,0.20249040903934018,0.0
2024-01-04 19:15:00,0.0,0.001,0.7163570757060069,0.0
2024-01-04 19:30:00,0.0,0.001,0.43593333333333334,0.0
2024-01-04 19:45:00,0.0,0.001,0.3200347982352762,0.0
2024-01-04 20:00:00,0.0,0.001,0.20855219735291428,0.0
2024-01-04 20:15:00,0.4503333333333333,0.001,0.216618864019581,0.0
2024-01-04 20:30:00,2.25,0.001,0.5443445245843864,0.0
2024-01-04 20:45:00,0.9006000000000001,0.001,0.45270927305892106,0.0
2024-01-04 21:00:00,1.0505333333333333,0.001,0.21582172745108874,0.0
2024-01-04 21:15:00,0.00046666666666666666,0.001,0.29455707570600687,0.0
2024-01-04 21:30:00,0.0,0.001,0.2704904090393402,0.0
2024-01-04 21:45:00,0.0,0.001,0.3347570757060068,0.0
2024-01-04 22:00:00,0.0,0.001,0.5093059959320925,0.0
2024-01-04 22:15:00,0.0,0.001,0.299,0.0
2024-01-04 22:30:00,0.0,0.001,0.32225333333333334,0.0
2024-01-04 22:45:00,0.0,0.001,0.19907999999999998,0.0
2024-01-04 23:00:00,0.0,0.001,0.11633333333333333,0.0
2024-01-04 23:15:00,0.0,0.001,0.33066666666666666,0.0
2024-01-04 23:30:00,0.0,0.001,0.078,0.0
2024-01-04 23:45:00,0.0,0.001,0.056,0.0
2024-01-05 00:00:00,0.0,0.001,0.056,0.0
2024-01-05 00:15:00,0.0,0.001,0.056,0.0
2024-01-05 00:30:00,0.0,0.001,0.2833333333333333,0.0
2024-01-05 00:45:00,0.0,0.001,0.14533333333333334,0.0
2024-01-05 01:00:00,0.0,0.001,0.056,0.0
2024-01-05 01:15:00,0.0,0.001,0.056,0.0
2024-01-05 01:30:00,0.0,0.001,0.056,0.0
2024-01-05 01:45:00,0.0,0.001,0.19066666666666665,0.0
2024-01-05 02:00:00,0.0,0.001,0.238,0.0
2024-01-05 02:15:00,0.0,0.001,0.056,0.0
2024-01-05 02:30:00,0.0,0.001,0.056,0.0
2024-01-05 02:45:00,0.0,0.001,0.056,0.0
2024-01-05 03:00:00,0.0,0.001,0.098,0.0
2024-01-05 03:15:00,0.0,0.001,0.33066666666666666,0.0
2024-01-05 03:30:00,0.0,0.001,0.056,0.0
2024-01-05 03:45:00,0.0,0.001,0.056,0.0
2024-01-05 04:00:00,0.0,0.001,0.056,0.0
2024-01-05 04:15:00,0.0,0.001,0.056,0.0
2024-01-05 04:30:00,0.0,0.001,0.4386,0.0
2024-01-05 04:45:00,0.0,0.001,0.5231333333333333,0.0
2024-01-05 05:00:00,0.0,0.001,0.056,0.0
2024-01-05 05:15:00,0.0,0.001,0.056,3.0
2024-01-05 05:30:00,0.0,0.001,0.056,11.0
2024-01-05 05:45:00,0.0,0.001,0.21266666666666667,0.0
2024-01-05 06:00:00,0.0,0.001,0.216,0.0
2024-01-05 06:15:00,0.0,0.001,0.056,0.0
2024-01-05 06:30:00,0.0,0.001,0.056,0.0
2024-01-05 06:45:00,0.0,0.001,0.056,0.0
2024-01-05 07:00:00,0.0,0.001,0.12086666666666668,0.0
2024-01-05 07:15:00,0.0,0.001,0.32166666666666666,0.0
2024-01-05 07:30:00,0.0,0.001,0.069,0.0
2024-01-05 07:45:00,0.0,0.001,1.0018666666666667,0.0
2024-01-05 08:00:00,0.0,0.001,0.6020666666666667,0.0
2024-01-05 08:15:00,0.0,0.001,3.0230666666666663,0.0
2024-01-05 08:30:00,0.0,0.001,1.1058666666666668,0.0
2024-01-05 08:45:00,0.0,0.001,0.10133333333333333,0.0
2024-01-05 09:00:00,0.0,0.001,0.056,0.0
2024-01-05 09:15:00,0.0,0.001,0.45580000000000004,0.0
2024-01-05 09:30:00,0.0,0.001,0.056,0.0
2024-01-05 09:45:00,0.0,0.001,0.23466666666666666,0.0
2024-01-05 10:00:00,0.0,0.1343270449307853,0.19399999999999998,0.0
2024-01-05 10:15:00,0.0,0.3980656350139567,0.056,0.0
2024-01-05 10:30:00,0.0,0.7000993479286205,0.056,0.0
2024-01-05 10:45:00,0.0,0.1361017319839218,0.45580000000000004,0.0
2024-01-05 11:00:00,0.0,0.2459531966181246,0.142,0.0
2024-01-05 11:15:00,0.0,1.262108895437139,0.2866666666666667,0.0
2024-01-05 11:30:00,0.0,0.4280888661194665,0.056,0.0
2024-01-05 11:45:00,0.0,0.11063258560186728,0.056,0.0
2024-01-05 12:00:00,0.0,0.18478721202078366,0.056,0.0
2024-01-05 12:15:00,0.0,0.001,0.1,0.0
2024-01-05 12:30:00,0.0,0.001,0.29066666666666663,0.0
2024-01-05 12:45:00,0.0,0.001,0.094,0.0
2024-01-05 13:00:00,0.0,0.001,0.45580000000000004,0.0
2024-01-05 13:15:00,0.0,0.001,0.056,0.0
2024-01-05 13:30:00,0.0,0.001,0.07066666666666667,0.0
2024-01-05 13:45:00,0.0,0.001,0.242,0.0
2024-01-05 14:00:00,0.0,0.001,0.17200000000000001,0.0
2024-01-05 14:15:00,0.0,0.001,0.056,0.0
2024-01-05 14:30:00,0.0,0.001,0.056,0.0
2024-01-05 14:45:00,0.0,0.001,0.45580000000000004,0.0
2024-01-05 15:00:00,0.0,0.001,0.164,0.0
2024-01-05 15:15:00,0.0,0.001,0.26466666666666666,0.0
2024-01-05 15:30:00,0.0,0.001,0.056,0.0
2024-01-05 15:45:00,0.0,0.001,0.056,0.0
2024-01-05 16:00:00,0.0,0.001,0.056,0.0
2024-01-05 16:15:00,0.0,0.001,0.12200000000000001,0.0
2024-01-05 16:30:00,0.0,0.001,0.26866666666666666,0.0
2024-01-05 16:45:00,0.0,0.001,0.094,0.0
2024-01-05 17:00:00,0.0,0.001,1.8152666666666666,0.0
2024-01-05 17:15:00,0.0,0.001,1.183415828248449,0.0
2024-01-05 17:30:00,0.0,0.001,0.10449040903934018,3.0
2024-01-05 17:45:00,0.0,0.001,0.2464904090393402,15.0
2024-01-05 18:00:00,0.0,0.001,0.1852904090393402,1.0
2024-01-05 18:15:00,0.0,0.001,0.197237661666784,0.0
2024-01-05 18:30:00,0.0,0.001,0.21485819328500683,0.0
2024-01-05 18:45:00,0.0,0.001,0.21588553068624763,0.0
2024-01-05 19:00:00,0.0,0.001,0.355618864019581,0.0
2024-01-05 19:15:00,0.0,0.001,0.517218864019581,0.0
2024-01-05 19:30:00,0.0,0.001,0.19027362631372188,0.0
2024-01-05 19:45:00,0.0,0.001,0.1969313184117486,0.0
2024-01-05 20:00:00,0.0,0.001,0.2095521973529143,0.0
2024-01-05 20:15:00,0.0,0.001,0.354018864019581,0.0
2024-01-05 20:30:00,0.0,0.001,0.940418864019581,0.0
2024-01-05 20:45:00,0.0,0.001,0.2465521973529143,0.0
2024-01-05 21:00:00,0.0,0.001,0.1854139192941105,0.0
2024-01-05 21:15:00,0.0,0.001,0.1528,0.0
2024-01-05 21:30:00,0.0,0.001,0.19041966463271293,0.0
2024-01-05 21:45:00,0.0,0.001,0.4180904090393402,0.0
2024-01-05 22:00:00,0.0,0.001,0.8922904090393402,0.0
2024-01-05 22:15:00,0.0,0.001,0.4318237423726735,0.0
2024-01-05 22:30:00,0.0,0.001,0.4318237423726735,0.0
2024-01-05 22:45:00,0.0,0.001,0.38540407773996055,0.0
2024-01-05 23:00:00,0.0,0.001,0.2843333333333333,0.0
2024-01-05 23:15:00,0.0,0.001,0.22066666666666668,0.0
2024-01-05 23:30:00,0.0,0.001,0.056,0.0
2024-01-05 23:45:00,0.0,0.001,0.056,0.0
