,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP,P_use_WB,P_loss_WB,T_set_WB,T_ref_WB,Water_use
2024-08-03 18:04:00,1.0,0,0,0,0.0,0.0,20.0,24.63308987159149,24.416198249941065,27.99,0.36222655735187775,0.0,0.07790018527398673,60.0,60.95009263699337,0.0
2024-08-03 18:05:00,1.0,0,0,0,0.0,0.0,20.0,24.633157294447976,24.41764171556689,27.99,0.36222655735187775,0.0,0.0778890194566995,60.0,60.94450972834975,0.0
2024-08-03 18:06:00,1.0,0,0,0,0.0,0.0,20.0,24.633226097870583,24.419083264742607,27.99,0.36222655735187775,0.0,0.07787785523986385,60.0,60.938927619931924,0.0
2024-08-03 18:07:00,1.0,0,0,0,0.0,0.0,20.0,24.633296278478646,24.420522901534046,27.99,0.36222655735187775,0.0,0.0778666926232504,60.0,60.9333463116252,0.0
2024-08-03 18:08:00,1.0,0,0,0,0.0,0.0,20.0,24.633367832899143,24.42196062999795,27.99,0.36222655735187775,0.0,0.07785553160662977,60.0,60.927765803314884,0.0
2024-08-03 18:09:00,1.0,0,0,0,0.0,0.0,20.0,24.63344075776669,24.42339645418199,27.99,0.36222655735187775,0.0,0.07784437218977262,60.0,60.922186094886314,0.0
2024-08-03 18:10:00,1.0,0,0,0,0.0,0.0,20.0,24.633515049723506,24.42483037812478,27.99,0.36222655735187775,0.0,0.07783321437244968,60.0,60.91660718622484,0.0
2024-08-03 18:11:00,1.0,0,0,0,0.0,0.0,20.0,24.63359070541942,24.42626240585591,27.99,0.36222655735187775,0.0,0.07782205815443165,60.0,60.91102907721582,0.0
2024-08-03 18:12:00,1.0,0,0,0,0.0,0.0,20.0,24.63366772151183,24.427692541395942,27.99,0.36222655735187775,0.0,0.0778109035354893,60.0,60.90545176774465,0.0
2024-08-03 18:13:00,1.0,0,0,0,0.0,0.0,20.0,24.6337460946657,24.42912078875646,27.99,0.36222655735187775,0.0,0.07779975051539344,60.0,60.89987525769672,0.0
2024-08-03 18:14:00,1.0,0,0,0,0.0,0.0,20.0,24.633825821553536,24.430547151940075,27.99,0.36222655735187775,0.0,0.07778859909391489,60.0,60.89429954695744,0.0
2024-08-03 18:15:00,1.0,0,0,0,0.0,0.0,20.0,24.63390689885538,24.431971634940442,27.99,0.36222655735187775,0.0,0.0777774492708245,60.0,60.88872463541225,0.0
2024-08-03 18:16:00,1.0,0,0,0,0.0,0.0,20.0,24.633989323258774,24.43339424174229,27.99,0.36222655735187775,0.0,0.07776630104589319,60.0,60.88315052294659,0.0
2024-08-03 18:17:00,1.0,0,0,0,0.0,0.0,20.0,24.634073091458767,24.434814976321427,27.99,0.36222655735187775,0.0,0.07775515441889186,60.0,60.87757720944593,0.0
2024-08-03 18:18:00,1.0,0,0,0,0.0,0.0,20.0,24.634158200157874,24.436233842644786,27.99,0.36222655735187775,0.0,0.0777440093895915,60.0,60.87200469479575,0.0
2024-08-03 18:19:00,1.0,0,0,0,0.0,0.0,20.0,24.634244646066076,24.437650844670415,27.99,0.36222655735187775,0.0,0.07773286595776309,60.0,60.86643297888154,0.0
2024-08-03 18:20:00,1.0,0,0,0,0.0,0.0,20.0,24.6343324259008,24.439065986347515,27.99,0.36222655735187775,0.0,0.07772172412317764,60.0,60.86086206158882,0.0
2024-08-03 18:21:00,1.0,0,0,0,0.0,0.0,20.0,24.6344215363869,24.440479271616457,27.99,0.36222655735187775,0.0,0.07771058388560623,60.0,60.85529194280311,0.0
2024-08-03 18:22:00,1.0,0,0,0,0.0,0.0,20.0,24.634511974256636,24.441890704408802,27.99,0.36222655735187775,0.0,0.07769944524481995,60.0,60.84972262240997,0.0
2024-08-03 18:23:00,1.0,0,0,0,0.0,0.0,20.0,24.634603736249666,24.443300288647315,27.99,0.36222655735187775,0.0,0.07768830820058992,60.0,60.84415410029496,0.0
2024-08-03 18:24:00,1.0,0,0,0,0.0,0.0,20.0,24.63469681911302,24.44470802824599,27.99,0.36222655735187775,0.0,0.0776771727526873,60.0,60.83858637634365,0.0
2024-08-03 18:25:00,1.0,0,0,0,0.0,0.0,20.0,24.634791219601098,24.446113927110073,27.99,0.36222655735187775,0.0,0.07766603890088328,60.0,60.83301945044164,0.0
2024-08-03 18:26:00,1.0,0,0,0,0.0,0.0,20.0,24.634886934475638,24.44751798913607,27.99,0.36222655735187775,0.0,0.07765490664494909,60.0,60.82745332247455,0.0
