,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-07-29 02:45:00,2.0,0,0,0,0.0,0.0,15.0,15.44713003536745,15.95645637661174,16.29,0.36655901510803535
2024-07-29 02:46:00,2.0,0,0,0,0.0,0.0,15.0,15.448767208977499,15.955155050038293,16.29,0.36655901510803535
2024-07-29 02:47:00,2.0,0,0,0,0.0,0.0,15.0,15.450395084752195,15.953864542731365,16.29,0.36655901510803535
2024-07-29 02:48:00,2.0,0,0,0,0.0,0.0,15.0,15.452013726257489,15.952584778660674,16.29,0.36655901510803535
2024-07-29 02:49:00,2.0,0,0,0,0.0,0.0,15.0,15.453623196618276,15.951315682324504,16.29,0.36655901510803535
2024-07-29 02:50:00,2.0,0,0,0,0.0,0.0,15.0,15.455223558521462,15.950057178746034,16.29,0.36655901510803535
2024-07-29 02:51:00,2.0,0,0,0,0.0,0.0,15.0,15.45681487421901,15.948809193469693,16.29,0.36655901510803535
2024-07-29 02:52:00,2.0,0,0,0,0.0,0.0,15.0,15.458397205530956,15.947571652557535,16.29,0.36655901510803535
2024-07-29 02:53:00,2.0,0,0,0,0.0,0.0,15.0,15.459970613848409,15.946344482585648,16.29,0.36655901510803535
2024-07-29 02:54:00,2.0,0,0,0,0.0,0.0,15.0,15.461535160136535,15.945127610640577,16.29,0.36655901510803535
2024-07-29 02:55:00,2.0,0,0,0,0.0,0.0,15.0,15.46309090493751,15.943920964315788,16.29,0.36655901510803535
2024-07-29 02:56:00,2.0,0,0,0,0.0,0.0,15.0,15.464637908373462,15.942724471708134,16.29,0.36655901510803535
2024-07-29 02:57:00,2.0,0,0,0,0.0,0.0,15.0,15.466176230149387,15.941538061414368,16.29,0.36655901510803535
2024-07-29 02:58:00,2.0,0,0,0,0.0,0.0,15.0,15.467705929556047,15.940361662527666,16.29,0.36655901510803535
2024-07-29 02:59:00,2.0,0,0,0,0.0,0.0,15.0,15.469227065472845,15.93919520463418,16.29,0.36655901510803535
2024-07-29 03:00:00,2.0,0,0,0,0.0,0.0,15.0,15.470739696370684,15.938038617809609,15.20833,0.36655901510803535
2024-07-29 03:01:00,2.0,0,0,0,0.0,0.0,15.0,15.472194368236295,15.935781410248566,15.20833,0.36655901510803535
2024-07-29 03:02:00,2.0,0,0,0,0.0,0.0,15.0,15.473637323260897,15.9335384991514,15.20833,0.36655901510803535
2024-07-29 03:03:00,2.0,0,0,0,0.0,0.0,15.0,15.47506864362723,15.93130978588953,15.20833,0.36655901510803535
2024-07-29 03:04:00,2.0,0,0,0,0.0,0.0,15.0,15.476488410946764,15.929095172519157,15.20833,0.36655901510803535
2024-07-29 03:05:00,2.0,0,0,0,0.0,0.0,15.0,15.477896706263678,15.9268945617765,15.20833,0.36655901510803535
2024-07-29 03:06:00,2.0,0,0,0,0.0,0.0,15.0,15.479293610058797,15.92470785707308,15.20833,0.36655901510803535
2024-07-29 03:07:00,2.0,0,0,0,0.0,0.0,15.0,15.480679202253501,15.922534962491024,15.20833,0.36655901510803535
2024-07-29 03:08:00,2.0,0,0,0,0.0,0.0,15.0,15.482053562213622,15.920375782778407,15.20833,0.36655901510803535
2024-07-29 03:09:00,2.0,0,0,0,0.0,0.0,15.0,15.483416768753292,15.918230223344628,15.20833,0.36655901510803535
2024-07-29 03:10:00,2.0,0,0,0,0.0,0.0,15.0,15.484768900138782,15.916098190255815,15.20833,0.36655901510803535
2024-07-29 03:11:00,2.0,0,0,0,0.0,0.0,15.0,15.486110034092304,15.913979590230264,15.20833,0.36655901510803535
2024-07-29 03:12:00,2.0,0,0,0,0.0,0.0,15.0,15.487440247795796,15.911874330633912,15.20833,0.36655901510803535
2024-07-29 03:13:00,2.0,0,0,0,0.0,0.0,15.0,15.48875961789467,15.909782319475832,15.20833,0.36655901510803535
2024-07-29 03:14:00,2.0,0,0,0,0.0,0.0,15.0,15.490068220501541,15.90770346540377,15.20833,0.36655901510803535
2024-07-29 03:15:00,2.0,0,0,0,0.0,0.0,15.0,15.491366131199927,15.90563767769971,15.20833,0.36655901510803535
2024-07-29 03:16:00,2.0,0,0,0,0.0,0.0,15.0,15.492653425047925,15.903584866275462,15.20833,0.36655901510803535
2024-07-29 03:17:00,2.0,0,0,0,0.0,0.0,15.0,15.493930176581864,15.901544941668295,15.20833,0.36655901510803535
2024-07-29 03:18:00,1.0,0,0,0,0.0,0.0,20.0,15.495196459819928,15.899517815036585,15.20833,0.36655901510803535
2024-07-29 03:19:00,1.0,0,0,0,0.0,0.0,20.0,15.687665906785767,15.897503398155509,15.20833,0.36655901510803535
