,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-08-01 19:32:00,1.0,20.0,22.71422478067617,22.218296211651616,27.29833,0.3258480176488709
2024-08-01 19:33:00,1.0,20.0,22.713856717790467,22.22064692882804,27.29833,0.3258480176488709
2024-08-01 19:34:00,1.0,20.0,22.713491700133716,22.222993718258106,27.29833,0.3258480176488709
2024-08-01 19:35:00,1.0,20.0,22.713129719816074,22.225336589277187,27.29833,0.3258480176488709
2024-08-01 19:36:00,1.0,20.0,22.712770768967193,22.22767555119772,27.29833,0.3258480176488709
2024-08-01 19:37:00,1.0,20.0,22.71241483973619,22.23001061330927,27.29833,0.3258480176488709
2024-08-01 19:38:00,1.0,20.0,22.712061924291586,22.23234178487858,27.29833,0.3258480176488709
2024-08-01 19:39:00,1.0,20.0,22.711712014821263,22.234669075149636,27.29833,0.3258480176488709
2024-08-01 19:40:00,1.0,20.0,22.711365103532415,22.23699249334371,27.29833,0.3258480176488709
2024-08-01 19:41:00,1.0,20.0,22.711021182651503,22.239312048659425,27.29833,0.3258480176488709
2024-08-01 19:42:00,1.0,20.0,22.710680244424204,22.241627750272812,27.29833,0.3258480176488709
2024-08-01 19:43:00,1.0,20.0,22.710342281115363,22.243939607337357,27.29833,0.3258480176488709
2024-08-01 19:44:00,1.0,20.0,22.710007285008952,22.246247628984065,27.29833,0.3258480176488709
2024-08-01 19:45:00,1.0,20.0,22.70967524840802,22.248551824321517,27.29833,0.3258480176488709
2024-08-01 19:46:00,1.0,20.0,22.709346163634635,22.25085220243591,27.29833,0.3258480176488709
2024-08-01 19:47:00,1.0,20.0,22.709020023029858,22.253148772391135,27.29833,0.3258480176488709
2024-08-01 19:48:00,1.0,20.0,22.70869681895368,22.25544154322881,27.29833,0.3258480176488709
2024-08-01 19:49:00,1.0,20.0,22.708376543784983,22.257730523968345,27.29833,0.3258480176488709
2024-08-01 19:50:00,1.0,20.0,22.70805918992149,22.260015723607,27.29833,0.3258480176488709
2024-08-01 19:51:00,1.0,20.0,22.707744749779714,22.262297151119935,27.29833,0.3258480176488709
2024-08-01 19:52:00,1.0,20.0,22.70743321579493,22.264574815460264,27.29833,0.3258480176488709
2024-08-01 19:53:00,1.0,20.0,22.7071245804211,22.26684872555911,27.29833,0.3258480176488709
2024-08-01 19:54:00,1.0,20.0,22.706818836130857,22.269118890325664,27.29833,0.3258480176488709
2024-08-01 19:55:00,1.0,20.0,22.70651597541544,22.271385318647226,27.29833,0.3258480176488709
