,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_EV
2024-01-08 10:15:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 10:30:00,0.001,0.001,0.001,0.07566666666666667,0.0
2024-01-08 10:45:00,0.001,0.001,0.001,0.385,0.0
2024-01-08 11:00:00,0.001,0.001,0.001,0.20333333333333334,0.0
2024-01-08 11:15:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 11:30:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 11:45:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 12:00:00,0.001,0.001,0.001,0.10200000000000001,0.0
2024-01-08 12:15:00,0.001,0.001,0.001,0.29633333333333334,0.0
2024-01-08 12:30:00,0.001,0.001,0.001,0.24033333333333334,0.0
2024-01-08 12:45:00,0.001,0.001,0.001,0.06533333333333333,0.0
2024-01-08 13:00:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 13:15:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 13:30:00,0.001,0.001,0.001,0.15366666666666667,0.0
2024-01-08 13:45:00,0.001,0.001,0.001,0.15366666666666667,0.0
2024-01-08 14:00:00,0.001,0.001,0.001,0.21733333333333335,0.0
2024-01-08 14:15:00,0.001,0.001,0.001,0.17933333333333332,0.0
2024-01-08 14:30:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 14:45:00,0.001,0.001,0.001,0.050333333333333334,0.0
2024-01-08 15:00:00,0.001,0.001,0.001,0.195,0.0
2024-01-08 15:15:00,0.001,0.001,0.001,0.10200000000000001,0.0
2024-01-08 15:30:00,0.001,0.001,0.001,0.10333333333333333,0.0
2024-01-08 15:45:00,0.001,0.001,0.001,0.23,0.0
2024-01-08 16:00:00,0.001,0.001,0.001,0.10333333333333333,5.133333333333334
2024-01-08 16:15:00,0.001,0.001,0.001,0.10200000000000001,9.533333333333333
2024-01-08 16:30:00,0.001,0.001,0.001,0.195,0.0
2024-01-08 16:45:00,0.001,0.001,0.001,0.050333333333333334,0.0
2024-01-08 17:00:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 17:15:00,0.001,0.001,0.001,0.17933333333333332,2.933333333333333
2024-01-08 17:30:00,0.001,0.001,0.001,0.21733333333333335,2.2
2024-01-08 17:45:00,0.001,0.001,0.001,0.15366666666666667,0.0
2024-01-08 18:00:00,0.001,0.001,0.001,0.15366666666666667,0.0
2024-01-08 18:15:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 18:30:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 18:45:00,0.001,0.001,0.001,0.06533333333333333,0.0
2024-01-08 19:00:00,0.001,0.001,0.001,0.24033333333333334,0.0
2024-01-08 19:15:00,0.001,0.001,0.001,0.29633333333333334,0.0
2024-01-08 19:30:00,0.001,0.001,0.001,0.10200000000000001,0.0
2024-01-08 19:45:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 20:00:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 20:15:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 20:30:00,0.001,0.001,0.001,0.2033333333333333,0.0
2024-01-08 20:45:00,0.001,0.001,0.001,0.385,0.0
2024-01-08 21:00:00,0.001,0.001,0.001,0.07566666666666667,0.0
