,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-02 19:15:00,0.001,0.001,0.07133333333333333,0.0,0.0,0.0
2024-01-02 19:30:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-02 19:45:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-02 20:00:00,0.001,0.001,0.09666666666666666,0.0,0.0,0.0
2024-01-02 20:15:00,0.001,0.001,0.23600000000000002,0.0,0.0,0.0
2024-01-02 20:30:00,0.001,0.001,0.10933333333333332,0.0,0.0,0.0
2024-01-02 20:45:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-02 21:00:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-02 21:15:00,0.001,0.001,0.058666666666666666,0.0,0.0,0.0
2024-01-02 21:30:00,0.001,0.001,0.2430942454236041,0.0,0.0,0.0
2024-01-02 21:45:00,0.001,0.001,0.18229535376481065,0.0,0.0,0.0
2024-01-02 22:00:00,0.001,0.001,0.0893759397255878,0.0,1.6,0.0
2024-01-02 22:15:00,0.001,0.001,0.0893759397255878,0.0,0.8,0.9
2024-01-02 22:30:00,0.001,0.001,0.0893759397255878,0.0,0.0,1.5
2024-01-02 22:45:00,0.001,0.001,0.25193912656872686,0.0,0.0,1.5
2024-01-02 23:00:00,0.001,0.001,0.19715707570600685,0.0,0.0,1.5
2024-01-02 23:15:00,0.001,0.001,0.0578237423726735,0.0,0.0,1.5
2024-01-02 23:30:00,0.001,0.001,0.0578237423726735,0.0,0.0,0.5
2024-01-02 23:45:00,0.001,0.001,0.19495707570600684,0.0,0.0,0.0
2024-01-03 00:00:00,0.001,0.001,0.4264904090393402,0.0,0.0,0.0
2024-01-03 00:15:00,0.001,0.001,0.4700628302824027,0.0,0.0,0.0
2024-01-03 00:30:00,0.001,0.001,0.8210666666666666,0.0,0.0,1.4
2024-01-03 00:45:00,0.001,0.001,0.288,0.0,0.0,1.5
2024-01-03 01:00:00,0.001,0.001,0.21539999999999998,0.0,0.0,1.5
2024-01-03 01:15:00,0.001,0.001,0.5748,0.0,0.0,1.3
2024-01-03 01:30:00,0.001,0.001,0.23600000000000002,0.0,0.0,0.0
2024-01-03 01:45:00,0.001,0.001,0.4711333333333333,0.0,0.0,0.0
2024-01-03 02:00:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-03 02:15:00,0.001,0.001,0.046,0.0,0.0,0.8
2024-01-03 02:30:00,0.001,0.001,0.09666666666666666,0.0,0.0,1.5
2024-01-03 02:45:00,0.001,0.001,0.23600000000000002,0.0,0.0,0.8
2024-01-03 03:00:00,0.001,0.001,0.3758666666666667,0.0,0.0,1.2
2024-01-03 03:15:00,0.001,0.001,0.17926666666666666,0.0,0.0,1.1
2024-01-03 03:30:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-03 03:45:00,0.001,0.001,0.058666666666666666,0.0,0.0,0.0
2024-01-03 04:00:00,0.001,0.001,0.23600000000000002,0.0,0.0,1.1
2024-01-03 04:15:00,0.001,0.001,0.14733333333333334,0.0,3.466666666666667,1.5
2024-01-03 04:30:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-03 04:45:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-03 05:00:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-03 05:15:00,0.001,0.001,0.21066666666666664,0.0,0.0,0.0
2024-01-03 05:30:00,0.001,0.001,0.18533333333333332,0.0,0.0,0.1
2024-01-03 05:45:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-03 06:00:00,0.001,0.001,0.046,0.0,0.0,0.7
2024-01-03 06:15:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-03 06:30:00,0.001,0.001,0.17266666666666666,0.0,0.0,0.0
2024-01-03 06:45:00,0.001,0.001,0.2233333333333333,0.0,0.0,0.0
2024-01-03 07:00:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-03 07:15:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-03 07:30:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-03 07:45:00,0.001,0.001,0.13466666666666666,0.0,0.0,0.0
2024-01-03 08:00:00,0.001,0.001,0.23600000000000002,0.0,1.6,0.0
2024-01-03 08:15:00,0.001,0.001,0.07133333333333333,0.0,0.8,0.0
2024-01-03 08:30:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-03 08:45:00,0.11520820983748822,0.001,0.046,0.0,0.0,0.4
2024-01-03 09:00:00,1.7347724020109978,0.001,0.09989808180786804,0.0,0.0,1.5
2024-01-03 09:15:00,1.9241623818578888,0.001,0.26082374237267353,0.0,0.0,1.5
2024-01-03 09:30:00,1.3724456512705567,0.001,0.13415707570600685,0.0,0.0,1.0
2024-01-03 09:45:00,0.10354613153867841,0.001,0.07082374237267351,0.0,0.0,0.0
2024-01-03 10:00:00,0.001,0.1481101721312174,0.07082374237267351,0.0,0.0,0.0
2024-01-03 10:15:00,0.001,0.4300445279238899,0.07064724338965037,0.0,0.0,0.0
2024-01-03 10:30:00,0.001,0.663232898700175,0.24293333333333333,0.0,0.0,0.0
2024-01-03 10:45:00,0.001,0.14419002230744984,0.2168,0.0,0.0,0.0
2024-01-03 11:00:00,0.001,0.29652354140320536,0.301,0.0,0.0,0.0
2024-01-03 11:15:00,0.001,1.296082042536148,0.301,0.0,0.0,0.0
2024-01-03 11:30:00,0.001,0.3347254971841325,0.28973333333333334,0.0,0.0,0.0
2024-01-03 11:45:00,0.001,0.10695473016285469,0.4656666666666666,0.0,1.8666666666666667,1.4
2024-01-03 12:00:00,0.001,0.306670447376543,2.5511333333333335,0.0,0.5333333333333333,1.5
2024-01-03 12:15:00,0.001,0.8915701374107773,3.0662666666666665,0.0,0.0,1.5
2024-01-03 12:30:00,0.001,0.001,0.7008666666666666,0.0,0.0,1.5
2024-01-03 12:45:00,0.001,0.001,0.26066666666666666,0.0,0.0,1.5
2024-01-03 13:00:00,0.001,0.001,0.44144594158953815,0.0,0.0,1.5
2024-01-03 13:15:00,0.001,0.001,0.5087092730589211,0.0,0.0,1.5
2024-01-03 13:30:00,0.001,0.001,0.8644426063922545,0.0,0.0,1.5
2024-01-03 13:45:00,0.001,0.001,0.33137593972558776,0.0,0.0,1.5
2024-01-03 14:00:00,0.001,0.001,0.2184426063922545,0.0,0.0,1.5
2024-01-03 14:15:00,0.001,0.001,0.27169736868639544,0.0,0.0,1.5
2024-01-03 14:30:00,0.001,0.001,0.3397023134118659,0.0,0.0,1.5
2024-01-03 14:45:00,0.001,0.001,0.1036737801777592,0.0,0.0,1.5
2024-01-03 15:00:00,0.001,0.001,0.07755219735291431,0.0,0.0,1.5
2024-01-03 15:15:00,0.001,0.001,0.1776959397255878,0.0,0.0,1.5
2024-01-03 15:30:00,0.001,0.001,0.14004260639225447,0.0,2.4,1.5
2024-01-03 15:45:00,0.001,0.001,0.26885854060794967,0.0,0.0,1.5
2024-01-03 16:00:00,0.001,0.001,0.15270927305892112,0.0,0.0,1.5
2024-01-03 16:15:00,0.001,0.001,0.6250426063922545,0.0,0.0,1.5
2024-01-03 16:30:00,0.001,0.001,0.09055219735291432,0.0,0.0,1.5
2024-01-03 16:45:00,0.001,0.001,0.2158049447254705,0.0,0.0,1.5
2024-01-03 17:00:00,0.001,0.001,0.491,0.0,0.0,1.5
2024-01-03 17:15:00,0.001,0.001,0.8123805767229837,0.0,0.0,1.5
2024-01-03 17:30:00,0.001,0.001,0.32172520727461634,0.0,0.0,1.5
2024-01-03 17:45:00,0.001,0.001,0.26684260639225443,0.0,0.0,1.5
2024-01-03 18:00:00,0.001,0.001,2.1846426063922544,0.0,0.0,1.5
2024-01-03 18:15:00,0.001,0.001,0.8137759397255878,0.0,0.0,1.5
2024-01-03 18:30:00,0.001,0.001,0.2092598608836487,0.0,0.0,1.5
2024-01-03 18:45:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-03 19:00:00,0.001,0.001,0.058133333333333335,0.0,0.8,1.5
2024-01-03 19:15:00,0.001,0.001,0.12002087894116571,0.0,1.6,0.3
2024-01-03 19:30:00,0.001,0.001,0.3382188640195809,0.0,0.0,0.0
2024-01-03 19:45:00,0.001,0.001,0.8302794407425647,0.0,0.0,0.0
2024-01-03 20:00:00,0.001,0.001,1.5466959397255877,0.0,0.0,0.0
2024-01-03 20:15:00,0.001,0.001,0.8759759397255878,0.0,0.0,1.5
2024-01-03 20:30:00,0.001,0.001,0.7978057932353936,0.0,0.0,1.5
2024-01-03 20:45:00,0.001,0.001,0.2674904090393401,0.0,0.0,1.5
2024-01-03 21:00:00,0.001,0.001,0.3664589938981388,0.0,0.0,1.5
2024-01-03 21:15:00,0.001,0.001,0.31743766166678394,0.0,0.0,1.5
2024-01-03 21:30:00,0.001,0.001,0.33137593972558776,0.0,0.0,1.5
2024-01-03 21:45:00,0.001,0.001,0.3470959397255877,0.0,0.0,1.5
2024-01-03 22:00:00,0.001,0.001,0.28312260639225445,0.0,0.0,1.5
2024-01-03 22:15:00,0.001,0.001,0.38424260639225444,0.0,0.0,1.5
2024-01-03 22:30:00,0.001,0.001,0.26845279526934723,0.0,0.0,1.5
2024-01-03 22:45:00,0.001,0.001,0.16857649898302315,0.0,0.0,1.5
2024-01-03 23:00:00,0.001,0.001,0.21037593972558782,0.0,0.0,1.5
2024-01-03 23:15:00,0.001,0.001,0.22304260639225448,0.0,0.0,1.5
2024-01-03 23:30:00,0.001,0.001,0.40037593972558777,0.0,0.0,1.5
2024-01-03 23:45:00,0.001,0.001,0.28750927305892116,0.0,0.0,1.5
2024-01-04 00:00:00,0.001,0.001,0.1638303546967859,0.0,0.0,1.5
2024-01-04 00:15:00,0.001,0.001,0.167,0.0,0.0,1.5
2024-01-04 00:30:00,0.001,0.001,0.167,0.0,0.0,1.5
2024-01-04 00:45:00,0.001,0.001,0.33166666666666667,0.0,0.0,1.1
2024-01-04 01:00:00,0.001,0.001,0.26599999999999996,0.0,0.0,1.5
2024-01-04 01:15:00,0.001,0.001,0.046,0.0,0.0,0.9
2024-01-04 01:30:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-04 01:45:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-04 02:00:00,0.001,0.001,0.17266666666666666,0.0,0.0,0.2
2024-01-04 02:15:00,0.001,0.001,0.2233333333333333,0.0,0.0,1.5
2024-01-04 02:30:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-04 02:45:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-04 03:00:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-04 03:15:00,0.001,0.001,0.13466666666666666,0.0,0.0,0.1
2024-01-04 03:30:00,0.001,0.001,0.23600000000000002,0.0,0.0,1.5
2024-01-04 03:45:00,0.001,0.001,0.07133333333333333,0.0,0.0,1.5
2024-01-04 04:00:00,0.001,0.001,0.046,0.0,0.26666666666666666,0.7
2024-01-04 04:15:00,0.001,0.001,0.4458,0.0,2.6666666666666665,0.0
2024-01-04 04:30:00,0.001,0.001,0.09666666666666666,0.0,0.26666666666666666,0.0
2024-01-04 04:45:00,0.001,0.001,0.23600000000000002,0.0,0.0,0.0
2024-01-04 05:00:00,0.001,0.001,0.10933333333333332,0.0,0.5333333333333333,0.0
2024-01-04 05:15:00,0.001,0.001,0.046,0.0,1.0666666666666667,0.2
2024-01-04 05:30:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-04 05:45:00,0.001,0.001,0.058666666666666666,0.0,0.0,0.9
2024-01-04 06:00:00,0.001,0.001,0.23600000000000002,0.0,0.0,1.5
2024-01-04 06:15:00,0.001,0.001,0.14733333333333334,0.0,0.0,1.5
2024-01-04 06:30:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-04 06:45:00,0.001,0.001,0.046,0.0,2.4,0.9
2024-01-04 07:00:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-04 07:15:00,0.001,0.001,0.215,0.0,0.0,0.0
2024-01-04 07:30:00,0.001,0.001,0.19833333333333333,0.0,0.0,0.0
2024-01-04 07:45:00,0.001,0.001,0.059000000000000004,0.0,0.0,0.0
2024-01-04 08:00:00,0.001,0.001,0.059000000000000004,0.0,0.0,1.3
2024-01-04 08:15:00,0.001,0.001,0.0564,0.0,0.0,1.5
2024-01-04 08:30:00,0.001,0.001,0.17503141514120138,0.0,0.0,1.5
2024-01-04 08:45:00,0.001,0.001,0.24469040903934017,0.0,0.0,1.5
2024-01-04 09:00:00,0.001,0.001,0.07082374237267351,0.0,0.0,1.5
2024-01-04 09:15:00,0.001,0.001,0.07082374237267351,0.0,0.0,1.5
2024-01-04 09:30:00,0.001,0.001,0.0656237423726735,0.0,2.4,1.5
2024-01-04 09:45:00,0.001,0.001,0.23512566056480547,0.0,0.0,1.5
2024-01-04 10:00:00,0.001,0.1907336200641085,0.327,0.0,0.0,1.5
2024-01-04 10:15:00,0.001,0.5904714082723814,0.17186666666666667,0.0,0.0,1.5
2024-01-04 10:30:00,0.001,0.4854863435082232,0.15,0.0,0.0,1.5
2024-01-04 10:45:00,0.001,0.16616168836457856,0.07113333333333333,0.0,0.0,1.5
2024-01-04 11:00:00,0.001,0.5149083967827618,0.10966666666666666,0.0,0.0,1.5
2024-01-04 11:15:00,0.001,1.2575608255053539,0.24726666666666666,0.0,0.0,1.5
2024-01-04 11:30:00,0.001,0.12384923520517449,0.1325805767229837,0.0,0.0,1.5
