,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-04 19:45:00,0.0,0.001,0.21504523770585904,5.0
2024-01-04 20:00:00,0.0,0.001,0.22713469226802996,0.6666666666666666
2024-01-04 20:15:00,0.0,0.001,0.4292759397255878,0.0
2024-01-04 20:30:00,0.0,0.001,0.6630759397255878,0.0
2024-01-04 20:45:00,0.0,0.001,0.4133759397255877,0.0
2024-01-04 21:00:00,0.0,0.001,0.8599252072746164,4.666666666666667
2024-01-04 21:15:00,0.0,0.001,0.21333333333333332,1.6666666666666667
2024-01-04 21:30:00,0.0,0.001,0.2603,0.0
2024-01-04 21:45:00,0.0,0.001,0.4060374110732939,0.0
2024-01-04 22:00:00,0.0,0.001,0.5315585406079497,0.0
2024-01-04 22:15:00,0.0,0.001,0.3520759397255878,0.0
2024-01-04 22:30:00,0.0,0.001,0.3520759397255878,0.6666666666666666
2024-01-04 22:45:00,0.0,0.001,0.3278759397255878,4.333333333333333
2024-01-04 23:00:00,0.0,0.001,0.20137039708368434,0.0
2024-01-04 23:15:00,0.0,0.001,0.35236666666666666,0.0
2024-01-04 23:30:00,0.0,0.001,0.3017,0.3333333333333333
2024-01-04 23:45:00,0.0,0.001,0.18769999999999998,3.0
2024-01-05 00:00:00,0.0,0.001,0.2007,0.0
2024-01-05 00:15:00,0.0,0.001,0.20227649898302313,0.0
2024-01-05 00:30:00,0.0,0.001,0.26319040903934016,1.3333333333333333
2024-01-05 00:45:00,0.0,0.001,0.40252374237267347,2.3333333333333335
2024-01-05 01:00:00,0.0,0.001,0.6399237423726735,0.0
2024-01-05 01:15:00,0.0,0.001,0.1723837423726735,0.0
2024-01-05 01:30:00,0.0,0.001,0.0567294969490694,3.3333333333333335
2024-01-05 01:45:00,0.0,0.001,0.052,0.0
2024-01-05 02:00:00,0.0,0.001,0.17866666666666664,0.0
2024-01-05 02:15:00,0.0,0.001,0.20400000000000001,1.0
2024-01-05 02:30:00,0.0,0.001,0.052,2.3333333333333335
2024-01-05 02:45:00,0.0,0.001,0.052,0.0
2024-01-05 03:00:00,0.0,0.001,0.4518000000000001,0.0
2024-01-05 03:15:00,0.0,0.001,0.06466666666666666,0.0
2024-01-05 03:30:00,0.0,0.001,0.242,0.0
2024-01-05 03:45:00,0.0,0.001,0.128,0.0
2024-01-05 04:00:00,0.0,0.001,0.052,0.0
2024-01-05 04:15:00,0.0,0.001,0.052,0.0
2024-01-05 04:30:00,0.0,0.001,0.052,3.0
2024-01-05 04:45:00,0.0,0.001,0.14066666666666666,0.0
2024-01-05 05:00:00,0.0,0.001,0.242,0.0
2024-01-05 05:15:00,0.0,0.001,0.18526666666666666,0.0
2024-01-05 05:30:00,0.0,0.001,0.45180000000000003,0.0
2024-01-05 05:45:00,0.0,0.001,0.052,0.0
2024-01-05 06:00:00,0.0,0.001,0.052,0.0
2024-01-05 06:15:00,0.0,0.001,0.21666666666666667,1.0
2024-01-05 06:30:00,0.0,0.001,0.16599999999999998,5.0
2024-01-05 06:45:00,0.0,0.001,0.052,0.0
2024-01-05 07:00:00,0.0,0.001,0.052,0.0
2024-01-05 07:15:00,0.0,0.001,0.052,0.0
2024-01-05 07:30:00,0.0,0.001,0.10266666666666667,2.6666666666666665
2024-01-05 07:45:00,0.0,0.001,0.2437333333333333,2.3333333333333335
2024-01-05 08:00:00,0.0,0.001,0.103,0.0
2024-01-05 08:15:00,0.0,0.001,0.065,0.0
2024-01-05 08:30:00,0.0,0.001,0.07209424542360411,0.0
2024-01-05 08:45:00,0.0,0.001,0.0768237423726735,0.0
2024-01-05 09:00:00,0.0,0.001,0.1922237423726735,0.0
2024-01-05 09:15:00,0.0,0.001,0.21582374237267352,0.0
2024-01-05 09:30:00,0.0,0.001,0.0590942454236041,2.0
2024-01-05 09:45:00,0.0,0.001,0.052,3.6666666666666665
2024-01-05 10:00:00,0.0,0.001,0.052,0.3333333333333333
2024-01-05 10:15:00,0.0,0.001,0.06899999999999999,0.0
2024-01-05 10:30:00,0.0,0.001,0.27309333333333335,0.0
2024-01-05 10:45:00,0.0,0.001,0.2767,0.0
2024-01-05 11:00:00,0.0,0.001,0.2007,0.0
2024-01-05 11:15:00,0.0,0.001,0.19289999999999996,0.0
2024-01-05 11:30:00,0.0,0.001,0.18769999999999998,0.0
2024-01-05 11:45:00,0.0,0.001,0.8154999999999999,0.0
2024-01-05 12:00:00,0.0,0.001,0.3907,2.6666666666666665
2024-01-05 12:15:00,0.0,0.001,0.2007,2.6666666666666665
2024-01-05 12:30:00,0.0,0.001,0.2007,0.0
2024-01-05 12:45:00,0.0,0.001,0.21948300533988926,0.0
2024-01-05 13:00:00,0.0,0.001,0.7641426063922545,3.3333333333333335
2024-01-05 13:15:00,0.0,0.001,0.5006092730589211,0.3333333333333333
2024-01-05 13:30:00,0.0,0.001,0.47474260639225446,0.0
2024-01-05 13:45:00,0.0,0.001,0.36507593972558783,0.0
2024-01-05 14:00:00,0.0,0.001,0.7293824949151158,0.0
2024-01-05 14:15:00,0.0,0.001,0.3217,3.0
