,WasherDryer,TumbleDryer,BaseLoad
2024-01-03 00:00:00,0.001,0.001,0.34136666666666665
2024-01-03 00:15:00,0.001,0.001,0.3046999999999999
2024-01-03 00:30:00,0.001,0.001,0.7812999999999999
2024-01-03 00:45:00,0.001,0.001,0.18842949694906938
2024-01-03 01:00:00,0.001,0.001,0.5953237423726735
2024-01-03 01:15:00,0.001,0.001,0.29085707570600683
2024-01-03 01:30:00,0.001,0.001,0.2615237423726735
2024-01-03 01:45:00,0.001,0.001,0.1955237423726735
2024-01-03 02:00:00,0.001,0.001,0.09601040903934016
2024-01-03 02:15:00,0.001,0.001,0.5850079141242245
2024-01-03 02:30:00,0.001,0.001,0.048
2024-01-03 02:45:00,0.001,0.001,0.5138
2024-01-03 03:00:00,0.001,0.001,0.14333333333333334
2024-01-03 03:15:00,0.001,0.001,0.048
2024-01-03 03:30:00,0.001,0.001,0.048
2024-01-03 03:45:00,0.001,0.001,0.048
2024-01-03 04:00:00,0.001,0.001,0.5810666666666667
2024-01-03 04:15:00,0.001,0.001,0.6177333333333334
2024-01-03 04:30:00,0.001,0.001,0.5578000000000001
2024-01-03 04:45:00,0.001,0.001,0.5957333333333333
2024-01-03 05:00:00,0.001,0.001,0.048
2024-01-03 05:15:00,0.001,0.001,0.048
2024-01-03 05:30:00,0.001,0.001,0.06620000000000001
2024-01-03 05:45:00,0.001,0.001,0.14633333333333334
2024-01-03 06:00:00,0.001,0.001,0.249
2024-01-03 06:15:00,0.001,0.001,0.183
2024-01-03 06:30:00,0.001,0.001,0.06620000000000001
2024-01-03 06:45:00,0.001,0.001,0.048
2024-01-03 07:00:00,0.001,0.001,0.048
2024-01-03 07:15:00,0.001,0.001,0.5810666666666667
2024-01-03 07:30:00,0.001,0.001,0.1412
2024-01-03 07:45:00,0.001,0.001,0.13433333333333333
2024-01-03 08:00:00,0.001,0.001,0.061000000000000006
2024-01-03 08:15:00,0.001,0.001,0.061000000000000006
2024-01-03 08:30:00,0.001,0.001,0.29078666666666664
2024-01-03 08:45:00,0.001,0.001,2.183
2024-01-03 09:00:00,0.001,0.001,2.350333333333333
2024-01-03 09:15:00,0.001,0.001,0.1602
2024-01-03 09:30:00,0.001,0.001,0.048
2024-01-03 09:45:00,0.001,0.001,0.048
2024-01-03 10:00:00,0.001,0.001,0.048
2024-01-03 10:15:00,0.001,0.001,0.048
2024-01-03 10:30:00,0.001,0.001,0.12573333333333334
2024-01-03 10:45:00,0.001,0.001,0.2894
2024-01-03 11:00:00,0.001,0.001,0.20400000000000001
2024-01-03 11:15:00,0.001,0.001,0.182
2024-01-03 11:30:00,0.001,0.001,0.182
2024-01-03 11:45:00,0.001,0.001,0.4752
2024-01-03 12:00:00,0.001,0.001,0.048
2024-01-03 12:15:00,0.001,0.001,0.158
2024-01-03 12:30:00,0.001,0.001,0.09933333333333333
2024-01-03 12:45:00,0.001,0.001,0.048
2024-01-03 13:00:00,0.001,0.001,0.048
2024-01-03 13:15:00,0.001,0.001,0.048
2024-01-03 13:30:00,0.001,0.001,0.048
2024-01-03 13:45:00,0.001,0.001,0.12866666666666665
2024-01-03 14:00:00,0.001,0.001,0.12866666666666665
2024-01-03 14:15:00,0.001,0.001,0.048
2024-01-03 14:30:00,0.001,0.001,0.20121333333333336
2024-01-03 14:45:00,0.001,0.001,0.35541424542360406
2024-01-03 15:00:00,0.001,0.001,0.27182374237267354
2024-01-03 15:15:00,0.001,0.001,0.3231570757060068
2024-01-03 15:30:00,0.001,0.047599999999999996,0.4419570757060069
2024-01-03 15:45:00,0.001,1.643048217049416,1.3782904090393402
2024-01-03 16:00:00,0.001,1.9473821803476017,2.2007098323163565
2024-01-03 16:15:00,0.001,1.9800067705896622,0.182
2024-01-03 16:30:00,0.001,1.421988411811932,0.6614533333333334
2024-01-03 16:45:00,0.001,0.001,0.6812666666666666
2024-01-03 17:00:00,0.001,0.001,0.4147
2024-01-03 17:15:00,0.001,0.001,0.4024177464405809
2024-01-03 17:30:00,0.001,0.001,0.6083237423726735
2024-01-03 17:45:00,0.001,0.001,0.29684374237267347
2024-01-03 18:00:00,0.001,0.001,0.2085237423726735
2024-01-03 18:15:00,0.001,0.001,0.20765707570600683
2024-01-03 18:30:00,0.001,0.001,0.2958256605648054
2024-01-03 18:45:00,0.001,0.001,0.7754333333333333
2024-01-03 19:00:00,0.001,0.001,0.1837
2024-01-03 19:15:00,0.001,0.001,2.170539329265426
2024-01-03 19:30:00,0.001,0.001,2.7190570757060066
2024-01-03 19:45:00,0.001,0.001,0.8830570757060069
2024-01-03 20:00:00,0.001,0.001,0.2818570757060069
2024-01-03 20:15:00,0.001,0.001,0.2965237423726735
2024-01-03 20:30:00,0.001,0.001,0.2448374110732939
2024-01-03 20:45:00,0.001,0.001,0.3165237423726735
