,TumbleDryer,BaseLoad,P_EV
2024-01-03 23:45:00,0.001,0.20979944074256468,0.0
2024-01-04 00:00:00,0.001,0.1995521973529143,0.0
2024-01-04 00:15:00,0.001,0.6120188640195809,0.0
2024-01-04 00:30:00,0.001,0.3895521973529143,0.0
2024-01-04 00:45:00,0.001,0.16261886401958095,0.0
2024-01-04 01:00:00,0.001,0.07855219735291431,0.0
2024-01-04 01:15:00,0.001,0.04910347982352762,0.0
2024-01-04 01:30:00,0.001,0.6180666666666667,0.0
2024-01-04 01:45:00,0.001,0.237,0.0
2024-01-04 02:00:00,0.001,0.7639999999999999,0.0
2024-01-04 02:15:00,0.001,0.18026666666666666,0.0
2024-01-04 02:30:00,0.001,0.047,0.0
2024-01-04 02:45:00,0.001,0.11033333333333334,0.0
2024-01-04 03:00:00,0.001,0.237,0.0
2024-01-04 03:15:00,0.001,0.07233333333333333,0.0
2024-01-04 03:30:00,0.001,0.047,0.0
2024-01-04 03:45:00,0.001,0.047,0.0
2024-01-04 04:00:00,0.001,0.13566666666666669,0.0
2024-01-04 04:15:00,0.001,0.237,0.0
2024-01-04 04:30:00,0.001,0.047,0.0
2024-01-04 04:45:00,0.001,0.047,0.0
2024-01-04 05:00:00,0.001,0.5800666666666666,0.0
2024-01-04 05:15:00,0.001,0.161,0.0
2024-01-04 05:30:00,0.001,0.21166666666666664,0.0
2024-01-04 05:45:00,0.001,0.4467999999999999,0.0
2024-01-04 06:00:00,0.001,0.047,0.0
2024-01-04 06:15:00,0.001,0.047,0.0
2024-01-04 06:30:00,0.001,0.7194,0.0
2024-01-04 06:45:00,0.001,1.1192,0.0
2024-01-04 07:00:00,0.001,0.4468,0.0
2024-01-04 07:15:00,0.001,0.4467999999999999,0.0
2024-01-04 07:30:00,1.214255689298831,0.32306666666666667,0.0
2024-01-04 07:45:00,1.8990402474384707,0.5227521973529142,0.0
2024-01-04 08:00:00,1.9725531957406226,2.2055521973529144,0.0
2024-01-04 08:15:00,1.7964477539625179,0.49155219735291433,0.0
2024-01-04 08:30:00,0.1577286933581698,0.09155219735291431,0.0
2024-01-04 08:45:00,0.001,0.0810347982352762,0.0
2024-01-04 09:00:00,0.001,0.25,0.0
2024-01-04 09:15:00,0.001,0.1391333333333333,0.0
2024-01-04 09:30:00,0.001,0.047,0.0
2024-01-04 09:45:00,0.001,0.4467999999999999,0.0
2024-01-04 10:00:00,0.001,0.07233333333333333,0.0
2024-01-04 10:15:00,0.001,0.237,0.0
2024-01-04 10:30:00,0.001,0.615,0.0
2024-01-04 10:45:00,0.001,0.9676666666666667,0.0
2024-01-04 11:00:00,0.001,1.6074,0.0
2024-01-04 11:15:00,0.001,0.5981333333333333,0.0
2024-01-04 11:30:00,0.001,1.1453333333333333,0.0
2024-01-04 11:45:00,0.001,0.23253333333333334,0.0
2024-01-04 12:00:00,0.001,0.7140666666666667,0.0
2024-01-04 12:15:00,0.001,0.181,0.0
2024-01-04 12:30:00,0.001,0.136,0.0
2024-01-04 12:45:00,0.001,0.31453333333333333,0.0
2024-01-04 13:00:00,0.001,0.19366666666666665,0.0
2024-01-04 13:15:00,0.001,0.8187098323163565,0.0
2024-01-04 13:30:00,0.001,2.8306237423726737,0.0
2024-01-04 13:45:00,0.001,3.700977954647173,0.0
2024-01-04 14:00:00,0.001,0.6560426063922544,0.0
2024-01-04 14:15:00,0.001,0.3453759397255878,0.0
2024-01-04 14:30:00,0.001,0.24164260639225446,0.0
2024-01-04 14:45:00,0.001,0.1468426063922545,0.0
2024-01-04 15:00:00,0.001,0.1960078081569783,0.0
2024-01-04 15:15:00,0.001,0.19899999999999998,0.0
2024-01-04 15:30:00,0.001,0.047,0.0
2024-01-04 15:45:00,0.001,0.7543333333333333,0.0
