,TumbleDryer,DishWasher,WashingMachine,BaseLoad
2024-01-06 05:30:00,0.001,0.0,0.001,0.06633333333333334
2024-01-06 05:45:00,0.001,0.0,0.001,0.231
2024-01-06 06:00:00,0.001,0.0,0.001,0.06146666666666667
2024-01-06 06:15:00,0.001,0.0,0.001,0.054
2024-01-06 06:30:00,0.001,0.0,0.001,0.054
2024-01-06 06:45:00,0.001,0.0,0.001,0.054
2024-01-06 07:00:00,0.001,0.0,0.001,0.168
2024-01-06 07:15:00,0.001,0.0,0.001,0.1654
2024-01-06 07:30:00,0.001,0.0,0.001,0.054
2024-01-06 07:45:00,0.001,0.0,0.001,0.054
2024-01-06 08:00:00,0.001,0.0,0.001,0.054
2024-01-06 08:15:00,0.001,0.0,0.001,0.19993333333333332
2024-01-06 08:30:00,0.001,0.0,0.001,0.6438
2024-01-06 08:45:00,0.001,0.0,0.001,0.06633333333333333
2024-01-06 09:00:00,0.001,0.0,0.001,0.1514
2024-01-06 09:15:00,0.001,0.0,0.001,0.041
2024-01-06 09:30:00,0.001,0.0,0.001,0.5740666666666667
2024-01-06 09:45:00,0.001,0.0,0.001,0.14233333333333334
2024-01-06 10:00:00,0.001,0.0,0.001,0.16766666666666669
2024-01-06 10:15:00,0.001,0.0,0.001,0.041
2024-01-06 10:30:00,0.001,0.0,0.001,0.041
2024-01-06 10:45:00,0.001,0.0,0.001,0.041
2024-01-06 11:00:00,0.001,0.0,0.001,0.5740666666666667
2024-01-06 11:15:00,0.001,0.0,0.001,0.231
2024-01-06 11:30:00,0.001,0.0,0.001,0.079
2024-01-06 11:45:00,0.001,0.0,0.001,0.041
2024-01-06 12:00:00,0.001,0.0,0.001,0.041
2024-01-06 12:15:00,0.001,0.0,0.001,0.041
2024-01-06 12:30:00,0.001,0.0,0.001,0.12966666666666668
2024-01-06 12:45:00,0.001,0.0,0.001,0.18033333333333335
2024-01-06 13:00:00,0.001,0.0,0.001,0.041
2024-01-06 13:15:00,0.001,0.0,0.001,0.041
2024-01-06 13:30:00,0.001,0.0,0.001,0.041
2024-01-06 13:45:00,0.001,0.0,0.001,0.041
2024-01-06 14:00:00,0.001,0.0,0.001,0.21833333333333335
2024-01-06 14:15:00,0.001,0.0,0.001,0.09166666666666666
2024-01-06 14:30:00,0.001,0.0,0.001,0.041
2024-01-06 14:45:00,0.001,0.0,0.001,0.041
2024-01-06 15:00:00,0.001,0.0,0.001,0.041
2024-01-06 15:15:00,0.001,0.0,0.001,0.117
2024-01-06 15:30:00,0.001,0.0,0.001,0.5928
2024-01-06 15:45:00,0.001,0.0,0.001,0.041
2024-01-06 16:00:00,0.001,0.0,0.001,0.041
2024-01-06 16:15:00,0.001,0.0,0.001,0.041
2024-01-06 16:30:00,0.001,0.0,0.001,0.049666666666666665
2024-01-06 16:45:00,0.001,0.0,0.001,0.23970146490194283
2024-01-06 17:00:00,0.001,0.0,0.001,0.6819521973529142
2024-01-06 17:15:00,0.001,0.0,0.001,0.0855521973529143
2024-01-06 17:30:00,0.001,0.0,0.001,0.07428553068624763
2024-01-06 17:45:00,0.001,0.0,0.001,0.08295219735291431
2024-01-06 18:00:00,0.001,0.0,0.001,0.13416117192155427
2024-01-06 18:15:00,0.001,0.0,0.001,0.22077014649019427
2024-01-06 18:30:00,0.001,0.0,0.001,0.09501119125105312
2024-01-06 18:45:00,0.001,0.0,0.001,0.2017092730589211
2024-01-06 19:00:00,0.001,0.0,0.001,0.12470927305892114
2024-01-06 19:15:00,0.001,0.0,0.001,0.20537593972558782
2024-01-06 19:30:00,0.001,0.0,0.001,0.35279883358833825
2024-01-06 19:45:00,0.001,0.0,0.001,0.26282374237267353
2024-01-06 20:00:00,0.001,0.0,0.001,0.10589580705499976
2024-01-06 20:15:00,0.001,0.0,0.001,0.09343469226802997
2024-01-06 20:30:00,0.001,0.0,0.001,0.09390927305892113
2024-01-06 20:45:00,0.001,0.0,0.001,0.13504260639225446
2024-01-06 21:00:00,0.001,0.0,0.001,0.2617092730589211
2024-01-06 21:15:00,0.001,0.0,0.001,0.07596202043147732
2024-01-06 21:30:00,0.001,0.0,0.001,0.0528237423726735
2024-01-06 21:45:00,0.001,0.0,0.001,0.06544462131383923
2024-01-06 22:00:00,0.001,0.0,0.001,0.07885819328500683
2024-01-06 22:15:00,0.001,0.0,0.001,0.21188553068624763
2024-01-06 22:30:00,0.001,0.0,0.001,0.16121886401958097
2024-01-06 22:45:00,0.001,0.0,0.001,0.07255219735291431
2024-01-06 23:00:00,0.001,0.0,0.001,0.057827838588220964
2024-01-06 23:15:00,0.001,0.0,0.001,0.041
2024-01-06 23:30:00,0.001,0.0,0.001,0.079
2024-01-06 23:45:00,0.001,0.0,0.001,0.231
2024-01-07 00:00:00,0.001,0.0,0.001,0.041
2024-01-07 00:15:00,0.001,0.0,0.001,0.041
2024-01-07 00:30:00,0.001,0.0,0.001,0.041
2024-01-07 00:45:00,0.001,0.0,0.001,0.5740666666666667
2024-01-07 01:00:00,0.001,0.0,0.001,0.16766666666666669
2024-01-07 01:15:00,0.001,0.0,0.001,0.14706283028240275
2024-01-07 01:30:00,0.001,0.0,0.001,0.0528237423726735
2024-01-07 01:45:00,0.001,0.0,0.001,0.0528237423726735
2024-01-07 02:00:00,0.001,0.0,0.001,0.0528237423726735
2024-01-07 02:15:00,0.001,0.0,0.001,0.07815707570600684
