,WasherDryer,WashingMachine,BaseLoad,P_HP
2024-01-04 10:30:00,0.001,0.7803025484349668,0.47325219735291435,0.0
2024-01-04 10:45:00,0.001,0.5492199581826239,0.463718864019581,0.0
2024-01-04 11:00:00,0.001,0.1434513441698239,0.5362521973529143,0.0
2024-01-04 11:15:00,0.05373565240384421,0.2554147936828785,0.5352153841960533,0.0
2024-01-04 11:30:00,0.7920347860576631,0.67508669111518,0.2731,0.0
2024-01-04 11:45:00,0.7920347860576631,0.09870951859967539,0.18669999999999998,0.0
2024-01-04 12:00:00,0.7920347860576631,0.18557756726486918,1.4683139192941104,0.0
2024-01-04 12:15:00,0.7920347860576631,0.8314813029734992,2.3402521973529145,1.6
2024-01-04 12:30:00,0.7920347860576631,1.341038226434923,0.7919188640195809,0.4
2024-01-04 12:45:00,0.7920347860576631,0.14565805940498583,0.4212521973529143,0.0
2024-01-04 13:00:00,0.7920347860576631,0.15539743014652482,0.8270521973529142,0.0
2024-01-04 13:15:00,0.7920347860576631,0.326329885707718,0.6889576920980267,0.0
2024-01-04 13:30:00,0.7920347860576631,0.5908149580219118,0.42869999999999997,0.0
2024-01-04 13:45:00,0.7920347860576631,0.001,0.42869999999999997,0.0
2024-01-04 14:00:00,0.7920347860576631,0.001,0.40449999999999997,0.0
2024-01-04 14:15:00,0.7920347860576631,0.001,1.239500848509923,0.0
2024-01-04 14:30:00,0.1064713048076884,0.001,2.2519426063922543,0.0
2024-01-04 14:45:00,0.001,0.001,0.3026759397255878,0.0
2024-01-04 15:00:00,0.001,0.001,0.3510759397255878,0.0
2024-01-04 15:15:00,0.001,0.001,0.2606092730589211,2.0
2024-01-04 15:30:00,0.001,0.001,0.20302521651240982,0.0
2024-01-04 15:45:00,0.001,0.001,0.15774029298038855,0.0
2024-01-04 16:00:00,0.001,0.001,0.46943219735291425,0.0
2024-01-04 16:15:00,0.001,0.001,0.29425219735291436,0.0
2024-01-04 16:30:00,0.001,0.001,0.8561855306862476,0.0
2024-01-04 16:45:00,0.001,0.001,0.33925219735291434,0.0
2024-01-04 17:00:00,0.001,0.001,0.324527838588221,0.0
2024-01-04 17:15:00,0.001,0.10380772589538387,0.3077,0.0
2024-01-04 17:30:00,0.001,0.20671234924320997,0.8594999999999999,0.0
2024-01-04 17:45:00,0.001,1.1731496535286334,0.9401666666666666,0.0
2024-01-04 18:00:00,0.001,0.1215106793706645,0.3077,0.6
2024-01-04 18:15:00,0.001,0.15265282371868386,1.0150333333333335,1.4
2024-01-04 18:30:00,0.001,0.30594172154070426,2.4297,0.0
2024-01-04 18:45:00,0.001,0.5891640288904405,1.4233,0.0
2024-01-04 19:00:00,0.001,0.125838916766587,0.37563333333333326,0.0
2024-01-04 19:15:00,0.001,0.28592485526772343,0.5271487175293867,0.0
2024-01-04 19:30:00,0.001,1.7786189899076337,0.3772521973529143,0.0
2024-01-04 19:45:00,0.001,0.30575700752031626,0.33925219735291434,0.0
2024-01-04 20:00:00,0.001,0.16873927696341465,0.323118864019581,0.0
2024-01-04 20:15:00,0.001,0.24449967983169618,0.20142435876469333,0.0
2024-01-04 20:30:00,0.001,0.636472797972938,0.18669999999999998,0.0
2024-01-04 20:45:00,0.001,0.10634643225247319,0.3851139192941105,0.0
2024-01-04 21:00:00,0.001,0.001,0.33619344481047214,2.0
2024-01-04 21:15:00,0.001,0.001,0.2606092730589211,0.0
2024-01-04 21:30:00,0.001,0.001,0.2153759397255878,0.0
2024-01-04 21:45:00,0.001,0.001,0.24519187394128303,0.0
2024-01-04 22:00:00,0.001,0.001,0.3153411414903116,0.0
2024-01-04 22:15:00,0.001,0.001,0.4503759397255877,0.0
2024-01-04 22:30:00,0.001,0.001,0.3982816943019837,0.0
2024-01-04 22:45:00,0.001,0.001,0.2153759397255878,0.0
2024-01-04 23:00:00,0.001,0.001,0.13470927305892116,0.0
2024-01-04 23:15:00,0.001,0.001,0.08385854060794971,0.0
2024-01-04 23:30:00,0.001,0.001,0.08885819328500684,0.0
2024-01-04 23:45:00,0.001,0.001,0.23348553068624764,0.0
2024-01-05 00:00:00,0.001,0.001,0.4045876902340762,0.0
2024-01-05 00:15:00,0.001,0.001,0.2913759397255878,0.0
2024-01-05 00:30:00,0.001,0.001,0.20906550025500495,0.0
2024-01-05 00:45:00,0.001,0.001,0.17575707570600685,0.0
2024-01-05 01:00:00,0.001,0.001,0.4626237423726735,0.0
