,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_EV
2024-06-01 22:15:00,0.001,0.0,0.2671050864688897,0.28973131841174854,0.0
2024-06-01 22:30:00,0.001,0.0,0.8015628867911536,0.21361886401958097,0.0
2024-06-01 22:45:00,0.001,0.0,0.16532933341856276,0.44021886401958094,0.0
2024-06-01 23:00:00,0.001,0.0,0.001,0.6427350912156647,0.0
2024-06-01 23:15:00,0.001,0.0,0.001,0.39836666666666665,0.0
2024-06-01 23:30:00,0.001,0.0,0.001,0.3097,0.0
2024-06-01 23:45:00,0.001,0.0,0.001,0.24389999999999998,0.0
2024-06-02 00:00:00,0.001,0.0,0.001,0.3437,0.0
2024-06-02 00:15:00,0.001,0.0,0.001,0.3722521973529143,0.0
2024-06-02 00:30:00,0.001,0.0,0.001,0.346918864019581,0.0
2024-06-02 00:45:00,0.001,0.0,0.001,0.2202521973529143,0.0
2024-06-02 01:00:00,0.001,0.0,0.001,0.4203855306862476,0.0
2024-06-02 01:15:00,0.001,0.0,0.001,0.40498754560783234,0.0
2024-06-02 01:30:00,0.001,0.0,0.001,0.42369999999999997,0.0
2024-06-02 01:45:00,0.001,0.0,0.001,0.47436666666666666,0.0
2024-06-02 02:00:00,0.001,0.0,0.001,0.33036666666666664,0.0
2024-06-02 02:15:00,0.001,0.0,0.001,0.3679,0.0
2024-06-02 02:30:00,0.001,0.0,0.001,0.1990333333333333,0.0
2024-06-02 02:45:00,0.001,0.0,0.001,0.2647,0.0
2024-06-02 03:00:00,0.001,0.0,0.001,0.3787,0.0
2024-06-02 03:15:00,0.001,0.0,0.001,0.29436666666666667,0.0
2024-06-02 03:30:00,0.001,0.0,0.001,0.2817,0.0
2024-06-02 03:45:00,0.001,0.0,0.001,0.1253733333333333,0.0
2024-06-02 04:00:00,0.001,0.0,0.001,0.091,0.0
2024-06-02 04:15:00,0.001,0.0,0.001,0.2533333333333333,0.0
2024-06-02 04:30:00,0.001,0.0,0.001,0.25866666666666666,0.0
2024-06-02 04:45:00,0.001,0.0,0.001,0.07366666666666667,0.0
2024-06-02 05:00:00,0.001,0.0,0.001,0.053,0.0
2024-06-02 05:15:00,0.001,0.0,0.001,0.053,0.0
