,DishWasher,BaseLoad,P_WB
2024-10-01 22:00:00,0.0,0.536409273058921,0.0
2024-10-01 22:15:00,0.0,0.3590759397255878,0.0
2024-10-01 22:30:00,0.0,0.28214260639225447,0.0
2024-10-01 22:45:00,0.0,0.3320252072746163,1.0
2024-10-01 23:00:00,0.0,0.4737307020197287,0.0
2024-10-01 23:15:00,0.0,0.40474260639225446,0.0
2024-10-01 23:30:00,0.0,0.5289816943019836,0.0
2024-10-01 23:45:00,0.0,0.256758864019581,0.0
2024-10-02 00:00:00,0.0,0.16054869633593744,0.0
2024-10-02 00:15:00,0.0,0.7488759397255879,1.6666666666666667
2024-10-02 00:30:00,0.0,0.2889953537648107,0.0
2024-10-02 00:45:00,0.0,0.2419237423726735,0.0
2024-10-02 01:00:00,0.0,0.46652374237267347,0.3333333333333333
2024-10-02 01:15:00,0.0,0.9782529979660463,1.0
2024-10-02 01:30:00,0.0,0.37503333333333333,0.0
2024-10-02 01:45:00,0.0,0.4105666666666667,1.0
2024-10-02 02:00:00,0.0,0.7147666666666666,0.0
2024-10-02 02:15:00,0.0,0.1817,2.3333333333333335
2024-10-02 02:30:00,0.0,0.2577,0.0
2024-10-02 02:45:00,0.0,0.39236666666666664,0.0
2024-10-02 03:00:00,0.0,0.3620333333333334,0.0
2024-10-02 03:15:00,0.0,0.20236666666666667,0.0
2024-10-02 03:30:00,0.0,0.1817,2.3333333333333335
2024-10-02 03:45:00,0.0,0.1817,0.0
2024-10-02 04:00:00,0.0,0.1817,0.0
2024-10-02 04:15:00,0.0,0.49570000000000003,0.0
2024-10-02 04:30:00,0.0,0.3553666666666667,1.3333333333333333
2024-10-02 04:45:00,0.0,0.4482333333333333,0.0
2024-10-02 05:00:00,0.0,0.3149666666666667,0.0
2024-10-02 05:15:00,0.0,0.52722,1.3333333333333333
2024-10-02 05:30:00,0.0,0.11833333333333335,0.0
2024-10-02 05:45:00,0.0,0.284,0.0
2024-10-02 06:00:00,0.0,0.2233333333333333,0.0
2024-10-02 06:15:00,0.0,0.046,0.0
2024-10-02 06:30:00,0.0,0.8455999999999999,2.0
2024-10-02 06:45:00,0.0,0.07186666666666668,0.0
2024-10-02 07:00:00,0.0,0.214,1.3333333333333333
