,WasherDryer,TumbleDryer,WashingMachine,BaseLoad
2024-07-27 21:00:00,0.001,0.001,0.001,0.038
2024-07-27 21:15:00,0.001,0.001,0.001,0.05999999999999999
2024-07-27 21:30:00,0.001,0.001,0.001,0.148
2024-07-27 21:45:00,0.001,0.001,0.001,0.04533333333333333
2024-07-27 22:00:00,0.001,0.001,0.001,0.038
2024-07-27 22:15:00,0.001,0.001,0.001,0.038
2024-07-27 22:30:00,0.001,0.001,0.001,0.038
2024-07-27 22:45:00,0.001,0.001,0.001,0.038
2024-07-27 23:00:00,0.001,0.001,0.001,0.13333333333333333
2024-07-27 23:15:00,0.001,0.001,0.001,0.082
2024-07-27 23:30:00,0.001,0.001,0.001,0.038
2024-07-27 23:45:00,0.001,0.001,0.001,0.038
2024-07-28 00:00:00,0.001,0.001,0.001,0.038
2024-07-28 00:15:00,0.001,0.001,0.001,0.038
2024-07-28 00:30:00,0.001,0.001,0.001,0.09666666666666666
2024-07-28 00:45:00,0.001,0.001,0.001,0.11866666666666666
2024-07-28 01:00:00,0.001,0.001,0.001,0.038
2024-07-28 01:15:00,0.001,0.001,0.001,0.038
2024-07-28 01:30:00,0.001,0.001,0.001,0.038
2024-07-28 01:45:00,0.001,0.001,0.001,0.038
2024-07-28 02:00:00,0.001,0.001,0.001,0.05999999999999999
2024-07-28 02:15:00,0.001,0.001,0.001,0.148
2024-07-28 02:30:00,0.001,0.001,0.001,0.04533333333333333
2024-07-28 02:45:00,0.001,0.001,0.001,0.038
2024-07-28 03:00:00,0.001,0.001,0.001,0.038
2024-07-28 03:15:00,0.001,0.001,0.001,0.038
2024-07-28 03:30:00,0.001,0.001,0.001,0.038
2024-07-28 03:45:00,0.001,0.001,0.001,0.13333333333333333
2024-07-28 04:00:00,0.001,0.001,0.001,0.082
2024-07-28 04:15:00,0.001,0.001,0.001,0.038
2024-07-28 04:30:00,0.001,0.001,0.001,0.038
2024-07-28 04:45:00,0.001,0.001,0.001,0.038
2024-07-28 05:00:00,0.001,0.001,0.001,0.038
2024-07-28 05:15:00,0.001,0.001,0.001,0.09666666666666666
2024-07-28 05:30:00,0.001,0.001,0.001,0.11866666666666666
2024-07-28 05:45:00,0.001,0.001,0.001,0.038
2024-07-28 06:00:00,0.001,0.001,0.001,0.038
2024-07-28 06:15:00,0.001,0.001,0.001,0.038
2024-07-28 06:30:00,0.001,0.001,0.001,0.038
2024-07-28 06:45:00,0.001,0.001,0.001,0.05999999999999999
2024-07-28 07:00:00,0.001,0.001,0.001,0.148
2024-07-28 07:15:00,0.001,0.001,0.001,0.04533333333333333
2024-07-28 07:30:00,0.001,0.001,0.001,0.038
2024-07-28 07:45:00,0.001,0.001,0.001,0.038
2024-07-28 08:00:00,0.001,0.001,0.001,0.038
2024-07-28 08:15:00,0.001,0.001,0.001,0.04493333333333333
2024-07-28 08:30:00,0.001,0.001,0.001,0.14633333333333332
2024-07-28 08:45:00,0.001,0.001,0.001,0.095
2024-07-28 09:00:00,0.001,0.001,0.001,0.0484
2024-07-28 09:15:00,0.001,0.001,0.001,0.038
2024-07-28 09:30:00,0.001,0.001,0.001,0.038
