,BaseLoad,P_EV,P_HP
2024-01-07 13:15:00,0.18687886401958095,3.6666666666666665,0.0
2024-01-07 13:30:00,0.2755521973529143,0.0,0.0
2024-01-07 13:45:00,0.1615521973529143,0.0,0.0
2024-01-07 14:00:00,0.06872435876469334,0.0,1.3333333333333333
2024-01-07 14:15:00,0.054,0.0,3.2
2024-01-07 14:30:00,0.054,0.0,0.0
2024-01-07 14:45:00,0.07933333333333333,0.0,0.0
2024-01-07 15:00:00,0.24400000000000002,0.0,0.0
2024-01-07 15:15:00,0.14266666666666666,0.0,0.0
2024-01-07 15:30:00,0.054,0.0,2.4
2024-01-07 15:45:00,0.054,0.0,2.1333333333333333
2024-01-07 16:00:00,0.054,0.0,0.0
2024-01-07 16:15:00,0.06666666666666667,0.0,0.0
2024-01-07 16:30:00,0.24400000000000002,0.0,0.0
2024-01-07 16:45:00,0.15533333333333335,0.0,0.0
2024-01-07 17:00:00,0.054,0.0,3.2
2024-01-07 17:15:00,0.054,0.0,1.3333333333333333
2024-01-07 17:30:00,0.054,0.0,0.0
2024-01-07 17:45:00,0.054,0.0,0.0
2024-01-07 18:00:00,0.24400000000000002,0.0,0.0
2024-01-07 18:15:00,0.168,0.0,0.0
2024-01-07 18:30:00,0.054,0.0,3.7333333333333334
2024-01-07 18:45:00,0.054,0.0,0.8
2024-01-07 19:00:00,0.054,0.0,0.0
2024-01-07 19:15:00,0.054,0.0,0.0
2024-01-07 19:30:00,0.2313333333333333,0.0,0.0
2024-01-07 19:45:00,0.18066666666666667,0.0,0.5333333333333333
2024-01-07 20:00:00,0.054,0.0,4.0
2024-01-07 20:15:00,0.054,0.0,0.0
2024-01-07 20:30:00,0.054,0.0,0.0
2024-01-07 20:45:00,0.054,0.0,0.0
2024-01-07 21:00:00,0.21866666666666665,0.0,0.0
2024-01-07 21:15:00,0.19333333333333333,0.0,1.3333333333333333
2024-01-07 21:30:00,0.054,0.0,3.2
2024-01-07 21:45:00,0.054,0.0,0.0
2024-01-07 22:00:00,0.054,0.0,0.0
2024-01-07 22:15:00,0.054,0.0,0.0
2024-01-07 22:30:00,0.206,0.0,0.0
2024-01-07 22:45:00,0.206,0.0,0.0
2024-01-07 23:00:00,0.054,0.0,0.0
2024-01-07 23:15:00,0.054,0.0,0.0
2024-01-07 23:30:00,0.054,0.0,0.0
2024-01-07 23:45:00,0.054,0.0,0.0
2024-01-08 00:00:00,0.19333333333333333,0.0,0.0
2024-01-08 00:15:00,0.21866666666666665,0.0,0.0
2024-01-08 00:30:00,0.054,0.0,0.0
2024-01-08 00:45:00,0.054,0.0,0.0
2024-01-08 01:00:00,0.054,0.0,0.0
2024-01-08 01:15:00,0.054,0.0,0.0
2024-01-08 01:30:00,0.18066666666666667,0.0,0.0
2024-01-08 01:45:00,0.2313333333333333,0.0,0.0
