,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-11 05:45:00,0.001,0.001,0.0,0.001,0.22833333333333333,0.0
2024-01-11 06:00:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 06:15:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 06:30:00,0.001,0.001,0.0,0.001,0.13966666666666666,0.0
2024-01-11 06:45:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-11 07:00:00,0.001,0.001,0.0,0.001,0.20299999999999999,0.0
2024-01-11 07:15:00,0.001,0.001,0.0,0.001,0.13966666666666666,0.0
2024-01-11 07:30:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 07:45:00,0.001,0.001,0.0,0.001,0.12699999999999997,0.8
2024-01-11 08:00:00,0.001,0.001,0.0,0.001,0.241,1.0
2024-01-11 08:15:00,0.001,0.001,0.0,0.001,0.11433333333333333,0.0
2024-01-11 08:30:00,0.001,0.001,0.0,0.001,0.20299999999999999,0.0
2024-01-11 08:45:00,0.001,0.001,0.0,0.001,0.089,0.0
2024-01-11 09:00:00,0.001,0.001,0.0,0.001,0.11433333333333333,0.0
2024-01-11 09:15:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-11 09:30:00,0.001,0.001,0.0,0.001,0.127,0.0
2024-01-11 09:45:00,0.001,0.001,0.0,0.001,0.06366666666666666,0.0
2024-01-11 10:00:00,0.001,0.001,0.0,0.001,0.22833333333333333,0.0
2024-01-11 10:15:00,0.001,0.001,0.0,0.001,0.10166666666666666,0.6
2024-01-11 10:30:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-11 10:45:00,0.001,0.001,0.0,0.001,0.13966666666666666,0.0
2024-01-11 11:00:00,0.001,0.001,0.0,0.001,0.051,0.6
2024-01-11 11:15:00,0.001,0.001,0.0,0.001,0.11433333333333333,0.0
2024-01-11 11:30:00,0.001,0.001,0.0,0.001,0.21566666666666665,2.0
2024-01-11 11:45:00,0.001,0.001,0.0,0.001,0.241,1.2
2024-01-11 12:00:00,0.001,0.001,0.0,0.001,0.15233333333333332,0.0
2024-01-11 12:15:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 12:30:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 12:45:00,0.001,0.001,0.0,0.001,0.19033333333333333,0.0
2024-01-11 13:00:00,0.001,0.001,0.0,0.001,0.317,0.0
2024-01-11 13:15:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-11 13:30:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 13:45:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 14:00:00,0.001,0.001,0.0,0.001,0.06366666666666666,0.0
2024-01-11 14:15:00,0.001,0.001,0.0,0.001,0.4056666666666667,0.0
2024-01-11 14:30:00,0.001,0.001,0.0,0.001,0.20299999999999999,0.0
2024-01-11 14:45:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 15:00:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 15:15:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 15:30:00,0.001,0.001,0.0,0.001,0.26633333333333337,0.8
2024-01-11 15:45:00,0.001,0.001,0.0,0.001,0.35500000000000004,2.4
2024-01-11 16:00:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 16:15:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 16:30:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 16:45:00,0.001,0.001,0.0,0.001,0.22833333333333333,0.0
