,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_HP
2024-01-04 18:00:00,0.001,0.001,0.001,0.1904,0.4
2024-01-04 18:15:00,0.001,0.001,0.001,0.5830666666666667,0.0
2024-01-04 18:30:00,0.001,0.001,0.001,0.10224316564968981,0.2
2024-01-04 18:45:00,0.001,0.001,0.001,2.0747043283334508,3.0
2024-01-04 19:00:00,0.001,0.001,0.001,2.353375939725588,1.0
2024-01-04 19:15:00,0.001,0.001,0.001,0.9557092730589212,0.0
2024-01-04 19:30:00,0.001,0.001,0.001,0.0933759397255878,0.0
2024-01-04 19:45:00,0.001,0.001,0.001,0.1901759397255878,0.0
2024-01-04 20:00:00,0.001,0.001,0.001,0.6141759397255878,0.0
2024-01-04 20:15:00,0.001,0.001,0.001,0.4175150607844221,0.2
2024-01-04 20:30:00,0.001,0.001,0.001,0.5403512879805059,3.0
2024-01-04 20:45:00,0.001,0.001,0.001,0.3307092730589211,0.2
2024-01-04 21:00:00,0.001,0.001,0.001,0.31569593972558774,0.0
2024-01-04 21:15:00,0.001,0.001,0.001,0.22217593972558783,0.0
2024-01-04 21:30:00,0.001,0.001,0.001,0.2143759397255878,0.0
2024-01-04 21:45:00,0.001,0.001,0.001,0.3133759397255878,0.0
