,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-05 12:30:00,0.001,0.0,0.001,0.22033333333333335,0.0,0.0,0.3333333333333333
2024-01-05 12:45:00,0.001,0.0,0.001,0.05982783858822096,0.0,0.0,2.6666666666666665
2024-01-05 13:00:00,0.001,0.0,0.001,0.07455219735291431,0.0,0.0,0.0
2024-01-05 13:15:00,0.001,0.0,0.001,0.07455219735291431,0.0,0.0,0.0
2024-01-05 13:30:00,0.001,0.0,0.001,0.07455219735291431,0.0,0.0,2.6666666666666665
2024-01-05 13:45:00,0.001,0.0,0.001,0.21388553068624763,0.0,0.0,0.0
2024-01-05 14:00:00,0.001,0.0,0.001,0.23505769209802668,0.0,0.0,0.0
2024-01-05 14:15:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-05 14:30:00,0.001,0.0,0.001,0.043,0.0,0.0,3.6666666666666665
2024-01-05 14:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-05 15:00:00,0.001,0.0,0.001,0.043,0.0,0.0,0.3333333333333333
2024-01-05 15:15:00,0.001,0.0,0.001,0.18233333333333335,0.0,0.0,3.3333333333333335
2024-01-05 15:30:00,0.001,0.0,0.001,0.22979232723147217,0.0,1.6,0.0
2024-01-05 15:45:00,0.001,0.0,0.001,0.0548237423726735,0.0,0.8,4.666666666666667
2024-01-05 16:00:00,0.001,0.0,0.001,0.0548237423726735,0.0,0.0,0.3333333333333333
2024-01-05 16:15:00,0.001,0.0,0.001,0.0548237423726735,0.0,0.0,0.0
2024-01-05 16:30:00,0.001,0.0,0.001,0.0548237423726735,0.0,0.0,0.0
2024-01-05 16:45:00,0.001,0.0,0.001,0.29763141514120134,0.0,0.0,0.0
2024-01-05 17:00:00,0.001,0.0,0.001,0.3413333333333333,0.0,0.0,0.0
2024-01-05 17:15:00,0.001,0.0,0.001,0.164,0.0,0.0,3.6666666666666665
2024-01-05 17:30:00,0.001,0.0,0.001,0.164,0.0,0.0,2.3333333333333335
2024-01-05 17:45:00,0.001,0.0,0.001,0.164,0.0,0.0,2.3333333333333335
2024-01-05 18:00:00,0.001,0.0,0.001,0.164,0.0,0.0,0.0
2024-01-05 18:15:00,0.001,0.0,0.001,2.2225333333333332,0.0,0.0,0.0
2024-01-05 18:30:00,0.001,0.0,0.001,1.1329333333333333,0.0,0.0,0.0
2024-01-05 18:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-05 19:00:00,0.001,0.0,0.001,0.043,0.0,0.6666666666666666,0.0
2024-01-05 19:15:00,0.001,0.0,0.001,0.06613827805880383,0.0,1.7333333333333334,0.0
2024-01-05 19:30:00,0.001,0.0,0.001,0.07455219735291431,0.0,0.0,0.0
2024-01-05 19:45:00,0.001,0.0,0.001,0.21388553068624763,0.0,0.0,0.0
2024-01-05 20:00:00,0.001,0.0,0.001,0.25188553068624764,0.0,0.0,0.0
2024-01-05 20:15:00,0.001,0.0,0.001,0.07455219735291431,0.0,0.0,0.0
2024-01-05 20:30:00,0.001,0.0,0.001,0.06824175788233146,0.0,0.0,0.0
2024-01-05 20:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-05 21:00:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-05 21:15:00,0.001,0.0,0.001,0.18233333333333335,0.0,0.0,0.0
2024-01-05 21:30:00,0.001,0.0,0.001,0.22033333333333335,0.0,0.0,0.0
2024-01-05 21:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-05 22:00:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-05 22:15:00,0.001,0.0,0.001,0.0672,0.0,0.0,0.0
2024-01-05 22:30:00,0.001,0.0,0.001,0.1758237423726735,0.0,0.0,4.333333333333333
2024-01-05 22:45:00,0.001,0.0,0.001,0.3151570757060069,0.0,0.0,1.0
2024-01-05 23:00:00,0.001,0.0,0.001,0.3826057932353935,0.0,0.0,0.0
2024-01-05 23:15:00,0.001,0.0,0.001,0.1670426063922545,0.0,0.0,0.0
2024-01-05 23:30:00,0.001,0.0,0.001,0.1154896084262082,0.0,0.0,0.0
2024-01-05 23:45:00,0.001,0.0,0.001,0.2923521973529143,0.0,0.0,0.0
2024-01-06 00:00:00,0.001,0.0,0.001,0.3165521973529143,0.0,0.0,0.0
2024-01-06 00:15:00,0.001,0.0,0.001,0.43064377280391614,0.0,0.0,0.0
2024-01-06 00:30:00,0.001,0.0,0.001,0.4623333333333333,0.0,0.26666666666666666,0.0
2024-01-06 00:45:00,0.001,0.0,0.001,0.22853333333333334,0.0,2.0,2.6666666666666665
2024-01-06 01:00:00,0.001,0.0,0.001,0.164,0.0,0.13333333333333333,0.0
2024-01-06 01:15:00,0.001,0.0,0.001,0.059133333333333336,0.0,0.0,0.0
2024-01-06 01:30:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-06 01:45:00,0.001,0.0,0.001,0.18233333333333335,0.0,0.0,1.0
2024-01-06 02:00:00,0.001,0.0,0.001,0.22033333333333335,0.0,0.0,2.6666666666666665
2024-01-06 02:15:00,0.001,0.0,0.001,0.14786666666666667,0.0,0.0,0.0
2024-01-06 02:30:00,0.001,0.0,0.001,0.164,0.0,0.0,0.0
2024-01-06 02:45:00,0.001,0.0,0.001,0.164,0.0,0.0,0.0
2024-01-06 03:00:00,0.001,0.0,0.001,0.164,0.0,0.0,0.0
2024-01-06 03:15:00,0.001,0.0,0.001,0.30333333333333334,0.0,0.0,0.0
2024-01-06 03:30:00,0.001,0.0,0.001,0.22840000000000002,0.0,0.0,3.0
2024-01-06 03:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-06 04:00:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-06 04:15:00,0.001,0.0,0.001,0.043,0.0,0.9333333333333333,0.0
2024-01-06 04:30:00,0.001,0.0,0.001,0.043,0.0,2.0,0.0
2024-01-06 04:45:00,0.001,0.0,0.001,0.18233333333333335,0.0,0.6666666666666666,0.0
2024-01-06 05:00:00,0.001,0.0,0.001,0.22033333333333335,0.0,0.0,0.0
2024-01-06 05:15:00,0.001,0.0,0.001,0.043,12.0,0.0,0.0
2024-01-06 05:30:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-06 05:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-06 06:00:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-06 06:15:00,0.001,0.0,0.001,0.18233333333333335,0.0,0.0,2.6666666666666665
2024-01-06 06:30:00,0.001,0.0,0.001,0.22033333333333335,0.0,0.0,0.0
2024-01-06 06:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-06 07:00:00,0.001,0.0,0.001,0.043,0.0,0.0,3.3333333333333335
2024-01-06 07:15:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-06 07:30:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-06 07:45:00,0.001,0.0,0.001,0.18233333333333335,0.0,0.0,0.0
2024-01-06 08:00:00,0.001,0.0,0.001,0.25188553068624764,0.0,0.9333333333333333,0.0
2024-01-06 08:15:00,0.001,0.0,0.001,0.07455219735291431,0.0,1.6,0.0
2024-01-06 08:30:00,0.001,0.0,0.001,0.07455219735291431,0.0,0.0,0.0
