,WasherDryer,BaseLoad,P_EV,P_HP,P_WB
2024-01-04 07:30:00,0.001,0.0568237423726735,0.0,0.0,2.6666666666666665
2024-01-04 07:45:00,0.001,0.2214904090393402,0.0,0.0,0.0
2024-01-04 08:00:00,0.001,0.19615707570600685,0.0,0.0,0.0
2024-01-04 08:15:00,0.001,0.06289040903934016,0.0,0.0,0.0
2024-01-04 08:30:00,0.001,0.06903549288116194,0.0,0.0,0.0
2024-01-04 08:45:00,0.001,0.058,0.0,0.0,0.0
2024-01-04 09:00:00,0.001,0.8829999999999999,0.0,0.0,0.0
2024-01-04 09:15:00,0.001,2.333439329265426,0.0,0.0,0.0
2024-01-04 09:30:00,0.001,0.1584904090393402,0.0,0.0,0.0
2024-01-04 09:45:00,0.001,0.06635707570600684,0.0,0.0,0.0
2024-01-04 10:00:00,0.001,0.0568237423726735,0.0,1.0,2.6666666666666665
2024-01-04 10:15:00,0.001,0.052882494915115666,0.0,1.6,0.0
2024-01-04 10:30:00,0.001,0.121,0.0,0.0,0.0
2024-01-04 10:45:00,0.001,0.235,0.0,0.0,0.0
2024-01-04 11:00:00,0.001,0.08299999999999999,0.0,0.0,0.0
2024-01-04 11:15:00,0.001,0.08533333333333333,0.0,0.0,3.6666666666666665
2024-01-04 11:30:00,0.001,0.166,0.0,0.0,0.3333333333333333
2024-01-04 11:45:00,0.001,0.166,0.0,0.0,0.0
2024-01-04 12:00:00,0.001,0.29266666666666663,0.0,0.0,0.0
2024-01-04 12:15:00,0.001,0.3433333333333333,0.0,0.0,0.0
2024-01-04 12:30:00,0.001,0.12566666666666668,0.0,0.0,0.0
2024-01-04 12:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-04 13:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-04 13:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-04 13:30:00,0.001,0.22233333333333333,5.6,0.0,0.0
2024-01-04 13:45:00,0.001,0.17166666666666666,7.0,0.0,0.0
2024-01-04 14:00:00,0.001,0.045,0.4666666666666667,0.0,0.6666666666666666
2024-01-04 14:15:00,0.001,0.045,0.0,0.0,2.0
2024-01-04 14:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-04 14:45:00,0.001,0.08299999999999999,0.0,0.0,0.0
2024-01-04 15:00:00,0.001,0.28176,0.0,0.0,0.0
2024-01-04 15:15:00,0.001,0.22232,0.0,0.0,0.0
