,Occupancy,EV,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited
2024-01-05 00:00:00,2.0,0.0,14.5,11.848838507206795,10.682375212462789,2.0,259.92421236949167,3000.0,3000.0
2024-01-05 00:01:00,2.0,0.0,14.5,11.84785975962366,10.68074689501364,2.0,259.81026139271114,3000.0,3000.0
2024-01-05 00:02:00,2.0,0.0,14.5,11.846880767030827,10.679119291103106,2.0,259.69641095479403,1131.7037037037044,1131.7037037037044
2024-01-05 00:03:00,2.0,0.0,14.5,11.845901529877548,10.677492400101746,2.0,259.5826609495452,0.0,0.0
2024-01-05 00:04:00,2.0,0.0,14.5,11.84492204861256,10.675866221380778,2.0,259.4690112708848,0.0,0.0
2024-01-05 00:05:00,2.0,0.0,14.5,11.843942323684082,10.674240754312086,2.0,259.35546181284747,0.0,0.0
2024-01-05 00:06:00,2.0,0.0,14.5,11.842962355539827,10.672615998268217,2.0,259.2420124695837,3000.0,3000.0
2024-01-05 00:07:00,2.0,0.0,14.5,11.841982144626988,10.670991952622382,2.0,259.1286631353579,3000.0,3000.0
2024-01-05 00:08:00,2.0,0.0,14.5,11.841001691392249,10.669368616748452,2.0,259.0154137045498,3000.0,3000.0
2024-01-05 00:09:00,2.0,0.0,14.5,11.840020996281782,10.667745990020961,2.0,258.9022640716533,3000.0,3000.0
2024-01-05 00:10:00,2.0,0.0,14.5,11.839040059741246,10.666124071815103,2.0,258.78921413127694,3000.0,3000.0
2024-01-05 00:11:00,2.0,0.0,14.5,11.838058882215792,10.664502861506731,2.0,258.6762637781435,3000.0,3000.0
2024-01-05 00:12:00,2.0,0.0,14.5,11.83707746415006,10.662882358472357,2.0,258.56341290708974,3000.0,3000.0
2024-01-05 00:13:00,2.0,0.0,14.5,11.83609580598818,10.661262562089153,2.0,258.45066141306665,3000.0,3000.0
2024-01-05 00:14:00,2.0,0.0,14.5,11.835113908173772,10.659643471734947,2.0,258.33800919113907,3000.0,3000.0
2024-01-05 00:15:00,2.0,0.0,14.5,11.834131771149952,10.658025086788225,2.0,258.22545613648595,3000.0,3000.0
2024-01-05 00:16:00,2.0,0.0,14.5,11.833149395359323,10.65640740662813,2.0,258.1130021443995,3000.0,3000.0
2024-01-05 00:17:00,2.0,0.0,14.5,11.832166781243982,10.654790430634458,2.0,258.00064711028574,3000.0,3000.0
2024-01-05 00:18:00,2.0,0.0,14.5,11.831183929245523,10.653174158187662,2.0,257.88839092966396,3000.0,3000.0
2024-01-05 00:19:00,2.0,0.0,14.5,11.830200839805027,10.651558588668848,2.0,257.7762334981669,3000.0,3000.0
2024-01-05 00:20:00,2.0,0.0,14.5,11.829217513363076,10.649943721459776,2.0,257.66417471154057,3000.0,3000.0
2024-01-05 00:21:00,2.0,0.0,14.5,11.828233950359744,10.648329555942858,2.0,257.5522144656435,3000.0,3000.0
2024-01-05 00:22:00,2.0,0.0,14.5,11.8272501512346,10.646716091501158,2.0,257.44035265644794,1921.9259259259306,1921.9259259259306
2024-01-05 00:23:00,2.0,0.0,14.5,11.826266116426709,10.645103327518393,2.0,257.3285891800383,0.0,0.0
2024-01-05 00:24:00,2.0,0.0,14.5,11.825281846374635,10.643491263378928,2.0,257.2169239326121,0.0,0.0
2024-01-05 00:25:00,2.0,0.0,14.5,11.824297341516436,10.641879898467781,2.0,257.1053568104792,0.0,0.0
2024-01-05 00:26:00,2.0,0.0,14.5,11.82331260228967,10.640269232170615,2.0,256.99388771006215,0.0,0.0
2024-01-05 00:27:00,2.0,0.0,14.5,11.822327629131392,10.638659263873745,2.0,256.8825165278955,0.0,0.0
2024-01-05 00:28:00,2.0,0.0,14.5,11.821342422478155,10.637049992964132,2.0,256.7712431606263,0.0,0.0
2024-01-05 00:29:00,2.0,0.0,14.5,11.820356982766015,10.635441418829384,2.0,256.66006750501344,0.0,0.0
2024-01-05 00:30:00,2.0,0.0,14.5,11.819371310430522,10.633833540857756,2.0,256.5489894579281,0.0,0.0
2024-01-05 00:31:00,2.0,0.0,14.5,11.818385405906733,10.63222635843815,2.0,256.43800891635277,0.0,0.0
2024-01-05 00:32:00,2.0,0.0,14.5,11.817399269629203,10.630619870960109,2.0,256.3271257773822,0.0,0.0
2024-01-05 00:33:00,2.0,0.0,14.5,11.816412902031987,10.629014077813824,2.0,256.21633993822235,0.0,0.0
2024-01-05 00:34:00,2.0,0.0,14.5,11.815426303548643,10.627408978390129,2.0,256.1056512961908,0.0,0.0
2024-01-05 00:35:00,2.0,0.0,14.5,11.814439474612232,10.625804572080499,2.0,255.99505974871664,3000.0,3000.0
2024-01-05 00:36:00,2.0,0.0,14.5,11.81345241565532,10.624200858277053,2.0,255.88456519333994,3000.0,3000.0
2024-01-05 00:37:00,2.0,0.0,14.5,11.812465127109974,10.62259783637255,2.0,255.7741675277121,1131.7037037037044,1131.7037037037044
2024-01-05 00:38:00,2.0,0.0,14.5,11.811477609407765,10.62099550576039,2.0,255.66386664959526,0.0,0.0
2024-01-05 00:39:00,2.0,0.0,14.5,11.810489862979772,10.619393865834615,2.0,255.55366245686253,0.0,0.0
2024-01-05 00:40:00,2.0,0.0,14.5,11.809501888256575,10.617792915989904,2.0,255.4435548474979,3000.0,3000.0
2024-01-05 00:41:00,2.0,0.0,14.5,11.808513685668265,10.616192655621575,2.0,255.3335437195958,3000.0,3000.0
2024-01-05 00:42:00,2.0,0.0,14.5,11.807525255644435,10.614593084125586,2.0,255.22362897136122,3000.0,3000.0
