,WasherDryer,TumbleDryer,DishWasher,BaseLoad
2024-01-05 07:30:00,0.001,0.001,0.0,0.5600666666666666
2024-01-05 07:45:00,0.001,0.001,0.0,0.027
2024-01-05 08:00:00,0.001,0.001,0.0,0.6407333333333334
2024-01-05 08:15:00,0.001,0.001,0.0,0.6260666666666667
2024-01-05 08:30:00,0.001,0.001,0.0,0.027
2024-01-05 08:45:00,0.001,0.001,0.0,0.027
2024-01-05 09:00:00,0.001,0.001,0.0,0.5673999999999999
2024-01-05 09:15:00,0.001,0.001,0.0,0.137
2024-01-05 09:30:00,0.001,0.001,0.0,0.05633333333333334
2024-01-05 09:45:00,0.001,0.001,0.0,0.027
2024-01-05 10:00:00,0.001,0.001,0.0,0.027
2024-01-05 10:15:00,0.001,0.001,0.0,0.071
2024-01-05 10:30:00,0.001,0.001,0.0,0.12966666666666668
2024-01-05 10:45:00,0.001,0.001,0.0,0.027
2024-01-05 11:00:00,0.001,0.001,0.0,0.027
2024-01-05 11:15:00,0.001,0.001,0.0,0.027
2024-01-05 11:30:00,0.001,0.001,0.0,0.10766666666666667
2024-01-05 11:45:00,0.001,0.001,0.0,0.093
2024-01-05 12:00:00,0.001,0.001,0.0,0.027
2024-01-05 12:15:00,0.001,0.001,0.0,0.027
2024-01-05 12:30:00,0.001,0.001,0.0,0.034333333333333334
2024-01-05 12:45:00,0.001,0.001,0.0,0.137
2024-01-05 13:00:00,0.001,0.001,0.0,0.1612
2024-01-05 13:15:00,0.001,0.001,0.0,0.148
2024-01-05 13:30:00,0.001,0.001,0.0,0.148
2024-01-05 13:45:00,0.001,0.001,0.0,0.192
2024-01-05 14:00:00,0.001,0.001,0.0,0.2506666666666667
2024-01-05 14:15:00,0.001,0.001,0.0,0.5681333333333333
2024-01-05 14:30:00,0.001,0.001,0.0,0.027
2024-01-05 14:45:00,0.001,0.001,0.0,0.42679999999999996
2024-01-05 15:00:00,0.001,0.001,0.0,0.10766666666666667
2024-01-05 15:15:00,0.001,0.001,0.0,0.093
2024-01-05 15:30:00,0.001,0.001,0.0,0.42679999999999996
2024-01-05 15:45:00,0.001,0.001,0.0,0.027
2024-01-05 16:00:00,0.001,0.001,0.0,0.034333333333333334
2024-01-05 16:15:00,0.001,0.001,0.0,0.137
2024-01-05 16:30:00,0.001,0.001,0.0,0.05633333333333334
2024-01-05 16:45:00,0.001,0.001,0.0,0.027
2024-01-05 17:00:00,0.001,0.001,0.0,0.027
2024-01-05 17:15:00,0.001,0.001,0.0,0.071
2024-01-05 17:30:00,0.001,0.001,0.0,0.13746666666666665
2024-01-05 17:45:00,0.001,0.001,0.0,0.056827838588220964
2024-01-05 18:00:00,0.001,0.001,0.0,0.0715521973529143
2024-01-05 18:15:00,0.001,0.001,0.0,0.0715521973529143
2024-01-05 18:30:00,0.001,0.001,0.0,0.15221886401958099
2024-01-05 18:45:00,0.001,0.001,0.0,1.9652347982352762
2024-01-05 19:00:00,0.001,0.001,0.0,1.2675333333333334
2024-01-05 19:15:00,0.001,0.001,0.0,0.148
2024-01-05 19:30:00,0.001,0.001,0.0,0.24406666666666668
2024-01-05 19:45:00,0.001,0.001,0.0,0.37900000000000006
2024-01-05 20:00:00,0.4756208716345978,0.001,0.0,0.27413333333333334
2024-01-05 20:15:00,0.7920347860576631,0.001,0.0,0.15606666666666666
2024-01-05 20:30:00,0.7920347860576631,0.001,0.0,0.2451472526274438
2024-01-05 20:45:00,0.7920347860576631,0.001,0.0,0.33448553068624765
2024-01-05 21:00:00,0.7920347860576631,0.001,0.0,0.4162188640195809
2024-01-05 21:15:00,0.7920347860576631,0.001,0.0,0.7133521973529143
2024-01-05 21:30:00,0.7920347860576631,0.001,0.0,0.3135521973529143
2024-01-05 21:45:00,0.7920347860576631,0.001,0.0,0.27695219735291426
2024-01-05 22:00:00,0.7920347860576631,0.001,0.0,0.38121886401958094
2024-01-05 22:15:00,0.7920347860576631,0.001,0.0,0.3665521973529143
2024-01-05 22:30:00,0.7920347860576631,0.001,0.0,0.3005521973529143
2024-01-05 22:45:00,0.7920347860576631,0.001,0.0,0.3005521973529143
2024-01-05 23:00:00,0.7920347860576631,0.001,0.0,0.22721886401958097
2024-01-05 23:15:00,0.1064713048076884,0.001,0.0,0.14751739911763811
2024-01-05 23:30:00,0.001,0.001,0.0,0.18325073245097143
2024-01-05 23:45:00,0.001,0.001,0.0,0.3135521973529143
2024-01-06 00:00:00,0.001,0.001,0.0,0.3135521973529143
2024-01-06 00:15:00,0.001,0.001,0.0,0.3575521973529143
2024-01-06 00:30:00,0.001,0.001,0.0,0.40495219735291427
