,DishWasher,BaseLoad,P_EV
2024-01-07 08:45:00,0.0,1.4150666666666667,0.0
2024-01-07 09:00:00,0.0,1.2556,0.0
2024-01-07 09:15:00,0.0,0.2766666666666666,0.0
2024-01-07 09:30:00,0.0,0.17986666666666667,0.0
2024-01-07 09:45:00,0.0,0.04953333333333333,0.0
2024-01-07 10:00:00,0.0,0.4398,0.0
2024-01-07 10:15:00,0.0,0.04,0.0
2024-01-07 10:30:00,0.0,0.06933333333333333,0.0
2024-01-07 10:45:00,0.0,0.13533333333333333,6.533333333333333
2024-01-07 11:00:00,0.0,0.04,6.066666666666666
2024-01-07 11:15:00,0.0,0.04,0.0
2024-01-07 11:30:00,0.0,0.04,0.0
2024-01-07 11:45:00,0.0,0.04,0.0
2024-01-07 12:00:00,0.0,0.106,0.0
2024-01-07 12:15:00,0.0,0.09866666666666667,0.0
2024-01-07 12:30:00,0.0,0.04,0.0
2024-01-07 12:45:00,0.0,0.04,0.0
2024-01-07 13:00:00,0.0,0.04,0.0
2024-01-07 13:15:00,0.0,0.04173333333333333,0.0
2024-01-07 13:30:00,0.0,0.16618406578430475,0.0
2024-01-07 13:45:00,0.0,0.1065521973529143,0.0
2024-01-07 14:00:00,0.0,0.08455219735291429,0.0
2024-01-07 14:15:00,0.0,0.07935219735291431,2.3333333333333335
2024-01-07 14:30:00,0.0,0.0715521973529143,7.0
2024-01-07 14:45:00,0.0,0.6255382780588038,3.7333333333333334
2024-01-07 15:00:00,0.0,0.16688553068624765,0.0
2024-01-07 15:15:00,0.0,0.13308553068624765,0.0
2024-01-07 15:30:00,0.0,0.1755521973529143,0.0
2024-01-07 15:45:00,0.0,0.1755521973529143,0.0
2024-01-07 16:00:00,0.0,0.16082783858822094,0.0
2024-01-07 16:15:00,0.0,0.13633333333333333,0.0
2024-01-07 16:30:00,0.0,0.09866666666666667,0.0
2024-01-07 16:45:00,0.0,0.04,0.0
2024-01-07 17:00:00,0.0,0.04,0.0
2024-01-07 17:15:00,0.0,0.04,0.0
2024-01-07 17:30:00,0.0,0.04,0.0
2024-01-07 17:45:00,0.0,0.14266666666666666,0.0
2024-01-07 18:00:00,0.0,0.06199999999999999,0.0
2024-01-07 18:15:00,0.0,0.04,0.0
2024-01-07 18:30:00,0.0,0.04,0.0
2024-01-07 18:45:00,0.0,0.04,0.0
2024-01-07 19:00:00,0.0,0.06933333333333333,0.0
2024-01-07 19:15:00,0.0,0.13533333333333333,0.0
2024-01-07 19:30:00,0.0,0.04,0.0
2024-01-07 19:45:00,0.0,0.04,0.0
2024-01-07 20:00:00,0.0,0.04,0.0
2024-01-07 20:15:00,0.0,0.04,0.0
2024-01-07 20:30:00,0.0,0.106,0.0
2024-01-07 20:45:00,0.0,0.09866666666666667,0.0
2024-01-07 21:00:00,0.0,0.04,0.0
2024-01-07 21:15:00,0.0,0.04,0.0
