,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited,Flex_EV
2024-01-03 20:16:00,20.0,16.03292151056005,14.936362493510222,8.0,173.09254349443873,0.0,0.0,1.0
2024-01-03 20:17:00,20.0,16.03193119888383,14.935277993250835,8.0,173.04015013692415,0.0,0.0,1.0
2024-01-03 20:18:00,20.0,16.030940884159477,14.934193821077859,8.0,172.98780148965983,0.0,0.0,1.0
2024-01-03 20:19:00,20.0,16.029950566578613,14.93310997671143,8.0,172.93549749648258,0.0,0.0,1.0
2024-01-03 20:20:00,20.0,16.028960246332566,14.932026459872038,8.0,172.88323810130402,0.0,0.0,1.0
2024-01-03 20:21:00,20.0,16.027969923612392,14.930943270280522,8.0,172.83102324810994,0.0,0.0,1.0
2024-01-03 20:22:00,20.0,16.02697959860886,14.929860407658076,8.0,172.77885288096024,0.0,0.0,1.0
2024-01-03 20:23:00,20.0,16.025989271512458,14.92877787172624,8.0,172.72672694398926,0.0,0.0,1.0
2024-01-03 20:24:00,20.0,16.02499894251339,14.927695662206904,8.0,172.67464538140592,0.0,0.0,1.0
2024-01-03 20:25:00,20.0,16.02400861180158,14.92661377882231,8.0,172.62260813749276,0.0,0.0,1.0
2024-01-03 20:26:00,20.0,16.02301827956668,14.925532221295045,8.0,172.5706151566062,0.0,0.0,1.0
2024-01-03 20:27:00,20.0,16.022027945998058,14.924450989348047,8.0,172.51866638317657,0.0,0.0,1.0
2024-01-03 20:28:00,20.0,16.021037611284793,14.9233700827046,8.0,172.46676176170786,0.0,0.0,1.0
2024-01-03 20:29:00,20.0,16.0200472756157,14.922289501088338,8.0,172.41490123677812,0.0,0.0,1.0
2024-01-03 20:30:00,20.0,16.0190569391793,14.921209244223238,8.0,172.3630847530382,0.0,0.0,1.0
2024-01-03 20:31:00,20.0,16.018066602163852,14.920129311833628,8.0,172.31131225521324,0.0,0.0,1.0
2024-01-03 20:32:00,20.0,16.01707626475732,14.919049703644179,8.0,172.2595836881012,0.0,0.0,1.0
2024-01-03 20:33:00,20.0,16.016085927147408,14.917970419379907,8.0,172.2078989965737,0.0,0.0,1.0
2024-01-03 20:34:00,20.0,16.015095589521525,14.916891458766175,8.0,172.15625812557482,0.0,0.0,1.0
2024-01-03 20:35:00,20.0,16.014105252066816,14.91581282152869,8.0,172.1046610201225,0.0,0.0,1.0
2024-01-03 20:36:00,20.0,16.013114914970142,14.9147345073935,8.0,172.05310762530715,0.0,0.0,1.0
2024-01-03 20:37:00,20.0,16.012124578418096,14.913656516087004,8.0,172.00159788629225,0.0,0.0,1.0
