,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP
2024-01-07 03:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 04:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 04:15:00,0.001,0.001,0.0,0.09366666666666666,0.0,0.8
2024-01-07 04:30:00,0.001,0.001,0.0,0.233,0.0,2.2
2024-01-07 04:45:00,0.001,0.001,0.0,0.05566666666666666,0.0,0.0
2024-01-07 05:00:00,0.001,0.001,0.0,0.043,0.0,0.2
2024-01-07 05:15:00,0.001,0.001,0.0,0.043,0.0,3.0
2024-01-07 05:30:00,0.001,0.001,0.0,0.06833333333333333,0.0,1.0
2024-01-07 05:45:00,0.001,0.001,0.0,0.233,0.0,0.0
2024-01-07 06:00:00,0.001,0.001,0.0,0.081,0.0,0.0
2024-01-07 06:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 06:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 06:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 07:00:00,0.001,0.001,0.0,0.233,8.066666666666666,0.8
2024-01-07 07:15:00,0.001,0.001,0.0,0.10633333333333334,11.0,2.2
2024-01-07 07:30:00,0.001,0.001,0.0,0.043,11.0,0.0
2024-01-07 07:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 08:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 08:15:00,0.001,0.001,0.0,0.2076666666666667,0.0,0.0
2024-01-07 08:30:00,0.001,0.001,0.0,0.136,0.0,0.0
2024-01-07 08:45:00,0.001,0.001,0.0,0.056,0.0,0.0
2024-01-07 09:00:00,0.001,0.001,0.0,0.056,0.0,0.4
2024-01-07 09:15:00,0.001,0.001,0.0,0.056,0.0,1.0
2024-01-07 09:30:00,0.001,0.001,0.0,0.19533333333333333,0.0,0.0
2024-01-07 09:45:00,0.001,0.001,0.0,0.157,0.0,0.0
2024-01-07 10:00:00,0.001,0.001,0.0,0.0500942454236041,0.0,0.0
2024-01-07 10:15:00,0.001,0.001,0.0,0.0548237423726735,0.0,1.0
2024-01-07 10:30:00,0.001,0.001,0.0,0.0548237423726735,0.0,1.6
2024-01-07 10:45:00,0.001,0.001,0.0,0.16882374237267353,0.0,0.0
2024-01-07 11:00:00,0.001,0.001,0.0,0.19415707570600685,0.0,0.0
2024-01-07 11:15:00,0.001,0.001,0.0,0.044576498983023134,0.0,0.0
2024-01-07 11:30:00,0.001,0.001,0.0,0.3095333333333333,0.0,0.0
2024-01-07 11:45:00,0.001,0.001,0.0,0.3095333333333333,0.0,0.0
2024-01-07 12:00:00,0.001,0.001,0.0,0.2446,0.0,0.0
2024-01-07 12:15:00,0.001,0.001,0.0,0.32866666666666666,0.0,0.0
2024-01-07 12:30:00,0.001,0.001,0.0,0.164,0.0,0.6
2024-01-07 12:45:00,0.001,0.001,0.0,0.5669529979660463,0.0,0.0
2024-01-07 13:00:00,0.001,0.001,0.0,0.1758237423726735,0.0,1.4
2024-01-07 13:15:00,0.001,0.001,0.0,0.14235707570600684,0.0,1.2
2024-01-07 13:30:00,0.001,0.001,0.0,0.24482374237267351,0.0,0.0
2024-01-07 13:45:00,0.001,0.001,0.0,0.0548237423726735,0.0,0.0
2024-01-07 14:00:00,0.001,0.001,0.0,0.0548237423726735,0.0,0.0
2024-01-07 14:15:00,0.001,0.001,0.0004,0.04615299796604626,0.0,0.0
2024-01-07 14:30:00,0.001,0.001,0.7506666666666667,0.081,0.0,0.0
2024-01-07 14:45:00,0.001,0.001,0.4508,0.233,0.0,0.0
2024-01-07 15:00:00,0.001,0.001,0.001,0.06833333333333333,0.0,0.0
2024-01-07 15:15:00,0.001,0.001,0.001,0.043,0.0,1.4
2024-01-07 15:30:00,0.001,0.001,0.001,0.043,0.0,1.2
2024-01-07 15:45:00,0.001,0.001,0.001,0.05566666666666666,0.0,0.0
2024-01-07 16:00:00,0.001,0.001,0.001,0.233,0.0,0.0
2024-01-07 16:15:00,0.001,0.001,0.001,0.09366666666666666,0.0,0.0
2024-01-07 16:30:00,0.001,0.001,1.6502666666666668,0.043,0.0,0.0
2024-01-07 16:45:00,0.001,0.001,0.7506666666666667,0.043,0.0,0.0
2024-01-07 17:00:00,0.001,0.001,0.001,0.043,0.0,0.0
2024-01-07 17:15:00,0.001,0.001,0.0004,0.22033333333333335,0.0,0.0
2024-01-07 17:30:00,0.001,0.001,0.0,0.11900000000000001,0.0,1.2
2024-01-07 17:45:00,0.001,0.001,0.0,0.043,0.0,1.4
2024-01-07 18:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 18:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 18:30:00,0.001,0.001,0.0,0.195,0.0,0.0
2024-01-07 18:45:00,0.001,0.001,0.0,0.14433333333333334,0.0,0.0
2024-01-07 19:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 19:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 19:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 19:45:00,0.001,0.001,0.0,0.16966666666666666,0.0,0.8
2024-01-07 20:00:00,0.001,0.001,0.0,0.16966666666666666,0.0,1.8
2024-01-07 20:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 20:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 20:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 21:00:00,0.001,0.001,0.0,0.14433333333333334,0.0,0.0
2024-01-07 21:15:00,0.001,0.001,0.0,0.195,0.0,0.0
2024-01-07 21:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 21:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 22:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 22:15:00,0.001,0.001,0.0,0.11900000000000001,0.0,0.0
2024-01-07 22:30:00,0.001,0.001,0.0,0.22033333333333335,0.0,0.0
2024-01-07 22:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 23:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 23:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 23:30:00,0.001,0.001,0.0,0.09366666666666666,0.0,0.0
2024-01-07 23:45:00,0.001,0.001,0.0,0.233,0.0,0.0
