,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV,P_WB
2024-04-22 03:30:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-22 03:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-22 04:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-22 04:15:00,0.001,0.001,0.0,0.3546666666666667,0.0,0.0
2024-04-22 04:30:00,0.001,0.001,0.0,0.15200000000000002,0.0,0.0
2024-04-22 04:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-22 05:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-22 05:15:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-22 05:30:00,0.001,0.001,0.0,0.13933333333333334,3.6666666666666665,0.0
2024-04-22 05:45:00,0.001,0.001,0.0,0.36733333333333335,0.0,0.0
2024-04-22 06:00:00,0.001,0.001,0.0,0.038,0.0,0.3333333333333333
2024-04-22 06:15:00,0.001,0.001,0.0,0.038,0.0,2.3333333333333335
2024-04-22 06:30:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-22 06:45:00,0.001,0.001,0.0,0.6090666666666666,0.0,0.0
2024-04-22 07:00:00,0.001,0.001,0.0,0.8077333333333334,0.0,2.0
2024-04-22 07:15:00,0.001,0.001,0.0,0.21566666666666665,0.0,0.3333333333333333
2024-04-22 07:30:00,0.001,0.001,0.0,0.051,0.0,0.0
2024-04-22 07:45:00,0.001,0.001,0.0,0.051,0.0,0.0
2024-04-22 08:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-22 08:15:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-04-22 08:30:00,0.001,0.001,0.0,0.21533333333333332,0.0,1.3333333333333333
2024-04-22 08:45:00,0.001,0.001,0.0,0.1331294969490694,0.0,3.0
2024-04-22 09:00:00,0.001,0.001,0.0,0.0628237423726735,0.0,2.6666666666666665
2024-04-22 09:15:00,0.001,0.001,0.0,0.4626237423726735,0.0,0.0
2024-04-22 09:30:00,0.001,0.001,0.0,0.16415707570600682,0.0,0.0
2024-04-22 09:45:00,0.001,0.001,0.0,0.6229570757060068,0.0,3.3333333333333335
2024-04-22 10:00:00,0.001,0.001,0.0,0.1567294969490694,0.0,0.0
2024-04-22 10:15:00,0.6865634812499747,0.001,0.0,0.09646666666666667,0.0,0.0
2024-04-22 10:30:00,0.7920347860576631,0.001,0.0,0.9558666666666668,0.0,0.0
2024-04-22 10:45:00,0.7920347860576631,0.001,0.0,2.2100000000000004,0.0,2.0
2024-04-22 11:00:00,0.7920347860576631,0.001,0.0,0.8951333333333334,0.0,2.0
2024-04-22 11:15:00,0.7920347860576631,0.001,0.0,0.21,0.0,3.3333333333333335
2024-04-22 11:30:00,0.7920347860576631,0.001,0.0,0.32399999999999995,0.0,1.3333333333333333
2024-04-22 11:45:00,0.7920347860576631,0.001,0.0,0.06653333333333333,0.0,4.666666666666667
2024-04-22 12:00:00,0.7920347860576631,0.001,0.0,0.0484,0.0,0.0
2024-04-22 12:15:00,0.7920347860576631,0.001,0.0,0.21566666666666665,0.0,1.3333333333333333
2024-04-22 12:30:00,0.7920347860576631,0.001,0.0002,0.26993999999999996,0.0,3.3333333333333335
2024-04-22 12:45:00,0.7920347860576631,0.001,0.30086666666666667,0.5872882494915115,0.0,1.3333333333333333
2024-04-22 13:00:00,0.528356524038442,0.001,0.9006000000000001,0.3631904090393402,0.0,2.3333333333333335
2024-04-22 13:15:00,0.001,0.001,0.001,0.19592374237267351,0.0,0.0
2024-04-22 13:30:00,0.001,0.001,0.001,0.7859078081569782,0.0,0.6666666666666666
2024-04-22 13:45:00,0.001,0.001,6.666666666666667e-05,0.5027426063922544,0.0,2.3333333333333335
2024-04-22 14:00:00,0.001,0.001,0.0,0.3380759397255878,0.0,0.0
2024-04-22 14:15:00,0.001,0.001,0.0,0.3674051953189606,0.0,0.0
2024-04-22 14:30:00,0.001,0.001,0.0,0.4529188640195809,0.0,0.0
