,TumbleDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-03-17 05:45:00,0.001,0.001,0.17366666666666666,2.0,3.0
2024-03-17 06:00:00,0.001,0.001,0.047,1.8666666666666667,0.0
2024-03-17 06:15:00,0.001,0.001,0.047,0.0,3.3333333333333335
2024-03-17 06:30:00,0.001,0.001,0.047,1.0666666666666667,0.3333333333333333
2024-03-17 06:45:00,0.001,0.001,0.22433333333333333,2.0,2.0
2024-03-17 07:00:00,0.001,0.001,0.2876666666666666,0.26666666666666666,1.6666666666666667
2024-03-17 07:15:00,0.001,0.001,0.047,0.0,0.3333333333333333
2024-03-17 07:30:00,0.001,0.001,0.047,0.0,0.0
2024-03-17 07:45:00,0.001,0.001,0.047,0.0,1.6666666666666667
2024-03-17 08:00:00,0.001,0.001,0.11033333333333334,1.8666666666666667,1.6666666666666667
2024-03-17 08:15:00,0.001,0.001,0.3763333333333333,2.0,3.3333333333333335
2024-03-17 08:30:00,0.001,0.001,0.07233333333333333,0.13333333333333333,0.6666666666666666
2024-03-17 08:45:00,0.001,0.001,0.047,0.0,0.0
2024-03-17 09:00:00,0.001,0.001,0.047,0.0,0.0
2024-03-17 09:15:00,0.001,0.001,0.047,0.0,0.0
2024-03-17 09:30:00,0.001,0.001,0.7761333333333335,0.0,0.0
2024-03-17 09:45:00,0.001,0.001,0.13566666666666669,0.13333333333333333,0.0
2024-03-17 10:00:00,0.001,0.001,0.047,2.0,0.0
2024-03-17 10:15:00,0.001,0.001,0.047,1.4666666666666666,0.0
2024-03-17 10:30:00,0.001,0.001,0.05604666666666667,0.0,0.0
2024-03-17 10:45:00,0.001,0.001,0.39803333333333335,0.0,5.0
2024-03-17 11:00:00,0.001,0.001,0.5186333333333334,0.0,0.3333333333333333
2024-03-17 11:15:00,0.001,0.001,0.44923333333333326,0.0,0.0
2024-03-17 11:30:00,0.001,0.001,0.1827,0.0,0.0
2024-03-17 11:45:00,0.001,0.001,0.1827,0.0,0.0
2024-03-17 12:00:00,0.001,0.001,0.28403333333333336,0.0,0.0
2024-03-17 12:15:00,0.001,0.001,0.4740333333333334,0.6666666666666666,0.0
2024-03-17 12:30:00,0.001,0.001,0.20803333333333332,2.0,0.0
2024-03-17 12:45:00,0.001,0.001,0.1827,0.6666666666666666,0.0
2024-03-17 13:00:00,0.001,0.001,0.1827,0.0,0.0
2024-03-17 13:15:00,0.001,0.001,0.20803333333333332,0.0,0.0
2024-03-17 13:30:00,0.001,0.001,0.4867,0.0,0.0
2024-03-17 13:45:00,0.001,0.001,0.27136666666666664,0.0,0.0
2024-03-17 14:00:00,0.001,0.001,0.1827,0.0,0.0
