,Occupancy,EV_plugged,SoC_ref_EV,T_ref_WB,T_set_WB,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,P_use_WB,P_loss_WB,EV_arrival,EV_departure,SoC_arr_EV
2024-01-01 14:25:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.361001682318832,15.66050047446342,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:26:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.35763020450576,15.663487765960467,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:27:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.354263121921463,15.66646995268246,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:28:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.35090042803278,15.669447042416822,12.0,23.106720000000003,0.0,0.0,0.0,0.0
2024-01-01 14:29:00,1.0,1.0,0.8000000000000002,58.82659722885736,60.0,21.5,0.5790360513319585,21.347542116316397,15.672419042939211,12.0,23.106720000000003,0.0,0.0,0.0,0.0
2024-01-01 14:30:00,1.0,1.0,0.8000000000000002,57.38559961777279,60.0,21.5,0.5790360513319585,21.34418818025883,15.675385962013541,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:31:00,1.0,1.0,0.8000000000000002,57.60060200668822,60.0,21.5,0.5790360513319585,21.340838613356404,15.678347807392,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:32:00,1.0,1.0,0.8000000000000002,57.81560439560365,60.0,21.5,0.5790360513319585,21.33749340911525,15.681304586815068,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:33:00,1.0,1.0,0.8000000000000002,58.03060678451908,60.0,21.5,0.5790360513319585,21.33415256105128,15.684256308011532,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:34:00,1.0,1.0,0.8000000000000002,58.24560917343451,60.0,21.5,0.5790360513319585,21.33081606269017,15.687202978698506,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:35:00,1.0,1.0,0.8000000000000002,58.46061156234994,60.0,21.5,0.5790360513319585,21.327483907567366,15.690144606581446,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:36:00,1.0,1.0,0.8000000000000002,58.67561395126537,60.0,21.5,0.5790360513319585,21.324156089228033,15.693081199354173,12.0,26.95784,0.0,0.0,0.0,0.0
2024-01-01 14:37:00,1.0,1.0,0.8000000000000002,56.958616340180804,60.0,21.5,0.5790360513319585,21.320832601227078,15.696012764698887,12.0,0.0,0.0,0.0,0.0,0.0
