,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-05 11:15:00,0.001,0.11247319452245182,0.30269999999999997,0.0,0.0
2024-01-05 11:30:00,0.001,0.252807102289962,0.38661999999999996,0.0,0.0
2024-01-05 11:45:00,0.001,0.5250463032851831,0.26970000000000005,0.0,0.0
2024-01-05 12:00:00,0.001,0.27769471884134433,0.1817,0.0,0.0
2024-01-05 12:15:00,0.001,0.10995358341106361,0.6377,0.0,0.0
2024-01-05 12:30:00,0.001,0.3463290547485196,0.47389999999999993,0.0,0.0
2024-01-05 12:45:00,0.001,1.9364847608761733,0.24309999999999998,0.0,1.6666666666666667
2024-01-05 13:00:00,0.001,0.08999815063567654,0.40409999999999996,0.0,1.3333333333333333
2024-01-05 13:15:00,0.001,0.15052396454798453,0.35236666666666666,0.0,0.0
2024-01-05 13:30:00,0.001,0.23768197545161868,0.7465207729739196,0.0,0.0
2024-01-05 13:45:00,0.001,0.001,0.5438759397255878,0.0,0.0
2024-01-05 14:00:00,0.001,0.001,0.3218759397255878,0.0,0.0
2024-01-05 14:15:00,0.5144450257389442,0.001,0.6615426063922545,0.0,0.0
2024-01-05 14:30:00,1.8622016175697218,0.001,0.7202092730589212,0.0,0.0
2024-01-05 14:45:00,1.86172679143735,0.001,0.22507593972558781,0.0,0.0
2024-01-05 15:00:00,0.9282868498255357,0.001,0.7490836124941157,0.0,0.0
2024-01-05 15:15:00,0.001,0.001,0.5115855306862476,0.0,0.0
2024-01-05 15:30:00,0.001,0.001,0.33425219735291434,0.0,0.0
2024-01-05 15:45:00,0.001,0.001,0.555518864019581,0.0,0.0
2024-01-05 16:00:00,0.001,0.001,0.829198864019581,0.0,0.0
2024-01-05 16:15:00,0.001,0.001,0.08101886401958099,0.0,0.0
2024-01-05 16:30:00,0.001,0.001,0.25105043947058286,0.0,2.6666666666666665
2024-01-05 16:45:00,0.001,0.001,0.7591666666666667,0.0,0.3333333333333333
2024-01-05 17:00:00,0.001,0.001,0.2240333333333333,0.0,0.0
2024-01-05 17:15:00,0.001,0.001,0.29736666666666667,0.0,0.0
2024-01-05 17:30:00,0.001,0.001,0.19469999999999998,0.0,0.0
2024-01-05 17:45:00,0.001,0.001,0.21152783858822094,0.0,0.0
