,TumbleDryer,DishWasher,BaseLoad,P_EV
2024-01-03 05:15:00,0.001,0.0,0.24400000000000002,0.0
2024-01-03 05:30:00,0.001,0.0,0.13,0.0
2024-01-03 05:45:00,0.001,0.0,0.054,0.0
2024-01-03 06:00:00,0.001,0.0,0.054,0.0
2024-01-03 06:15:00,0.001,0.0,0.054,0.0
2024-01-03 06:30:00,0.001,0.0,0.19333333333333333,3.7333333333333334
2024-01-03 06:45:00,0.001,0.0,0.206,2.3333333333333335
2024-01-03 07:00:00,0.001,0.0,0.0855521973529143,0.0
2024-01-03 07:15:00,0.001,0.0,0.0855521973529143,0.0
2024-01-03 07:30:00,0.001,0.0,0.09422294175954153,0.0
2024-01-03 07:45:00,0.001,0.0,0.16070927305892113,0.0
2024-01-03 08:00:00,0.001,0.0,0.2852724599020602,0.0
2024-01-03 08:15:00,0.001,0.0,0.10382374237267351,0.0
2024-01-03 08:30:00,0.001,0.0,0.06582374237267351,0.0
2024-01-03 08:45:00,0.001,0.0,0.05951774644058097,0.0
2024-01-03 09:00:00,0.001,0.0,0.054,0.0
2024-01-03 09:15:00,0.001,0.0,0.2313333333333333,0.0
2024-01-03 09:30:00,0.001,0.0,0.168,0.0
2024-01-03 09:45:00,0.001,0.0,0.067,0.0
2024-01-03 10:00:00,0.001,0.0,0.067,0.0
2024-01-03 10:15:00,0.001,0.0,0.067,0.0
2024-01-03 10:30:00,0.001,0.0,0.16486666666666666,0.0
2024-01-03 10:45:00,0.001,0.0,0.24400000000000002,0.0
2024-01-03 11:00:00,0.001,0.0,0.054,0.0
2024-01-03 11:15:00,0.001,0.0,0.054,0.0
2024-01-03 11:30:00,0.001,0.0,0.054,0.0
2024-01-03 11:45:00,0.001,0.0,0.07933333333333333,2.8
2024-01-03 12:00:00,0.001,0.0,0.24400000000000002,0.0
2024-01-03 12:15:00,0.001,0.0,0.13,0.0
2024-01-03 12:30:00,0.001,0.0,0.054,0.0
2024-01-03 12:45:00,0.001,0.0,0.054,0.0
2024-01-03 13:00:00,0.001,0.0,0.054,0.0
2024-01-03 13:15:00,0.001,0.0,0.19333333333333333,0.0
2024-01-03 13:30:00,0.001,0.0,0.206,0.0
2024-01-03 13:45:00,0.001,0.0,0.054,0.0
2024-01-03 14:00:00,0.001,0.0,0.054,0.0
2024-01-03 14:15:00,0.001,0.0,0.054,0.0
2024-01-03 14:30:00,0.001,0.0,0.11733333333333333,0.0
2024-01-03 14:45:00,0.001,0.0,0.24400000000000002,0.0
2024-01-03 15:00:00,0.001,0.0,0.092,0.0
2024-01-03 15:15:00,0.001,0.0,0.054,0.0
2024-01-03 15:30:00,0.001,0.0,0.054,0.0
2024-01-03 15:45:00,0.001,0.0,0.054,0.0
2024-01-03 16:00:00,0.001,0.0,0.2313333333333333,0.0
2024-01-03 16:15:00,0.001,0.0,0.168,0.0
2024-01-03 16:30:00,0.001,0.0,0.054,0.0
2024-01-03 16:45:00,0.001,0.0,0.054,0.0
2024-01-03 17:00:00,0.001,0.0,0.054,2.3333333333333335
2024-01-03 17:15:00,0.001,0.0,0.15533333333333335,3.7333333333333334
2024-01-03 17:30:00,0.001,0.0,0.24400000000000002,0.0
2024-01-03 17:45:00,0.001,0.0,0.054,0.0
2024-01-03 18:00:00,0.001,0.0,0.15973333333333334,0.0
2024-01-03 18:15:00,0.001,0.0,0.176,0.0
2024-01-03 18:30:00,0.001,0.0,0.20133333333333334,0.0
2024-01-03 18:45:00,0.001,0.0,0.4144,0.0
2024-01-03 19:00:00,0.001,0.0,0.38982783858822095,0.0
2024-01-03 19:15:00,0.001,0.00013333333333333334,0.2065521973529143,0.0
2024-01-03 19:30:00,0.001,1.8002,0.2065521973529143,0.0
2024-01-03 19:45:00,0.001,1.2004666666666668,0.21601119125105311,0.0
2024-01-03 20:00:00,0.001,1.6502666666666668,0.35770927305892114,0.0
2024-01-03 20:15:00,0.001,0.0008666666666666667,0.47975506078442204,0.0
2024-01-03 20:30:00,0.001,0.0,0.3652904090393402,0.0
2024-01-03 20:45:00,0.001,0.0,0.4274589938981388,0.0
2024-01-03 21:00:00,0.001,0.0,0.418,0.0
2024-01-03 21:15:00,0.001,0.0,0.5065750912156647,0.0
2024-01-03 21:30:00,0.001,0.0,0.4616188640195809,0.0
2024-01-03 21:45:00,0.001,0.0,0.20421886401958095,0.0
2024-01-03 22:00:00,0.001,0.0,0.0855521973529143,0.0
2024-01-03 22:15:00,0.001,0.0,0.0855521973529143,0.0
2024-01-03 22:30:00,0.001,0.0,0.06872435876469334,0.0
2024-01-03 22:45:00,0.001,0.0,0.2313333333333333,0.0
2024-01-03 23:00:00,0.001,0.0,0.168,0.0
2024-01-03 23:15:00,0.001,0.0,0.054,0.0
2024-01-03 23:30:00,0.001,0.0,0.054,0.0
2024-01-03 23:45:00,0.001,0.0,0.054,0.0
2024-01-04 00:00:00,0.001,0.0,0.15533333333333335,0.0
2024-01-04 00:15:00,0.001,0.0,0.24400000000000002,0.0
2024-01-04 00:30:00,0.001,0.0,0.054,0.0
2024-01-04 00:45:00,0.001,0.0,0.054,0.0
2024-01-04 01:00:00,0.001,0.0,0.054,0.0
2024-01-04 01:15:00,0.001,0.0,0.07933333333333333,0.0
2024-01-04 01:30:00,0.001,0.0,0.24400000000000002,0.0
2024-01-04 01:45:00,0.001,0.0,0.13,0.0
2024-01-04 02:00:00,0.001,0.0,0.054,0.0
2024-01-04 02:15:00,0.001,0.0,0.054,0.0
2024-01-04 02:30:00,0.001,0.0,0.054,0.0
2024-01-04 02:45:00,0.001,0.0,0.19333333333333333,0.0
2024-01-04 03:00:00,0.001,0.0,0.206,0.0
2024-01-04 03:15:00,0.001,0.0,0.054,0.0
2024-01-04 03:30:00,0.001,0.0,0.054,0.0
2024-01-04 03:45:00,0.001,0.0,0.054,0.0
2024-01-04 04:00:00,0.001,0.0,0.11733333333333333,0.0
2024-01-04 04:15:00,0.001,0.0,0.24400000000000002,0.0
2024-01-04 04:30:00,0.001,0.0,0.092,0.0
2024-01-04 04:45:00,0.001,0.0,0.054,0.0
2024-01-04 05:00:00,0.001,0.0,0.054,0.0
2024-01-04 05:15:00,0.001,0.0,0.054,0.0
2024-01-04 05:30:00,0.001,0.0,0.2313333333333333,0.0
2024-01-04 05:45:00,0.001,0.0,0.168,0.0
2024-01-04 06:00:00,0.001,0.0,0.054,0.0
2024-01-04 06:15:00,0.001,0.0,0.054,0.0
2024-01-04 06:30:00,0.001,0.0,0.067,0.0
2024-01-04 06:45:00,0.001,0.0,0.16833333333333333,0.0
2024-01-04 07:00:00,0.001,0.0,0.257,0.0
2024-01-04 07:15:00,0.001,0.0,0.0566,0.0
2024-01-04 07:30:00,0.001,0.0,0.054,0.0
2024-01-04 07:45:00,0.001,0.0,0.054,0.0
2024-01-04 08:00:00,0.001,0.0,0.07933333333333333,0.0
2024-01-04 08:15:00,0.001,0.0,0.24400000000000002,0.0
2024-01-04 08:30:00,0.001,0.0,0.13,0.0
2024-01-04 08:45:00,0.001,0.0,0.054,3.7333333333333334
2024-01-04 09:00:00,0.001,0.0,0.054,0.0
2024-01-04 09:15:00,0.001,0.0,0.054,0.0
2024-01-04 09:30:00,0.001,0.0,0.19333333333333333,0.0
2024-01-04 09:45:00,0.001,0.0,0.206,0.0
2024-01-04 10:00:00,0.001,0.0,0.054,0.0
2024-01-04 10:15:00,0.001,0.0,0.05951774644058097,0.0
2024-01-04 10:30:00,0.001,0.0,0.11105707570600684,0.0
2024-01-04 10:45:00,0.001,0.0,0.26485707570600686,0.0
2024-01-04 11:00:00,0.001,0.0,0.3915237423726735,0.0
2024-01-04 11:15:00,0.001,0.0,0.23952374237267351,1.8666666666666667
2024-01-04 11:30:00,0.001,0.0,0.1991589938981388,0.9333333333333333
2024-01-04 11:45:00,0.001,0.0,0.18969999999999995,0.0
2024-01-04 12:00:00,0.001,0.0,0.18969999999999995,0.0
2024-01-04 12:15:00,0.001,0.0,0.3670333333333333,0.0
2024-01-04 12:30:00,0.001,0.0,0.30369999999999997,0.0
2024-01-04 12:45:00,0.001,0.0,0.18969999999999995,0.0
2024-01-04 13:00:00,0.001,0.0,0.18969999999999995,0.0
2024-01-04 13:15:00,0.001,0.0,0.18969999999999995,0.0
2024-01-04 13:30:00,0.001,0.0,0.2910333333333333,0.0
2024-01-04 13:45:00,0.001,0.0,0.3797,0.0
2024-01-04 14:00:00,0.001,0.0,0.18969999999999995,0.0
2024-01-04 14:15:00,0.001,0.0,0.18969999999999995,0.0
2024-01-04 14:30:00,0.001,0.0,0.18969999999999995,0.0
2024-01-04 14:45:00,0.001,0.0,0.21503333333333333,0.0
