,TumbleDryer,BaseLoad,P_HP
2024-01-11 01:15:00,0.001,0.25003333333333333,0.0
2024-01-11 01:30:00,0.001,0.3260333333333333,0.0
2024-01-11 01:45:00,0.001,0.18669999999999998,0.0
2024-01-11 02:00:00,0.001,0.22336666666666663,0.0
2024-01-11 02:15:00,0.001,0.2967,0.0
2024-01-11 02:30:00,0.001,0.18669999999999998,0.0
2024-01-11 02:45:00,0.001,0.2627,0.0
2024-01-11 03:00:00,0.001,0.3133666666666667,0.0
2024-01-11 03:15:00,0.001,0.18669999999999998,0.0
2024-01-11 03:30:00,0.001,0.26736666666666664,0.0
2024-01-11 03:45:00,0.001,0.2527,2.1333333333333333
2024-01-11 04:00:00,0.001,0.18669999999999998,0.8
2024-01-11 04:15:00,0.001,0.27536666666666665,0.0
2024-01-11 04:30:00,0.001,0.24642,0.0
2024-01-11 04:45:00,0.001,0.06566666666666666,0.0
2024-01-11 05:00:00,0.001,0.5608000000000001,0.0
2024-01-11 05:15:00,0.001,0.073,0.0
2024-01-11 05:30:00,0.001,0.05533333333333333,0.0
2024-01-11 05:45:00,0.001,0.16533333333333333,0.0
2024-01-11 06:00:00,0.001,0.16533333333333333,0.0
2024-01-11 06:15:00,0.001,0.12266666666666666,0.0
2024-01-11 06:30:00,0.001,0.152,2.4
2024-01-11 06:45:00,0.001,0.052733333333333327,0.0
2024-01-11 07:00:00,0.001,0.051,0.0
2024-01-11 07:15:00,0.001,0.165,0.0
2024-01-11 07:30:00,0.001,0.15006666666666665,0.0
2024-01-11 07:45:00,0.001,0.2842733333333333,0.0
2024-01-11 08:00:00,0.001,0.2437,0.0
2024-01-11 08:15:00,0.001,0.19623333333333332,0.0
2024-01-11 08:30:00,0.001,0.18669999999999998,0.0
2024-01-11 08:45:00,0.001,0.3177,0.0
2024-01-11 09:00:00,0.001,0.3123666666666666,0.0
2024-01-11 09:15:00,0.001,0.8427666666666666,0.0
2024-01-11 09:30:00,0.001,0.1997,0.0
2024-01-11 09:45:00,0.001,0.1997,0.0
2024-01-11 10:00:00,0.001,1.4694333333333334,1.3333333333333333
2024-01-11 10:15:00,0.001,2.461033333333333,1.0666666666666667
