,TumbleDryer,BaseLoad,P_HP,P_WB
2024-01-04 07:00:00,0.001,0.2456666666666667,0.0,0.0
2024-01-04 07:15:00,0.001,0.7271333333333333,0.0,0.8
2024-01-04 07:30:00,0.001,0.047,1.4666666666666666,1.4
2024-01-04 07:45:00,0.001,0.047,1.3333333333333333,0.0
2024-01-04 08:00:00,0.001,0.047,0.0,0.0
2024-01-04 08:15:00,0.001,0.047,0.0,0.0
2024-01-04 08:30:00,0.001,0.19899999999999998,0.0,0.0
2024-01-04 08:45:00,0.001,0.18633333333333332,0.0,0.0
2024-01-04 09:00:00,0.001,0.047,0.0,0.0
2024-01-04 09:15:00,0.001,0.047,0.5333333333333333,0.0
2024-01-04 09:30:00,0.001,0.047,2.0,1.2
2024-01-04 09:45:00,0.001,0.047,0.26666666666666666,1.0
2024-01-04 10:00:00,0.001,0.6105333333333334,0.0,0.0
2024-01-04 10:15:00,0.001,1.2806,0.0,1.8
2024-01-04 10:30:00,0.001,2.034866666666667,0.0,0.4
2024-01-04 10:45:00,0.001,0.30226666666666674,0.0,0.0
2024-01-04 11:00:00,0.001,0.169,0.0,0.0
2024-01-04 11:15:00,0.001,0.17333333333333334,0.6666666666666666,2.2
2024-01-04 11:30:00,0.001,0.4296666666666667,2.0,0.0
2024-01-04 11:45:00,0.001,0.5561333333333334,0.0,0.0
2024-01-04 12:00:00,0.001,0.424,0.0,0.0
2024-01-04 12:15:00,0.001,0.424,0.0,0.0
2024-01-04 12:30:00,0.001,0.40786666666666666,0.0,0.6
2024-01-04 12:45:00,0.001,0.35946666666666666,0.0,2.2
2024-01-04 13:00:00,0.001,0.5054666666666666,0.0,0.0
2024-01-04 13:15:00,0.001,0.8886576920980267,0.8,0.0
2024-01-04 13:30:00,0.001,0.3205521973529143,1.8666666666666667,2.0
2024-01-04 13:45:00,0.001,0.321218864019581,0.0,0.0
2024-01-04 14:00:00,0.001,0.3215521973529143,0.0,0.0
2024-01-04 14:15:00,0.001,0.22475219735291432,0.0,1.6
2024-01-04 14:30:00,0.001,0.2955750912156648,0.0,2.8
2024-01-04 14:45:00,0.001,0.35886666666666667,0.0,0.0
2024-01-04 15:00:00,0.001,0.1890347982352762,0.0,0.0
2024-01-04 15:15:00,0.001,0.1995521973529143,0.6666666666666666,0.0
2024-01-04 15:30:00,0.001,0.1995521973529143,2.0,2.2
2024-01-04 15:45:00,0.001,0.5993521973529143,0.0,0.6
2024-01-04 16:00:00,0.001,0.28821886401958097,0.0,0.0
2024-01-04 16:15:00,0.001,0.2573402929803886,0.0,0.0
2024-01-04 16:30:00,0.001,0.059666666666666666,0.0,2.8
2024-01-04 16:45:00,0.001,0.047,0.0,1.6
2024-01-04 17:00:00,0.001,0.047,0.0,0.0
2024-01-04 17:15:00,0.001,0.047,0.6666666666666666,0.0
2024-01-04 17:30:00,0.001,0.13106666666666666,2.0,2.2
2024-01-04 17:45:00,0.001,0.358,0.0,0.0
2024-01-04 18:00:00,0.001,0.23366666666666666,0.0,0.0
2024-01-04 18:15:00,0.001,0.289,0.0,0.0
2024-01-04 18:30:00,0.001,0.289,0.0,0.0
2024-01-04 18:45:00,0.001,0.289,0.0,0.0
2024-01-04 19:00:00,0.001,0.35233333333333333,0.0,0.0
2024-01-04 19:15:00,0.001,1.1015333333333333,0.5333333333333333,0.2
2024-01-04 19:30:00,0.001,0.39575566793864847,2.0,2.2
2024-01-04 19:45:00,0.001,0.4221092730589211,0.13333333333333333,0.0
2024-01-04 20:00:00,0.001,0.45437593972558776,0.0,0.0
2024-01-04 20:15:00,0.001,0.35757593972558777,0.0,2.4
2024-01-04 20:30:00,0.001,0.35094810113736685,0.0,0.2
2024-01-04 20:45:00,0.001,0.49103549288116194,0.0,0.0
2024-01-04 21:00:00,0.001,0.2960237423726735,0.0,0.0
2024-01-04 21:15:00,0.001,0.5006904090393403,0.0,0.0
2024-01-04 21:30:00,0.001,2.6282237423726738,0.0,2.4
2024-01-04 21:45:00,0.001,0.788510940657563,0.6666666666666666,0.8
2024-01-04 22:00:00,0.9887669884116619,0.7842385286522938,0.13333333333333333,0.0
2024-01-04 22:15:00,1.9270935187488678,0.6783759397255877,0.0,0.0
2024-01-04 22:30:00,1.7897319924923003,0.5199759397255878,0.0,0.0
2024-01-04 22:45:00,0.5252236169965309,0.4077321669216716,0.0,0.0
2024-01-04 23:00:00,1.0781792581538319,0.3018237423726735,0.0,2.2
2024-01-04 23:15:00,0.7991305740280013,0.7016237423726736,0.0,0.0
2024-01-04 23:30:00,1.006747267478339,0.32085107977391425,0.0,0.0
2024-01-04 23:45:00,1.4969168480312747,0.500237661666784,0.0,0.0
2024-01-05 00:00:00,0.001,0.31990927305892114,0.0,2.4
2024-01-05 00:15:00,0.001,0.21137593972558782,0.0,0.0
2024-01-05 00:30:00,0.001,0.21137593972558782,0.0,0.0
2024-01-05 00:45:00,0.001,0.20270519531896056,0.0,0.0
2024-01-05 01:00:00,0.001,0.1073521973529143,0.0,1.4
2024-01-05 01:15:00,0.001,0.2685521973529143,0.0,2.2
2024-01-05 01:30:00,0.001,0.16721886401958097,0.0,0.0
2024-01-05 01:45:00,0.001,0.04910347982352762,0.0,0.0
2024-01-05 02:00:00,0.001,0.047,0.0,0.0
2024-01-05 02:15:00,0.001,0.047,0.0,0.2
2024-01-05 02:30:00,0.001,0.047,0.0,2.6
2024-01-05 02:45:00,0.001,0.7700666666666667,0.0,0.0
2024-01-05 03:00:00,0.001,0.14833333333333334,0.0,0.0
2024-01-05 03:15:00,0.001,0.047,0.0,0.0
2024-01-05 03:30:00,0.001,0.047,0.0,0.0
2024-01-05 03:45:00,0.001,0.047,0.0,0.0
2024-01-05 04:00:00,0.001,0.047,0.0,0.4
2024-01-05 04:15:00,0.001,0.22433333333333333,0.6666666666666666,1.8
2024-01-05 04:30:00,0.001,0.161,1.2,0.0
2024-01-05 04:45:00,0.001,0.047,0.0,0.0
2024-01-05 05:00:00,0.001,0.047,0.0,0.0
2024-01-05 05:15:00,0.001,0.047,0.0,0.0
2024-01-05 05:30:00,0.001,0.047,0.5333333333333333,2.2
2024-01-05 05:45:00,0.001,0.21166666666666664,0.0,1.0
2024-01-05 06:00:00,0.001,0.17366666666666666,0.8,0.0
2024-01-05 06:15:00,0.001,0.047,1.4666666666666666,0.0
2024-01-05 06:30:00,0.001,0.047,2.0,0.0
2024-01-05 06:45:00,0.001,0.047,2.0,0.8
2024-01-05 07:00:00,0.001,0.047,2.0,2.6
2024-01-05 07:15:00,0.001,0.19899999999999998,2.0,0.0
2024-01-05 07:30:00,0.001,0.18633333333333332,0.9333333333333333,2.2
2024-01-05 07:45:00,0.001,0.047,0.0,0.0
2024-01-05 08:00:00,0.001,0.09580000000000001,0.0,0.0
2024-01-05 08:15:00,0.001,0.169,0.0,0.0
2024-01-05 08:30:00,0.001,0.7020666666666667,1.8666666666666667,0.0
2024-01-05 08:45:00,0.001,0.30833333333333335,1.3333333333333333,2.2
2024-01-05 09:00:00,0.001,0.3286431656496898,0.0,3.0
2024-01-05 09:15:00,0.001,0.1986237423726735,0.0,2.4
2024-01-05 09:30:00,0.001,0.1498237423726735,0.0,0.0
2024-01-05 09:45:00,0.001,0.1498237423726735,0.6666666666666666,0.0
2024-01-05 10:00:00,0.001,0.6828904090393402,2.0,0.0
2024-01-05 10:15:00,0.001,0.20739232723147213,0.4,0.0
