,BaseLoad
2024-01-06 20:45:00,0.5211904090393402
2024-01-06 21:00:00,0.5055237423726735
2024-01-06 21:15:00,0.37885707570600685
2024-01-06 21:30:00,0.3155237423726735
2024-01-06 21:45:00,0.3155237423726735
2024-01-06 22:00:00,0.3258570757060068
2024-01-06 22:15:00,0.5809237423726735
2024-01-06 22:30:00,0.9592570757060069
2024-01-06 22:45:00,0.8415904090393401
2024-01-06 23:00:00,0.7275904090393401
2024-01-06 23:15:00,0.18900599593209255
2024-01-06 23:30:00,0.18664124745755784
2024-01-06 23:45:00,0.2978570757060068
2024-01-07 00:00:00,0.45996055552953446
2024-01-07 00:15:00,0.39074260639225444
2024-01-07 00:30:00,0.6258759397255879
2024-01-07 00:45:00,0.2213464427765184
2024-01-07 01:00:00,0.599327838588221
2024-01-07 01:15:00,0.22403333333333333
2024-01-07 01:30:00,0.42636666666666667
2024-01-07 01:45:00,0.4037
2024-01-07 02:00:00,0.12661333333333333
2024-01-07 02:15:00,1.1131333333333333
2024-01-07 02:30:00,0.3135333333333333
2024-01-07 02:45:00,0.047
2024-01-07 03:00:00,0.21933333333333332
2024-01-07 03:15:00,0.33
2024-01-07 03:30:00,0.6560666666666667
2024-01-07 03:45:00,0.047
2024-01-07 04:00:00,0.047
2024-01-07 04:15:00,0.047
2024-01-07 04:30:00,0.11933333333333333
2024-01-07 04:45:00,0.37933333333333336
2024-01-07 05:00:00,0.17366666666666666
2024-01-07 05:15:00,0.047
2024-01-07 05:30:00,0.051333333333333335
2024-01-07 05:45:00,0.05999999999999999
2024-01-07 06:00:00,0.07033333333333333
2024-01-07 06:15:00,0.7414666666666666
2024-01-07 06:30:00,0.29586666666666667
2024-01-07 06:45:00,0.047
2024-01-07 07:00:00,0.047
2024-01-07 07:15:00,0.047
2024-01-07 07:30:00,0.047
2024-01-07 07:45:00,0.22633333333333333
2024-01-07 08:00:00,0.4578
2024-01-07 08:15:00,0.206
2024-01-07 08:30:00,0.168
2024-01-07 08:45:00,0.168
2024-01-07 09:00:00,0.06573333333333334
2024-01-07 09:15:00,0.12666666666666665
2024-01-07 09:30:00,0.405
2024-01-07 09:45:00,0.1796666666666667
2024-01-07 10:00:00,0.05999999999999999
2024-01-07 10:15:00,0.053933333333333326
2024-01-07 10:30:00,0.047
2024-01-07 10:45:00,0.047
2024-01-07 11:00:00,0.3520666666666667
2024-01-07 11:15:00,0.38065333333333334
2024-01-07 11:30:00,0.05999999999999999
2024-01-07 11:45:00,0.07613333333333333
2024-01-07 12:00:00,0.17753333333333332
2024-01-07 12:15:00,0.168
2024-01-07 12:30:00,0.35433333333333333
2024-01-07 12:45:00,0.513
2024-01-07 13:00:00,0.11153333333333333
2024-01-07 13:15:00,0.047
2024-01-07 13:30:00,0.047
2024-01-07 13:45:00,0.047
2024-01-07 14:00:00,0.12066666666666667
2024-01-07 14:15:00,0.392
2024-01-07 14:30:00,0.15966666666666668
2024-01-07 14:45:00,0.5800666666666666
2024-01-07 15:00:00,0.047
2024-01-07 15:15:00,0.047
2024-01-07 15:30:00,0.059666666666666666
2024-01-07 15:45:00,0.3403333333333334
2024-01-07 16:00:00,0.2723333333333333
2024-01-07 16:15:00,0.047
2024-01-07 16:30:00,0.047
2024-01-07 16:45:00,0.047
2024-01-07 17:00:00,0.047
2024-01-07 17:15:00,0.24033333333333334
2024-01-07 17:30:00,0.35400000000000004
2024-01-07 17:45:00,0.078
2024-01-07 18:00:00,1.9136666666666668
2024-01-07 18:15:00,0.9803333333333335
2024-01-07 18:30:00,0.047
2024-01-07 18:45:00,0.4016275787569375
2024-01-07 19:00:00,0.77069040903934
2024-01-07 19:15:00,0.2854904090393402
2024-01-07 19:30:00,0.1798237423726735
2024-01-07 19:45:00,0.1798237423726735
2024-01-07 20:00:00,0.17667074440662725
2024-01-07 20:15:00,0.16219999999999998
2024-01-07 20:30:00,0.3093333333333333
2024-01-07 20:45:00,0.26533333333333337
2024-01-07 21:00:00,0.047
2024-01-07 21:15:00,0.047
2024-01-07 21:30:00,0.047
2024-01-07 21:45:00,0.047
2024-01-07 22:00:00,0.24733333333333332
2024-01-07 22:15:00,0.316
2024-01-07 22:30:00,0.109
2024-01-07 22:45:00,0.047
2024-01-07 23:00:00,0.047
2024-01-07 23:15:00,0.047
2024-01-07 23:30:00,0.18633333333333332
2024-01-07 23:45:00,0.315
2024-01-08 00:00:00,0.17099999999999999
2024-01-08 00:15:00,0.047
2024-01-08 00:30:00,0.047
2024-01-08 00:45:00,0.047
2024-01-08 01:00:00,0.13566666666666669
2024-01-08 01:15:00,0.2783333333333333
2024-01-08 01:30:00,0.22733333333333333
2024-01-08 01:45:00,0.078
2024-01-08 02:00:00,0.047
2024-01-08 02:15:00,0.047
2024-01-08 02:30:00,0.08499999999999999
2024-01-08 02:45:00,0.237
2024-01-08 03:00:00,0.25733333333333336
2024-01-08 03:15:00,0.14
2024-01-08 03:30:00,0.047
2024-01-08 03:45:00,0.047
2024-01-08 04:00:00,0.047
2024-01-08 04:15:00,0.22433333333333333
2024-01-08 04:30:00,0.246
2024-01-08 04:45:00,0.202
2024-01-08 05:00:00,0.047
2024-01-08 05:15:00,0.047
2024-01-08 05:30:00,0.047
2024-01-08 05:45:00,0.17366666666666666
2024-01-08 06:00:00,0.23466666666666666
2024-01-08 06:15:00,0.202
2024-01-08 06:30:00,0.109
2024-01-08 06:45:00,0.047
