,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-10 06:15:00,0.001,0.0,0.001,0.115,0.0
2024-01-10 06:30:00,0.001,0.0,0.001,0.12966666666666668,0.0
2024-01-10 06:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 07:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 07:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 07:30:00,0.001,0.0,0.001,0.10766666666666666,0.0
2024-01-10 07:45:00,0.001,0.0,0.001,0.137,0.0
2024-01-10 08:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 08:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 08:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 08:45:00,0.001,0.0,0.001,0.10033333333333334,0.0
2024-01-10 09:00:00,0.001,0.0,0.001,0.14433333333333334,0.0
2024-01-10 09:15:00,0.001,0.0,0.001,0.0608237423726735,0.0
2024-01-10 09:30:00,0.001,0.0,0.001,0.0608237423726735,0.0
2024-01-10 09:45:00,0.001,0.0,0.001,0.0608237423726735,0.4
2024-01-10 10:00:00,0.001,0.0,0.001,0.10167074440662723,2.6
2024-01-10 10:15:00,0.001,0.0,0.001,0.15166666666666667,0.0
2024-01-10 10:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 10:45:00,0.001,0.0,0.001,0.056799999999999996,0.0
2024-01-10 11:00:00,0.001,0.0,0.001,0.06199999999999999,0.0
2024-01-10 11:15:00,0.001,0.0,0.001,0.09866666666666667,0.0
2024-01-10 11:30:00,0.001,0.0,0.001,0.172,0.0
2024-01-10 11:45:00,0.001,0.0,0.001,0.05246666666666667,0.0
2024-01-10 12:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 12:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 12:30:00,0.001,0.0,0.001,0.07833333333333334,0.0
2024-01-10 12:45:00,0.001,0.0,0.001,0.159,0.0
2024-01-10 13:00:00,0.001,0.0,0.001,0.05633333333333333,0.0
2024-01-10 13:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 13:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 13:45:00,0.001,0.0,0.001,0.071,0.0
2024-01-10 14:00:00,0.001,0.0,0.001,0.159,0.0
2024-01-10 14:15:00,0.001,0.0,0.001,0.06366666666666668,0.0
2024-01-10 14:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 14:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 15:00:00,0.001,0.0,0.001,0.06366666666666668,0.4
2024-01-10 15:15:00,0.001,0.0,0.001,0.159,2.6
2024-01-10 15:30:00,0.001,0.0,0.001,0.071,0.0
2024-01-10 15:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 16:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 16:15:00,0.001,0.0,0.001,0.05633333333333333,0.0
2024-01-10 16:30:00,0.001,0.0,0.001,0.159,0.0
2024-01-10 16:45:00,0.001,0.0,0.001,0.07833333333333334,0.0
2024-01-10 17:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 17:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 17:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 17:45:00,0.001,0.0,0.001,0.159,0.0
2024-01-10 18:00:00,0.001,0.0,0.001,0.08566666666666668,0.0
2024-01-10 18:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 18:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 18:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 19:00:00,0.001,0.0,0.001,0.15166666666666667,0.0
2024-01-10 19:15:00,0.001,0.0,0.001,0.093,0.0
2024-01-10 19:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 19:45:00,0.001,0.0,0.001,0.049,2.2
2024-01-10 20:00:00,0.001,0.0,0.001,0.049,0.8
2024-01-10 20:15:00,0.001,0.0,0.001,0.14433333333333334,0.0
2024-01-10 20:30:00,0.001,0.0,0.001,0.10033333333333334,0.0
2024-01-10 20:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 21:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 21:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 21:30:00,0.001,0.0,0.001,0.137,0.0
2024-01-10 21:45:00,0.001,0.0,0.001,0.10766666666666666,0.0
2024-01-10 22:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 22:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 22:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 22:45:00,0.001,0.0,0.001,0.12966666666666668,0.0
2024-01-10 23:00:00,0.001,0.0,0.001,0.115,0.0
2024-01-10 23:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 23:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 23:45:00,0.001,0.0,0.001,0.0974,0.0
2024-01-11 00:00:00,0.001,0.0,0.001,0.24333333333333335,0.0
2024-01-11 00:15:00,0.001,0.0,0.001,0.24333333333333335,0.0
2024-01-11 00:30:00,0.001,0.0,0.001,0.2804,0.0
2024-01-11 00:45:00,0.001,0.0,0.001,0.17,0.0
2024-01-11 01:00:00,0.001,0.0,0.001,0.17,0.0
2024-01-11 01:15:00,0.001,0.0,0.001,0.14726666666666668,0.0
2024-01-11 01:30:00,0.001,0.0,0.001,0.12966666666666668,0.0
2024-01-11 01:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-11 02:00:00,0.001,0.0,0.001,0.049,0.0
