,DishWasher,BaseLoad,P_HP
2024-01-08 08:15:00,0.0,0.044,0.0
2024-01-08 08:30:00,0.0,0.154,0.0
2024-01-08 08:45:00,0.0,0.051333333333333335,0.0
2024-01-08 09:00:00,0.0,0.044,1.0666666666666667
2024-01-08 09:15:00,0.0,0.044,1.8666666666666667
2024-01-08 09:30:00,0.0,0.044,0.0
2024-01-08 09:45:00,0.0,0.044,0.0
2024-01-08 10:00:00,0.0,0.14666666666666667,0.0
2024-01-08 10:15:00,0.0,0.058666666666666666,0.0
2024-01-08 10:30:00,0.0,0.044,0.0
2024-01-08 10:45:00,0.0,0.044,0.0
2024-01-08 11:00:00,0.0,0.044,0.0
2024-01-08 11:15:00,0.0,0.044,0.0
2024-01-08 11:30:00,0.0,0.13933333333333334,0.0
2024-01-08 11:45:00,0.0,0.066,0.0
2024-01-08 12:00:00,0.0,0.044,0.0
2024-01-08 12:15:00,0.0,0.044,0.0
2024-01-08 12:30:00,0.0,0.044,0.0
2024-01-08 12:45:00,0.0,0.044,1.8666666666666667
2024-01-08 13:00:00,0.0,0.132,1.0666666666666667
2024-01-08 13:15:00,0.0,0.07333333333333332,0.0
2024-01-08 13:30:00,0.0,0.044,0.0
2024-01-08 13:45:00,0.0,0.044,0.0
2024-01-08 14:00:00,0.0,0.044,0.0
2024-01-08 14:15:00,0.0,0.044,0.0
2024-01-08 14:30:00,0.0,0.12466666666666666,0.0
2024-01-08 14:45:00,0.0,0.08066666666666666,0.0
2024-01-08 15:00:00,0.0,0.044,0.0
2024-01-08 15:15:00,0.0,0.044,0.0
2024-01-08 15:30:00,0.0,0.044,0.0
2024-01-08 15:45:00,0.0,0.044,0.0
2024-01-08 16:00:00,0.0,0.11733333333333333,0.0
2024-01-08 16:15:00,0.0,0.08800000000000001,0.0
2024-01-08 16:30:00,0.0,0.044,1.8666666666666667
2024-01-08 16:45:00,0.0,0.044,1.0666666666666667
2024-01-08 17:00:00,0.0,0.044,0.0
2024-01-08 17:15:00,0.0,0.044,0.0
2024-01-08 17:30:00,0.0,0.11,0.0
2024-01-08 17:45:00,0.0,0.09533333333333333,0.0
2024-01-08 18:00:00,0.0,0.044,0.0
2024-01-08 18:15:00,0.0,0.044,0.0
2024-01-08 18:30:00,0.0,0.044,0.0
2024-01-08 18:45:00,0.0,0.044,0.0
2024-01-08 19:00:00,0.0,0.10266666666666667,0.0
2024-01-08 19:15:00,0.0,0.10266666666666667,0.0
2024-01-08 19:30:00,0.0,0.044,0.0
2024-01-08 19:45:00,0.0,0.044,0.0
2024-01-08 20:00:00,0.0,0.044,0.0
2024-01-08 20:15:00,0.0,0.044,1.3333333333333333
2024-01-08 20:30:00,0.0,0.09533333333333333,1.6
2024-01-08 20:45:00,0.0,0.11,0.0
2024-01-08 21:00:00,0.0,0.044,0.0
2024-01-08 21:15:00,0.0,0.044,0.0
2024-01-08 21:30:00,0.0,0.044,0.0
2024-01-08 21:45:00,0.0,0.044,0.0
2024-01-08 22:00:00,0.0,0.08800000000000001,0.0
2024-01-08 22:15:00,0.0,0.11733333333333333,0.0
2024-01-08 22:30:00,0.0,0.044,0.0
2024-01-08 22:45:00,0.0,0.044,0.0
2024-01-08 23:00:00,0.0,0.044,0.0
2024-01-08 23:15:00,0.0,0.044,0.0
2024-01-08 23:30:00,0.0,0.08066666666666666,0.0
2024-01-08 23:45:00,0.0,0.12466666666666666,0.0
2024-01-09 00:00:00,0.0,0.044,0.0
2024-01-09 00:15:00,0.0,0.044,0.0
2024-01-09 00:30:00,0.0,0.044,0.0
2024-01-09 00:45:00,0.0,0.044,0.0
2024-01-09 01:00:00,0.0,0.07333333333333332,0.0
2024-01-09 01:15:00,0.0,0.132,0.0
2024-01-09 01:30:00,0.0,0.044,0.0
2024-01-09 01:45:00,0.0,0.044,0.0
2024-01-09 02:00:00,0.0,0.044,0.0
2024-01-09 02:15:00,0.0,0.044,0.0
2024-01-09 02:30:00,0.0,0.066,0.0
2024-01-09 02:45:00,0.0,0.13933333333333334,0.0
2024-01-09 03:00:00,0.0,0.044,0.0
2024-01-09 03:15:00,0.0,0.044,0.0
2024-01-09 03:30:00,0.0,0.044,0.0
2024-01-09 03:45:00,0.0,0.044,0.0
2024-01-09 04:00:00,0.0,0.058666666666666666,0.0
2024-01-09 04:15:00,0.0,0.14666666666666667,2.4
2024-01-09 04:30:00,0.0,0.044,0.8
2024-01-09 04:45:00,0.0,0.044,0.0
2024-01-09 05:00:00,0.0,0.044,0.0
2024-01-09 05:15:00,0.0,0.044,0.0
2024-01-09 05:30:00,0.0,0.051333333333333335,2.933333333333333
2024-01-09 05:45:00,0.0,0.154,0.0
2024-01-09 06:00:00,0.0,0.044,0.0
2024-01-09 06:15:00,0.0,0.044,0.0
2024-01-09 06:30:00,0.0,0.044,0.0
2024-01-09 06:45:00,0.0,0.044,0.0
2024-01-09 07:00:00,0.0,0.044,0.0
2024-01-09 07:15:00,0.0,0.154,0.0
2024-01-09 07:30:00,0.0,0.051333333333333335,0.0
2024-01-09 07:45:00,0.0,0.044,0.0
2024-01-09 08:00:00,0.0,0.044,0.0
2024-01-09 08:15:00,0.0,0.044,0.0
2024-01-09 08:30:00,0.0,0.044,0.0
2024-01-09 08:45:00,0.0,0.14666666666666667,0.0
2024-01-09 09:00:00,0.0,0.058666666666666666,0.0
2024-01-09 09:15:00,0.0,0.044,0.0
2024-01-09 09:30:00,0.0,0.044,2.1333333333333333
2024-01-09 09:45:00,0.0,0.044,0.8
2024-01-09 10:00:00,0.0,0.044,0.0
2024-01-09 10:15:00,0.0,0.13933333333333334,0.0
2024-01-09 10:30:00,0.0,0.066,0.0
2024-01-09 10:45:00,0.0,0.044,0.0
2024-01-09 11:00:00,0.0,0.044,0.0
2024-01-09 11:15:00,0.0,0.044,0.0
2024-01-09 11:30:00,0.0,0.044,0.0
2024-01-09 11:45:00,0.0,0.132,0.0
2024-01-09 12:00:00,0.0,0.07333333333333332,0.0
2024-01-09 12:15:00,0.0,0.044,0.0
2024-01-09 12:30:00,0.0,0.044,0.0
2024-01-09 12:45:00,0.0,0.044,0.0
2024-01-09 13:00:00,0.0,0.044,0.0
2024-01-09 13:15:00,0.0,0.12466666666666666,0.0
2024-01-09 13:30:00,0.0,0.08066666666666666,0.0
2024-01-09 13:45:00,0.0,0.044,1.3333333333333333
2024-01-09 14:00:00,0.0,0.044,1.6
2024-01-09 14:15:00,0.0,0.044,0.0
2024-01-09 14:30:00,0.0,0.044,0.0
2024-01-09 14:45:00,0.0,0.11733333333333333,0.0
2024-01-09 15:00:00,0.0,0.08800000000000001,0.0
2024-01-09 15:15:00,0.0,0.044,0.0
2024-01-09 15:30:00,0.0,0.044,0.0
2024-01-09 15:45:00,0.0,0.044,0.0
2024-01-09 16:00:00,0.0,0.044,0.0
2024-01-09 16:15:00,0.0,0.11,0.0
2024-01-09 16:30:00,0.0,0.09533333333333333,0.0
2024-01-09 16:45:00,0.0,0.044,0.0
2024-01-09 17:00:00,0.0,0.044,0.0
2024-01-09 17:15:00,0.0,0.044,0.0
2024-01-09 17:30:00,0.0,0.044,0.0
2024-01-09 17:45:00,0.0,0.10266666666666667,0.0
2024-01-09 18:00:00,0.0,0.10266666666666667,0.0
2024-01-09 18:15:00,0.0,0.044,2.933333333333333
2024-01-09 18:30:00,0.0,0.044,0.0
2024-01-09 18:45:00,0.0,0.044,0.0
2024-01-09 19:00:00,0.0,0.044,0.0
2024-01-09 19:15:00,0.0,0.09533333333333333,0.0
2024-01-09 19:30:00,0.0,0.11,0.0
2024-01-09 19:45:00,0.0,0.044,0.0
2024-01-09 20:00:00,0.0,0.044,0.0
2024-01-09 20:15:00,0.0,0.044,0.0
2024-01-09 20:30:00,0.0,0.044,0.0
2024-01-09 20:45:00,0.0,0.08800000000000001,0.0
2024-01-09 21:00:00,0.0,0.11733333333333333,0.0
2024-01-09 21:15:00,0.0,0.044,0.0
2024-01-09 21:30:00,0.0,0.044,0.0
2024-01-09 21:45:00,0.0,0.044,0.0
2024-01-09 22:00:00,0.0,0.044,0.0
2024-01-09 22:15:00,0.0,0.08066666666666666,0.0
2024-01-09 22:30:00,0.0,0.12466666666666666,0.0
2024-01-09 22:45:00,0.0,0.044,0.0
2024-01-09 23:00:00,0.0,0.044,0.0
2024-01-09 23:15:00,0.0,0.044,0.0
2024-01-09 23:30:00,0.0,0.044,0.0
2024-01-09 23:45:00,0.0,0.07333333333333332,0.0
2024-01-10 00:00:00,0.0,0.132,0.0
2024-01-10 00:15:00,0.0,0.044,0.0
2024-01-10 00:30:00,0.0,0.044,0.0
2024-01-10 00:45:00,0.0,0.044,0.0
2024-01-10 01:00:00,0.0,0.044,0.0
2024-01-10 01:15:00,0.0,0.066,0.0
2024-01-10 01:30:00,0.0,0.13933333333333334,0.0
2024-01-10 01:45:00,0.0,0.044,0.0
2024-01-10 02:00:00,0.0,0.044,0.0
2024-01-10 02:15:00,0.0,0.044,0.0
2024-01-10 02:30:00,0.0,0.044,0.0
2024-01-10 02:45:00,0.0,0.058666666666666666,0.0
2024-01-10 03:00:00,0.0,0.14666666666666667,0.0
2024-01-10 03:15:00,0.0,0.044,0.0
2024-01-10 03:30:00,0.0,0.044,0.0
2024-01-10 03:45:00,0.0,0.044,0.0
2024-01-10 04:00:00,0.0,0.044,0.0
2024-01-10 04:15:00,0.0,0.051333333333333335,2.4
2024-01-10 04:30:00,0.0,0.154,0.0
2024-01-10 04:45:00,0.0,0.044,0.0
2024-01-10 05:00:00,0.0,0.044,0.8
2024-01-10 05:15:00,0.0,0.044,4.0
2024-01-10 05:30:00,0.0,0.044,0.0
2024-01-10 05:45:00,0.0,0.044,0.0
2024-01-10 06:00:00,0.0,0.154,0.0
2024-01-10 06:15:00,0.0,0.051333333333333335,0.0
2024-01-10 06:30:00,0.0,0.044,0.0
2024-01-10 06:45:00,0.0,0.044,0.0
2024-01-10 07:00:00,0.0,0.044,0.0
2024-01-10 07:15:00,0.0,0.044,0.0
2024-01-10 07:30:00,0.0,0.1501333333333333,0.0
2024-01-10 07:45:00,0.0,0.07166666666666667,0.0
2024-01-10 08:00:00,0.0,0.057,0.0
2024-01-10 08:15:00,0.0,0.04833333333333333,0.0
2024-01-10 08:30:00,0.0,0.044,0.0
2024-01-10 08:45:00,0.0,0.044,0.0
2024-01-10 09:00:00,0.0,0.13933333333333334,1.6
2024-01-10 09:15:00,0.0,0.066,1.3333333333333333
2024-01-10 09:30:00,0.0,0.044,0.0
2024-01-10 09:45:00,0.0,0.044,0.0
2024-01-10 10:00:00,0.0,0.044,0.0
2024-01-10 10:15:00,0.0,0.044,0.0
2024-01-10 10:30:00,0.0,0.132,0.0
2024-01-10 10:45:00,0.0,0.07333333333333332,0.0
2024-01-10 11:00:00,0.0,0.044,0.0
2024-01-10 11:15:00,0.0,0.044,0.0
2024-01-10 11:30:00,0.0,0.044,0.0
2024-01-10 11:45:00,0.0,0.044,0.0
2024-01-10 12:00:00,0.0,0.12466666666666666,0.0
2024-01-10 12:15:00,0.0,0.08066666666666666,0.0
2024-01-10 12:30:00,0.0,0.044,0.0
2024-01-10 12:45:00,0.0,0.044,2.933333333333333
2024-01-10 13:00:00,0.0,0.044,0.0
2024-01-10 13:15:00,0.0,0.044,0.0
2024-01-10 13:30:00,0.0,0.11733333333333333,0.0
2024-01-10 13:45:00,0.0,0.08800000000000001,0.0
2024-01-10 14:00:00,0.0,0.044,0.0
2024-01-10 14:15:00,0.0,0.044,0.0
2024-01-10 14:30:00,0.0,0.044,0.0
2024-01-10 14:45:00,0.0,0.044,0.0
2024-01-10 15:00:00,0.0,0.11,0.0
2024-01-10 15:15:00,0.0,0.09533333333333333,0.0
2024-01-10 15:30:00,0.0,0.044,0.0
2024-01-10 15:45:00,0.0,0.044,0.0
2024-01-10 16:00:00,0.0,0.044,0.0
2024-01-10 16:15:00,0.0,0.044,0.0
2024-01-10 16:30:00,0.0,0.10266666666666667,2.4
2024-01-10 16:45:00,0.0,0.10266666666666667,0.5333333333333333
2024-01-10 17:00:00,0.0,0.044,0.0
2024-01-10 17:15:00,0.0,0.044,0.0
2024-01-10 17:30:00,0.0,0.044,0.0
2024-01-10 17:45:00,0.0,0.044,0.0
2024-01-10 18:00:00,0.0,0.09533333333333333,0.0
2024-01-10 18:15:00,0.9003333333333333,0.11,0.0
2024-01-10 18:30:00,2.1000666666666667,0.045576498983023135,0.0
2024-01-10 18:45:00,1.0505333333333333,0.0558237423726735,0.0
2024-01-10 19:00:00,0.6007333333333332,0.0558237423726735,0.0
2024-01-10 19:15:00,0.0002666666666666667,0.0558237423726735,0.0
2024-01-10 19:30:00,0.0,0.09982374237267351,0.0
2024-01-10 19:45:00,0.0,0.12363932926542587,0.0
2024-01-10 20:00:00,0.0,0.044,1.6
2024-01-10 20:15:00,0.0,0.044,1.3333333333333333
2024-01-10 20:30:00,0.0,0.044,0.0
2024-01-10 20:45:00,0.0,0.044,0.0
2024-01-10 21:00:00,0.0,0.08066666666666666,0.0
2024-01-10 21:15:00,0.0,0.12466666666666666,0.0
2024-01-10 21:30:00,0.0,0.17726666666666668,0.0
2024-01-10 21:45:00,0.0,0.4177647484745347,0.0
2024-01-10 22:00:00,0.0,0.17682374237267354,0.0
2024-01-10 22:15:00,0.0,0.17682374237267354,0.0
2024-01-10 22:30:00,0.0,0.20615707570600683,0.0
2024-01-10 22:45:00,0.0,0.2648237423726735,0.0
2024-01-10 23:00:00,0.0,0.11562757875693744,0.0
2024-01-10 23:15:00,0.0,0.044,0.0
2024-01-10 23:30:00,0.0,0.044,0.0
2024-01-10 23:45:00,0.0,0.044,0.0
2024-01-11 00:00:00,0.0,0.066,0.0
2024-01-11 00:15:00,0.0,0.13933333333333334,0.0
2024-01-11 00:30:00,0.0,0.044,0.0
2024-01-11 00:45:00,0.0,0.044,0.0
2024-01-11 01:00:00,0.0,0.044,0.0
2024-01-11 01:15:00,0.0,0.044,0.0
2024-01-11 01:30:00,0.0,0.058666666666666666,0.0
2024-01-11 01:45:00,0.0,0.14666666666666667,0.0
2024-01-11 02:00:00,0.0,0.044,0.0
2024-01-11 02:15:00,0.0,0.044,0.0
2024-01-11 02:30:00,0.0,0.044,0.0
2024-01-11 02:45:00,0.0,0.044,0.0
2024-01-11 03:00:00,0.0,0.051333333333333335,0.0
2024-01-11 03:15:00,0.0,0.4205333333333333,0.0
2024-01-11 03:30:00,0.0,0.17726666666666668,0.0
2024-01-11 03:45:00,0.0,0.044,0.0
2024-01-11 04:00:00,0.0,0.044,0.0
2024-01-11 04:15:00,0.0,0.044,0.8
2024-01-11 04:30:00,0.0,0.044,1.3333333333333333
2024-01-11 04:45:00,0.0,0.154,0.0
2024-01-11 05:00:00,0.0,0.051333333333333335,0.0
2024-01-11 05:15:00,0.0,0.044,1.8666666666666667
2024-01-11 05:30:00,0.0,0.044,3.2
2024-01-11 05:45:00,0.0,0.044,0.0
2024-01-11 06:00:00,0.0,0.044,0.0
2024-01-11 06:15:00,0.0,0.14666666666666667,0.0
2024-01-11 06:30:00,0.0,0.058666666666666666,0.0
2024-01-11 06:45:00,0.0,0.044,0.0
2024-01-11 07:00:00,0.0,0.044,0.0
2024-01-11 07:15:00,0.0,0.044,0.0
2024-01-11 07:30:00,0.0,0.044,0.0
2024-01-11 07:45:00,0.0,0.13933333333333334,0.0
2024-01-11 08:00:00,0.0,0.066,0.0
2024-01-11 08:15:00,0.0,0.044,0.0
2024-01-11 08:30:00,0.0,0.044,0.0
2024-01-11 08:45:00,0.0,0.044,2.1333333333333333
2024-01-11 09:00:00,0.0,0.044,0.8
2024-01-11 09:15:00,0.0,0.132,0.0
2024-01-11 09:30:00,0.0,0.07333333333333332,0.0
2024-01-11 09:45:00,0.0,0.046599999999999996,0.0
2024-01-11 10:00:00,0.0,0.057,0.0
2024-01-11 10:15:00,0.0,0.148,0.0
2024-01-11 10:30:00,0.0,0.148,0.0
2024-01-11 10:45:00,0.0,0.2226,0.0
2024-01-11 11:00:00,0.0,0.43820000000000003,0.0
2024-01-11 11:15:00,0.0,0.19385073245097142,0.0
2024-01-11 11:30:00,0.0,0.608618864019581,0.0
2024-01-11 11:45:00,0.0,0.07555219735291431,0.0
2024-01-11 12:00:00,0.0,0.07555219735291431,0.0
2024-01-11 12:15:00,0.0,0.14888553068624766,0.0
2024-01-11 12:30:00,0.0,0.11955219735291431,0.0
2024-01-11 12:45:00,0.0,0.07634044684442588,0.0
2024-01-11 13:00:00,0.0,0.08997593972558779,0.0
2024-01-11 13:15:00,0.0,0.2213759397255878,1.8666666666666667
2024-01-11 13:30:00,0.0,0.2213759397255878,1.0666666666666667
2024-01-11 13:45:00,0.0,0.2789620204314773,0.0
2024-01-11 14:00:00,0.0,0.22902374237267348,0.0
2024-01-11 14:15:00,0.0,0.6907882494915116,0.0
2024-01-11 14:30:00,0.0,0.044,0.0
2024-01-11 14:45:00,0.0,0.044,0.0
2024-01-11 15:00:00,0.0,0.044,0.0
2024-01-11 15:15:00,0.0,0.10266666666666667,0.0
2024-01-11 15:30:00,0.0,0.10266666666666667,0.0
2024-01-11 15:45:00,0.0,0.044,0.0
2024-01-11 16:00:00,0.0,0.044,0.0
2024-01-11 16:15:00,0.0,0.044,0.0
2024-01-11 16:30:00,0.0,0.044,0.0
2024-01-11 16:45:00,0.0,0.09533333333333333,0.0
2024-01-11 17:00:00,0.0,0.11,0.0
2024-01-11 17:15:00,0.0,0.11023999999999999,2.6666666666666665
2024-01-11 17:30:00,0.0,0.11340175788233145,0.26666666666666666
2024-01-11 17:45:00,0.0,0.07555219735291431,0.0
