,TumbleDryer,DishWasher,BaseLoad,P_WB
2024-01-05 03:45:00,0.001,0.0,0.052,0.0
2024-01-05 04:00:00,0.001,0.0,0.052,0.0
2024-01-05 04:15:00,0.001,0.0,0.14733333333333334,0.0
2024-01-05 04:30:00,0.001,0.0,0.11066666666666666,1.5
2024-01-05 04:45:00,0.001,0.0,0.321,1.5
2024-01-05 05:00:00,0.001,0.0,0.6920666666666667,1.5
2024-01-05 05:15:00,0.001,0.0,0.052,0.9
2024-01-05 05:30:00,0.001,0.0,0.052,0.0
2024-01-05 05:45:00,0.001,0.0,0.14,0.0
2024-01-05 06:00:00,0.001,0.0,0.149,0.0
2024-01-05 06:15:00,0.001,0.0,0.33366666666666667,0.0
2024-01-05 06:30:00,0.001,0.0,0.11533333333333333,1.3
2024-01-05 06:45:00,0.001,0.0,0.1488,1.5
2024-01-05 07:00:00,0.001,0.0,0.173,1.5
2024-01-05 07:15:00,0.001,0.0,0.25366666666666665,1.1
2024-01-05 07:30:00,0.001,0.0,0.7081333333333333,1.5
2024-01-05 07:45:00,0.001,0.0,0.396,1.5
2024-01-05 08:00:00,0.001,0.0,0.10873333333333333,1.5
2024-01-05 08:15:00,0.001,0.0,0.099,1.5
2024-01-05 08:30:00,0.001,0.0,0.099,1.5
2024-01-05 08:45:00,0.8689622377404913,0.0,0.6875333333333332,1.5
2024-01-05 09:00:00,1.9127276990289628,0.0,0.7551333333333333,1.5
2024-01-05 09:15:00,1.6222602496734138,0.0,0.42773333333333335,1.5
2024-01-05 09:30:00,1.8806181382605769,0.0,0.258,1.5
2024-01-05 09:45:00,1.8468793226196831,0.0,0.2132,1.5
2024-01-05 10:00:00,0.8416371624534832,0.0,0.186,1.5
2024-01-05 10:15:00,1.0214158806563427,0.0,0.16326666666666664,1.5
2024-01-05 10:30:00,0.7954833418455446,0.0,0.277,1.5
2024-01-05 10:45:00,0.09228491025907028,0.0,0.28300000000000003,1.5
2024-01-05 11:00:00,0.001,0.0,0.08942723143399457,1.5
