,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-03 22:00:00,0.001,0.4478759397255878,0.0,0.0
2024-01-03 22:15:00,0.001,0.47128769023407624,0.0,0.0
2024-01-03 22:30:00,0.001,0.46025219735291434,0.0,0.0
2024-01-03 22:45:00,0.001,0.4982521973529143,0.0,1.2
2024-01-03 23:00:00,0.001,0.5644876902340762,0.0,0.8
2024-01-03 23:15:00,0.001,0.38267593972558783,0.0,0.0
2024-01-03 23:30:00,0.001,0.3520759397255878,0.0,0.0
2024-01-03 23:45:00,0.001,0.3394550607844221,0.0,0.0
2024-01-04 00:00:00,0.001,0.3142177464405809,0.0,0.0
2024-01-04 00:15:00,0.001,0.3213666666666667,0.0,0.0
2024-01-04 00:30:00,0.001,0.3767,0.0,0.0
2024-01-04 00:45:00,0.001,0.27536666666666665,0.0,0.0
2024-01-04 01:00:00,0.001,0.18669999999999998,0.0,0.0
2024-01-04 01:15:00,0.001,0.18669999999999998,0.0,0.0
2024-01-04 01:30:00,0.001,0.18669999999999998,0.0,0.0
2024-01-04 01:45:00,0.001,0.18669999999999998,0.0,0.0
2024-01-04 02:00:00,0.001,0.3640333333333333,0.0,0.0
2024-01-04 02:15:00,0.001,0.30069999999999997,0.0,0.0
2024-01-04 02:30:00,0.001,0.18669999999999998,0.0,0.0
2024-01-04 02:45:00,0.001,0.14146666666666666,0.0,0.0
2024-01-04 03:00:00,0.001,0.051,0.0,0.0
2024-01-04 03:15:00,0.001,0.051,0.0,0.0
2024-01-04 03:30:00,0.001,0.20299999999999999,0.0,0.0
2024-01-04 03:45:00,0.001,0.19033333333333333,0.0,0.0
2024-01-04 04:00:00,0.001,0.051,0.0,1.6
2024-01-04 04:15:00,0.001,0.051,0.0,0.4
2024-01-04 04:30:00,0.001,0.051,0.0,0.0
2024-01-04 04:45:00,0.001,0.051,0.0,0.0
2024-01-04 05:00:00,0.001,0.17766666666666667,0.0,0.0
2024-01-04 05:15:00,0.001,0.21566666666666665,0.0,0.0
2024-01-04 05:30:00,0.001,0.051,0.0,3.0
2024-01-04 05:45:00,0.001,0.051,0.0,0.2
2024-01-04 06:00:00,0.001,0.051,0.0,2.2
2024-01-04 06:15:00,0.001,0.051,0.0,2.0
2024-01-04 06:30:00,0.001,0.1549333333333333,0.0,0.0
2024-01-04 06:45:00,0.001,0.254,0.0,0.6
2024-01-04 07:00:00,0.001,0.064,0.0,3.0
2024-01-04 07:15:00,0.001,0.064,0.0,0.6
2024-01-04 07:30:00,0.001,0.10433333333333333,0.0,0.0
2024-01-04 07:45:00,0.001,0.1955173991176381,0.0,1.6
2024-01-04 08:00:00,0.001,0.2899521973529143,0.0,3.0
2024-01-04 08:15:00,0.001,0.815398864019581,0.0,0.0
2024-01-04 08:30:00,0.001,0.41791886401958095,0.0,0.0
2024-01-04 08:45:00,0.001,0.454518864019581,0.0,0.0
2024-01-04 09:00:00,0.042154049271240696,0.32321260825620496,0.0,0.0
2024-01-04 09:15:00,0.3286032769611479,0.3195237423726735,0.0,0.0
2024-01-04 09:30:00,0.7776798389088754,0.3753904090393402,0.0,0.4
2024-01-04 09:45:00,0.16114019821312534,0.5225237423726735,0.0,1.6
2024-01-04 10:00:00,0.1581828177695388,0.7103904090393401,0.0,0.0
2024-01-04 10:15:00,1.000722737988656,0.2115237423726735,0.0,0.0
2024-01-04 10:30:00,0.7836777193005633,0.19780983231635646,0.0,0.0
2024-01-04 10:45:00,0.12242849310647148,0.1997,0.0,0.0
2024-01-04 11:00:00,0.2539360595937185,0.2250333333333333,0.0,1.0
2024-01-04 11:15:00,0.4065343372947375,0.3897,0.0,1.2
2024-01-04 11:30:00,0.001,0.2705,0.0,0.0
2024-01-04 11:45:00,0.001,1.8842999999999999,0.0,0.0
2024-01-04 12:00:00,0.001,2.3087,0.0,0.0
2024-01-04 12:15:00,0.001,0.7525666666666666,0.0,0.2
2024-01-04 12:30:00,0.001,0.18669999999999998,0.0,2.2
2024-01-04 12:45:00,0.001,0.9097666666666665,0.0,0.0
2024-01-04 13:00:00,0.001,0.30016666666666664,0.0,0.0
2024-01-04 13:15:00,0.001,0.1997,0.0,0.0
2024-01-04 13:30:00,0.001,0.14542,0.0,0.0
2024-01-04 13:45:00,0.001,0.1997,0.0,2.6
2024-01-04 14:00:00,0.001,0.19276666666666664,0.0,0.6
2024-01-04 14:15:00,0.001,0.3513666666666666,0.0,3.0
2024-01-04 14:30:00,0.001,0.31494316564968977,0.0,2.0
2024-01-04 14:45:00,0.001,0.1985237423726735,0.0,1.4
2024-01-04 15:00:00,0.001,0.1985237423726735,0.0,3.0
