,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-02 10:30:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-02 10:45:00,0.001,0.0,0.001,0.12466666666666666,0.6666666666666666,0.0
2024-01-02 11:00:00,0.001,0.0,0.001,0.11,2.3333333333333335,0.0
2024-01-02 11:15:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-02 11:30:00,0.001,0.0,0.001,0.196,0.0,0.0
2024-01-02 11:45:00,0.001,0.0,0.001,0.18333333333333332,0.0,0.0
2024-01-02 12:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-02 12:15:00,0.001,0.0,0.001,0.11733333333333333,0.0,0.0
2024-01-02 12:30:00,0.001,0.0,0.001,0.11733333333333333,0.0,0.0
2024-01-02 12:45:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-02 13:00:00,0.001,0.0,0.001,0.2086666666666667,0.0,0.0
2024-01-02 13:15:00,0.001,0.0,0.001,0.17066666666666666,0.0,0.0
2024-01-02 13:30:00,0.001,0.0,0.001,0.44380000000000003,0.0,2.3333333333333335
2024-01-02 13:45:00,0.001,0.0,0.001,0.11,0.0,0.0
2024-01-02 14:00:00,0.001,0.0,0.001,0.12466666666666666,0.0,0.0
2024-01-02 14:15:00,0.001,0.0,0.001,0.044,1.0,0.0
2024-01-02 14:30:00,0.001,0.0,0.001,0.22133333333333335,2.0,0.0
2024-01-02 14:45:00,0.001,0.0,0.001,0.158,0.0,0.0
2024-01-02 15:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-02 15:15:00,0.001,0.0,0.001,0.13211538419605334,0.0,0.0
2024-01-02 15:30:00,0.001,0.0,0.001,0.1635521973529143,0.0,0.3333333333333333
2024-01-02 15:45:00,0.001,0.0,0.001,0.07555219735291431,0.0,4.666666666666667
2024-01-02 16:00:00,0.001,0.0,0.001,0.2655521973529143,0.0,0.0
2024-01-02 16:15:00,0.001,0.0,0.001,0.17688553068624766,0.0,0.0
2024-01-02 16:30:00,0.001,0.0,0.001,0.048206959647055236,0.0,0.0
2024-01-02 16:45:00,0.001,0.0,0.001,0.09533333333333333,0.0,0.0
2024-01-02 17:00:00,0.001,0.0,0.001,0.13933333333333334,0.0,4.333333333333333
