,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-04 20:15:00,0.001,0.0,0.001,0.5178855306862477,0.0
2024-01-04 20:30:00,0.001,0.0,0.001,0.2930785710391924,0.0
2024-01-04 20:45:00,0.001,0.0,0.001,0.29,0.0
2024-01-04 21:00:00,0.9887669884116619,0.0,0.001,0.33313333333333334,0.0
2024-01-04 21:15:00,1.9270935187488678,0.0,0.001,0.3796666666666667,0.0
2024-01-04 21:30:00,1.7897319924923003,0.0,0.001,0.38406666666666667,0.0
2024-01-04 21:45:00,0.5252236169965309,0.0,0.001,0.4082666666666667,0.0
2024-01-04 22:00:00,0.007731632694274237,0.0,0.001,0.5989313184117486,0.0
2024-01-04 22:15:00,0.001,0.0,0.001,0.1875521973529143,0.0
2024-01-04 22:30:00,0.001,0.0,0.001,0.23888553068624763,0.0
2024-01-04 22:45:00,0.001,0.0,0.001,0.3231521973529143,0.0
2024-01-04 23:00:00,0.001,0.0,0.001,0.3775521973529143,0.0
2024-01-04 23:15:00,0.001,0.0,0.001,0.23595219735291428,0.0
2024-01-04 23:30:00,0.001,0.0,0.001,0.277,0.0
2024-01-04 23:45:00,0.001,0.0,0.001,0.277,0.0
2024-01-05 00:00:00,0.001,0.0,0.001,0.3172,0.0
2024-01-05 00:15:00,0.001,0.0,0.001,0.44304666666666664,0.0
2024-01-05 00:30:00,0.001,0.0,0.001,0.2859,0.0
2024-01-05 00:45:00,0.001,0.0,0.001,0.7037666666666667,0.0
2024-01-05 01:00:00,0.001,0.0,0.001,0.1707,0.0
2024-01-05 01:15:00,0.001,0.0,0.001,0.1707,0.0
2024-01-05 01:30:00,0.001,0.0,0.001,0.4140333333333333,0.0
2024-01-05 01:45:00,0.001,0.0,0.001,0.35269999999999996,0.0
2024-01-05 02:00:00,0.001,0.0,0.001,0.1707,0.0
2024-01-05 02:15:00,0.001,0.0,0.001,0.1707,0.0
2024-01-05 02:30:00,0.001,0.0,0.001,0.1707,0.0
2024-01-05 02:45:00,0.001,0.0,0.001,0.29736666666666667,0.0
2024-01-05 03:00:00,0.001,0.0,0.001,0.39603333333333335,0.0
2024-01-05 03:15:00,0.001,0.0,0.001,0.24403333333333332,0.0
2024-01-05 03:30:00,0.001,0.0,0.001,0.1707,0.0
2024-01-05 03:45:00,0.001,0.0,0.001,0.1707,0.0
2024-01-05 04:00:00,0.001,0.0,0.001,0.2467,0.0
2024-01-05 04:15:00,0.001,0.0,0.001,0.36069999999999997,3.7333333333333334
2024-01-05 04:30:00,0.001,0.0,0.001,0.26403333333333334,0.0
2024-01-05 04:45:00,0.001,0.0,0.001,0.2367,0.0
2024-01-05 05:00:00,0.001,0.0,0.001,0.5704999999999999,0.0
