,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-06 04:45:00,0.0,0.001,0.049,3.0,0.2
2024-01-06 05:00:00,0.0,0.001,0.05633333333333333,0.2,3.0
2024-01-06 05:15:00,0.0,0.001,0.14433333333333334,0.0,1.6
2024-01-06 05:30:00,0.0,0.001,0.049,0.0,2.4
2024-01-06 05:45:00,0.0,0.001,0.0974,0.0,1.2
2024-01-06 06:00:00,0.0,0.001,0.17,0.6,0.0
2024-01-06 06:15:00,0.0,0.001,0.17,2.4,2.4
2024-01-06 06:30:00,0.0,0.001,0.17,2.6,1.8
2024-01-06 06:45:00,0.0,0.001,0.21400000000000002,0.0,2.0
2024-01-06 07:00:00,0.0,0.001,0.17220000000000002,0.0,1.4
2024-01-06 07:15:00,0.0,0.001,0.049,0.0,1.6
2024-01-06 07:30:00,0.0,0.001,1.1807333333333332,0.6,3.0
2024-01-06 07:45:00,0.0,0.001,2.171,2.0,3.0
2024-01-06 08:00:00,0.0,0.001,1.0505333333333333,0.0,3.0
2024-01-06 08:15:00,0.0,0.001,0.06199999999999999,0.0,3.0
2024-01-06 08:30:00,0.0,0.001,0.14266666666666664,0.0,3.0
2024-01-06 08:45:00,0.0,0.001,0.2212764989830231,0.6,0.8
2024-01-06 09:00:00,0.0,0.001,0.6093237423726735,2.0,0.0
2024-01-06 09:15:00,0.0,0.001,0.24985707570600682,0.0,0.0
2024-01-06 09:30:00,0.0,0.001,0.3183904090393402,0.0,0.0
2024-01-06 09:45:00,0.0,0.001,1.1503904090393402,0.0,0.0
2024-01-06 10:00:00,0.0,0.001,1.5858570757060066,0.0,0.0
2024-01-06 10:15:00,0.0,0.001,1.5074570757060068,2.6,0.0
2024-01-06 10:30:00,0.0,0.001,1.5305237423726734,0.0,0.0
2024-01-06 10:45:00,0.0,0.001,2.330257075706007,0.0,2.4
2024-01-06 11:00:00,0.0,0.001,4.1695904090393405,0.0,0.0
2024-01-06 11:15:00,0.0,0.001,3.1144609120902707,0.0,0.0
2024-01-06 11:30:00,0.0,0.001,0.4196408789411657,1.8,0.0
2024-01-06 11:45:00,0.0,0.001,0.8820718619856273,0.8,0.0
2024-01-06 12:00:00,0.0,0.05564715796137402,0.2997426063922545,0.0,0.0
2024-01-06 12:15:00,0.0,0.22013987331463125,0.2410759397255878,0.0,0.0
2024-01-06 12:30:00,0.0,0.07928723926804691,0.2389724599020602,0.0,0.0
2024-01-06 12:45:00,0.0,0.20731554370726968,0.5643770757060068,0.0,1.0
2024-01-06 13:00:00,0.0,0.8902552693618025,0.48026403535306206,2.2,3.0
2024-01-06 13:15:00,0.0,0.42325419234686357,0.7880953630026041,0.4,1.4
2024-01-06 13:30:00,0.0,0.1434758900354722,0.5531426063922545,0.0,0.0
2024-01-06 13:45:00,0.0,0.24618820814434933,0.38407593972558784,0.0,0.0
2024-01-06 14:00:00,0.0,0.67508669111518,0.3620759397255878,0.0,2.0
2024-01-06 14:15:00,0.0,0.10709226375653774,0.33262722219620117,0.4,3.0
2024-01-06 14:30:00,0.0,0.21072525923273164,0.7437329979660462,2.0,2.2
2024-01-06 14:45:00,0.0,0.9959464484620395,0.5342199999999999,0.0,0.0
2024-01-06 15:00:00,0.0,1.1512204811753755,0.3139,0.0,0.0
2024-01-06 15:15:00,0.0,0.10865417132115539,0.40596666666666664,0.0,0.0
2024-01-06 15:30:00,0.0,0.001,0.19769999999999996,0.0,2.2
2024-01-06 15:45:00,0.0,0.001,0.2945,1.6,1.2
2024-01-06 16:00:00,0.0,0.001,1.1183,0.8,0.0
2024-01-06 16:15:00,0.0,0.001,0.3074333333333333,0.0,0.0
2024-01-06 16:30:00,0.0,0.001,0.31594724338965036,0.0,0.0
2024-01-06 16:45:00,0.0,0.001,0.29629883358833825,0.0,0.0
2024-01-06 17:00:00,0.0,0.001,0.27204260639225447,0.0,0.0
2024-01-06 17:15:00,0.0,0.001,0.14884260639225447,2.4,0.0
2024-01-06 17:30:00,0.0,0.001,0.0923759397255878,0.0,1.2
2024-01-06 17:45:00,0.0,0.001,0.082916945827449,0.0,1.6
2024-01-06 18:00:00,0.0,0.001,0.09095219735291431,0.0,0.0
2024-01-06 18:15:00,0.0,0.001,0.0935521973529143,0.0,0.2
2024-01-06 18:30:00,0.0,0.001,0.17001190437252572,1.0,3.0
2024-01-06 18:45:00,0.0,0.001,0.084,1.4,1.4
2024-01-06 19:00:00,0.0,0.001,0.06026666666666667,0.0,0.0
2024-01-06 19:15:00,0.0,0.001,0.0608237423726735,0.0,2.8
2024-01-06 19:30:00,0.0,0.001,0.0608237423726735,0.0,0.0
2024-01-06 19:45:00,0.0,0.001,0.0608237423726735,0.0,0.0
2024-01-06 20:00:00,0.0,0.001,0.06815707570600683,2.4,2.8
2024-01-06 20:15:00,0.0,0.001,0.15615707570600681,0.0,0.6
2024-01-06 20:30:00,0.0,0.001,0.17445158096089447,0.0,3.0
2024-01-06 20:45:00,0.0,0.001,0.21337593972558783,0.0,3.0
2024-01-06 21:00:00,0.0,0.001,0.21022294175954154,0.0,3.0
2024-01-06 21:15:00,0.0,0.001,0.6013521973529143,0.0,3.0
2024-01-06 21:30:00,0.0,0.001,0.2015521973529143,0.0,3.0
2024-01-06 21:45:00,0.0,0.001,0.21610347982352762,0.0,3.0
2024-01-06 22:00:00,0.0,0.001,0.395918864019581,2.4,2.8
