,WasherDryer,WashingMachine,BaseLoad
2024-01-03 20:45:00,0.001,0.001,0.5258570757060068
2024-01-03 21:00:00,0.001,0.001,0.6536163386732226
2024-01-03 21:15:00,0.001,0.001,0.4140521973529143
2024-01-03 21:30:00,0.001,0.001,0.9897699437934954
2024-01-03 21:45:00,0.001,0.001,0.4226759397255878
2024-01-03 22:00:00,0.001,0.001,0.4307426063922545
2024-01-03 22:15:00,0.001,0.001,0.555891873941283
2024-01-03 22:30:00,0.001,0.001,0.5224092730589212
2024-01-03 22:45:00,0.001,0.001,0.3622680256013633
2024-01-03 23:00:00,0.001,0.001,0.23714260639225446
2024-01-03 23:15:00,0.001,0.001,0.21435158096089443
2024-01-03 23:30:00,0.001,0.001,0.20485707570600684
2024-01-03 23:45:00,0.001,0.001,0.44803216692167164
2024-01-04 00:00:00,0.001,0.001,0.39240927305892115
2024-01-04 00:15:00,0.001,0.001,0.36307593972558777
2024-01-04 00:30:00,0.001,0.001,0.36307593972558777
2024-01-04 00:45:00,0.001,0.001,0.2502355021189554
2024-01-04 01:00:00,0.001,0.001,0.2150333333333333
2024-01-04 01:15:00,0.001,0.001,0.29569999999999996
2024-01-04 01:30:00,0.001,0.001,0.1930333333333333
2024-01-04 01:45:00,0.001,0.001,0.1857
2024-01-04 02:00:00,0.001,0.001,0.3189666666666666
2024-01-04 02:15:00,0.001,0.001,0.5854999999999999
2024-01-04 02:30:00,0.001,0.001,0.6368333333333333
2024-01-04 02:45:00,0.001,0.001,0.2810333333333333
2024-01-04 03:00:00,0.001,0.001,0.1857
2024-01-04 03:15:00,0.001,0.001,0.05
2024-01-04 03:30:00,0.001,0.001,0.05
2024-01-04 03:45:00,0.001,0.001,0.05
2024-01-04 04:00:00,0.001,0.001,0.12333333333333334
2024-01-04 04:15:00,0.001,0.001,0.12333333333333334
2024-01-04 04:30:00,0.001,0.001,0.05
2024-01-04 04:45:00,0.001,0.001,0.05
2024-01-04 05:00:00,0.001,0.001,0.05
2024-01-04 05:15:00,0.001,0.001,0.05
2024-01-04 05:30:00,0.001,0.001,0.14533333333333334
2024-01-04 05:45:00,0.001,0.001,0.10133333333333333
2024-01-04 06:00:00,0.001,0.001,0.05
2024-01-04 06:15:00,0.001,0.001,0.05
2024-01-04 06:30:00,0.001,0.001,0.05
2024-01-04 06:45:00,0.001,0.001,0.05733333333333334
2024-01-04 07:00:00,0.001,0.001,0.1678
2024-01-04 07:15:00,0.001,0.001,0.49213333333333326
2024-01-04 07:30:00,0.001,0.001,0.063
2024-01-04 07:45:00,0.001,0.001,0.09246666666666667
2024-01-04 08:00:00,0.001,0.001,0.141
2024-01-04 08:15:00,0.001,0.001,0.1764
2024-01-04 08:30:00,0.001,0.001,0.264
2024-01-04 08:45:00,0.001,0.001,0.16133333333333333
2024-01-04 09:00:00,0.001,0.001,0.06906666666666667
2024-01-04 09:15:00,0.001,0.001,0.063
2024-01-04 09:30:00,0.001,0.001,0.063
2024-01-04 09:45:00,0.001,0.001,0.13853333333333331
2024-01-04 10:00:00,0.26467826201922107,0.001,0.2793333333333333
2024-01-04 10:15:00,0.7920347860576631,0.001,0.184
2024-01-04 10:30:00,0.7920347860576631,0.001,0.2909333333333333
2024-01-04 10:45:00,0.7920347860576631,0.001,1.6376666666666666
2024-01-04 11:00:00,0.7920347860576631,0.001,0.976517746440581
2024-01-04 11:15:00,0.7920347860576631,0.001,0.7004904090393401
2024-01-04 11:30:00,0.7920347860576631,0.001,0.24555707570600685
2024-01-04 11:45:00,0.7920347860576631,0.001,0.20661040903934016
2024-01-04 12:00:00,0.7920347860576631,0.001,0.2932237423726735
2024-01-04 12:15:00,0.7920347860576631,0.001,0.18912566056480545
2024-01-04 12:30:00,0.7920347860576631,0.001,0.184
2024-01-04 12:45:00,0.7920347860576631,0.001,0.3195562750928749
2024-01-04 13:00:00,0.31741391442306527,0.001,0.6750426063922546
2024-01-04 13:15:00,0.001,0.001,0.2143759397255878
2024-01-04 13:30:00,0.001,0.001,0.2939092730589211
2024-01-04 13:45:00,0.001,0.001,0.43669593972558773
2024-01-04 14:00:00,0.001,0.001,0.3409849142942278
2024-01-04 14:15:00,0.001,0.001,0.46301040903934015
2024-01-04 14:30:00,0.001,0.001,0.43030407773996054
2024-01-04 14:45:00,0.001,0.001,0.5897040777399606
2024-01-04 15:00:00,0.001,0.001,0.6166092730589212
2024-01-04 15:15:00,0.001,0.001,0.2774759397255878
2024-01-04 15:30:00,0.001,0.001,0.2584092730589211
2024-01-04 15:45:00,0.001,0.10380772589538387,0.33907593972558786
2024-01-04 16:00:00,0.001,0.20671234924320997,0.3042797761098518
2024-01-04 16:15:00,0.001,1.1731496535286334,0.3209368131568609
2024-01-04 16:30:00,0.001,0.1215106793706645,0.3197
2024-01-04 16:45:00,0.001,0.15265282371868386,0.3197
2024-01-04 17:00:00,0.001,0.30594172154070426,0.7665
2024-01-04 17:15:00,0.001,0.5891640288904405,0.38276666666666664
2024-01-04 17:30:00,0.001,0.125838916766587,0.21483333333333332
