,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP,P_use_WB,P_loss_WB,T_set_WB,T_ref_WB,Water_use
2024-01-02 04:52:00,2.0,15.0,19.868324068842945,17.279606973106503,10.0,0.8205847187454024,0.0,0.07745224391071255,60.0,60.72612195535628,0.0
2024-01-02 04:53:00,2.0,15.0,19.86464258964514,17.2798626854917,10.0,0.8205847187454024,0.0,0.07744114229906746,60.0,60.720571149533725,0.0
2024-01-02 04:54:00,2.0,15.0,19.860965986962295,17.28011346899556,10.0,0.8205847187454024,0.0,0.07743004227867102,60.0,60.71502113933551,0.0
2024-01-02 04:55:00,2.0,15.0,19.857294248923495,17.280359337613476,10.0,0.8205847187454024,0.0,0.07741894384929521,60.0,60.7094719246476,0.0
2024-01-02 04:56:00,2.0,15.0,19.85362736368908,17.280600305303533,10.0,0.8205847187454024,0.0,0.07740784701071193,60.0,60.70392350535597,0.0
2024-01-02 04:57:00,2.0,15.0,19.849965319450554,17.280836385986593,10.0,0.8205847187454024,0.0,0.0773967517626932,60.0,60.6983758813466,0.0
2024-01-02 04:58:00,2.0,15.0,19.846308104430516,17.2810675935464,10.0,0.8205847187454024,0.0,0.07738565810501102,60.0,60.69282905250551,0.0
2024-01-02 04:59:00,2.0,15.0,19.842655706882564,17.281293941829677,10.0,0.8205847187454024,0.0,0.07737456603743743,60.0,60.687283018718716,0.0
2024-01-02 05:00:00,2.0,15.0,19.83900811509121,17.281515444646224,10.0,0.8205847187454024,0.0,0.07736347555974454,60.0,60.68173777987227,0.0
2024-01-02 05:01:00,2.0,15.0,19.83536531737182,17.281732115769014,10.0,0.8205847187454024,0.0,0.07735238667170445,60.0,60.676193335852226,0.0
2024-01-02 05:02:00,2.0,15.0,19.83172730207051,17.281943968934296,10.0,0.8205847187454024,0.0,0.0773412993730893,60.0,60.67064968654465,0.0
2024-01-02 05:03:00,2.0,15.0,19.828094057564076,17.282151017841684,10.0,0.8205847187454024,0.0,0.07733021366367128,60.0,60.66510683183564,0.0
2024-01-02 05:04:00,2.0,15.0,19.8244655722599,17.282353276154264,10.0,0.8205847187454024,0.0,0.07731912954322259,60.0,60.659564771611294,0.0
2024-01-02 05:05:00,2.0,15.0,19.82084183459589,17.282550757498687,10.0,0.8205847187454024,0.0,0.07730804701151549,60.0,60.65402350575774,0.0
