,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_WB
2024-01-03 17:15:00,0.001,0.001,0.001,0.18469999999999998,1.8
2024-01-03 17:30:00,0.001,0.001,0.001,0.18469999999999998,1.8
2024-01-03 17:45:00,0.001,0.001,0.001,0.29869999999999997,1.2
2024-01-03 18:00:00,0.001,0.001,0.001,0.36556666666666665,1.6
2024-01-03 18:15:00,0.001,0.001,0.001,0.30569999999999997,0.0
2024-01-03 18:30:00,0.001,0.001,0.001,0.30569999999999997,0.2
2024-01-03 18:45:00,0.001,0.001,0.001,0.30569999999999997,0.0
2024-01-03 19:00:00,0.001,0.001,0.001,0.28376666666666667,0.2
2024-01-03 19:15:00,0.001,0.001,0.001,0.32403333333333334,0.0
2024-01-03 19:30:00,0.001,0.001,0.001,0.18469999999999998,0.0
2024-01-03 19:45:00,0.001,0.001,0.001,0.18469999999999998,0.2
2024-01-03 20:00:00,0.001,0.001,0.001,0.18469999999999998,0.0
2024-01-03 20:15:00,0.001,0.001,0.001,0.18469999999999998,0.0
2024-01-03 20:30:00,0.001,0.001,0.001,0.3620333333333333,0.2
2024-01-03 20:45:00,0.001,0.001,0.001,0.19736666666666663,0.0
2024-01-03 21:00:00,0.001,0.001,0.001,0.18469999999999998,0.2
2024-01-03 21:15:00,0.001,0.001,0.001,0.18469999999999998,0.0
2024-01-03 21:30:00,0.001,0.001,0.001,0.18469999999999998,0.0
2024-01-03 21:45:00,0.001,0.001,0.001,0.24441999999999997,0.2
2024-01-03 22:00:00,0.001,0.001,0.001,0.125,0.0
2024-01-03 22:15:00,0.001,0.001,0.001,0.049,0.0
2024-01-03 22:30:00,0.001,0.001,0.001,0.049,1.0
2024-01-03 22:45:00,0.001,0.001,0.001,0.11353333333333333,0.2
2024-01-03 23:00:00,0.001,0.001,0.001,0.3539333333333333,2.4
2024-01-03 23:15:00,0.001,0.001,0.001,0.7091333333333334,2.0
2024-01-03 23:30:00,0.001,0.001,0.001,0.17,0.8
2024-01-03 23:45:00,0.001,0.001,0.001,0.17,0.2
2024-01-04 00:00:00,0.001,0.001,0.001,0.057066666666666675,0.2
2024-01-04 00:15:00,0.001,0.001,0.001,0.049,0.0
2024-01-04 00:30:00,0.001,0.001,0.001,0.22633333333333333,0.4
2024-01-04 00:45:00,0.001,0.001,0.001,0.3282,0.2
2024-01-04 01:00:00,0.001,0.001,0.001,0.19251391005631704,0.2
2024-01-04 01:15:00,0.001,0.001,0.001,1.126957075706007,0.0
2024-01-04 01:30:00,0.001,0.001,0.001,0.0608237423726735,0.2
2024-01-04 01:45:00,0.001,0.001,0.001,0.1748237423726735,0.0
2024-01-04 02:00:00,0.001,0.001,0.001,0.13682374237267353,0.2
2024-01-04 02:15:00,0.001,0.001,0.001,0.049788249491511574,0.4
2024-01-04 02:30:00,0.001,0.001,0.001,0.049,0.2
2024-01-04 02:45:00,0.001,0.001,0.001,0.5820666666666666,0.2
2024-01-04 03:00:00,0.001,0.001,0.001,0.09966666666666667,0.0
2024-01-04 03:15:00,0.001,0.001,0.001,0.5881333333333333,2.4
2024-01-04 03:30:00,0.001,0.001,0.001,0.049,0.4
2024-01-04 03:45:00,0.001,0.001,0.001,0.049,0.2
2024-01-04 04:00:00,0.001,0.001,0.001,0.049,0.4
2024-01-04 04:15:00,0.001,0.001,0.001,0.049,0.0
2024-01-04 04:30:00,0.001,0.001,0.001,0.22633333333333333,0.2
2024-01-04 04:45:00,0.001,0.001,0.001,0.5947333333333333,0.8
2024-01-04 05:00:00,0.001,0.001,0.001,0.049,0.0
2024-01-04 05:15:00,0.001,0.001,0.001,0.5907333333333333,2.0
2024-01-04 05:30:00,0.001,0.001,0.001,0.4618,0.2
2024-01-04 05:45:00,0.001,0.001,0.001,0.30926666666666663,0.2
2024-01-04 06:00:00,0.001,0.001,0.001,0.5378000000000001,1.0
2024-01-04 06:15:00,0.001,0.001,0.001,0.0516,0.2
2024-01-04 06:30:00,0.001,0.001,0.001,0.049,1.6
2024-01-04 06:45:00,0.001,0.001,0.001,0.049,0.2
2024-01-04 07:00:00,0.001,0.001,0.001,0.09966666666666667,1.2
2024-01-04 07:15:00,0.001,0.001,0.001,0.3216,0.2
2024-01-04 07:30:00,0.001,0.001,0.001,0.3155333333333334,0.4
2024-01-04 07:45:00,0.001,0.001,0.001,0.054200000000000005,1.6
2024-01-04 08:00:00,0.001,0.001,0.001,0.06199999999999999,0.0
2024-01-04 08:15:00,0.001,0.001,0.001,0.5950666666666666,1.8
2024-01-04 08:30:00,0.001,0.001,0.001,0.7723999999999999,0.8
2024-01-04 08:45:00,0.001,0.001,0.001,0.07466666666666667,0.2
2024-01-04 09:00:00,0.001,0.001,0.001,0.05073333333333333,0.4
2024-01-04 09:15:00,0.001,0.001,0.001,0.049,0.2
2024-01-04 09:30:00,0.001,0.001,0.001,0.44880000000000003,0.4
2024-01-04 09:45:00,0.001,0.001,0.001,0.2962666666666667,0.2
2024-01-04 10:00:00,0.001,0.001,0.001,0.13130599593209252,1.8
2024-01-04 10:15:00,0.001,0.001,0.001,0.0608237423726735,1.6
2024-01-04 10:30:00,0.001,0.001,0.001,0.0608237423726735,0.4
2024-01-04 10:45:00,0.001,0.001,0.001,0.46062374237267356,0.0
2024-01-04 11:00:00,0.001,0.001,0.001,0.11149040903934018,1.4
2024-01-04 11:15:00,0.001,0.001,0.001,0.19542757875693745,0.8
2024-01-04 11:30:00,0.001,0.001,0.001,0.049,0.2
2024-01-04 11:45:00,0.001,0.001,0.001,0.049,0.0
2024-01-04 12:00:00,0.001,0.001,0.001,0.049,1.8
2024-01-04 12:15:00,0.001,0.001,0.001,0.049,0.2
2024-01-04 12:30:00,0.001,0.001,0.001,0.22633333333333333,1.6
2024-01-04 12:45:00,0.001,0.001,0.001,0.5947333333333333,0.0
2024-01-04 13:00:00,0.001,0.001,0.001,0.049,0.0
2024-01-04 13:15:00,0.001,0.001,0.001,0.049,1.0
2024-01-04 13:30:00,0.001,0.001,0.001,0.049,0.0
2024-01-04 13:45:00,0.001,0.001,0.001,0.16299999999999998,0.0
2024-01-04 14:00:00,0.001,0.001,0.001,0.6580666666666667,1.2
2024-01-04 14:15:00,0.001,0.001,0.001,0.049,0.2
2024-01-04 14:30:00,0.001,0.001,0.001,0.049,0.2
2024-01-04 14:45:00,0.001,0.001,0.001,0.049,1.6
2024-01-04 15:00:00,0.001,0.001,0.001,0.09966666666666667,0.2
2024-01-04 15:15:00,0.001,0.001,0.001,0.18833333333333332,0.4
2024-01-04 15:30:00,0.001,0.001,0.001,0.049,0.0
2024-01-04 15:45:00,0.001,0.001,0.001,0.049,0.2
