,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-03 04:00:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-03 04:15:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-03 04:30:00,0.001,0.0,0.001,0.11133333333333333,3.2666666666666666,0.0
2024-01-03 04:45:00,0.001,0.0,0.001,0.8217333333333333,4.2,0.0
2024-01-03 05:00:00,0.001,0.0,0.001,0.050666666666666665,0.0,0.0
2024-01-03 05:15:00,0.001,0.0,0.001,0.038,0.0,2.4
2024-01-03 05:30:00,0.001,0.0,0.001,0.5762666666666667,0.0,0.0
2024-01-03 05:45:00,0.001,0.0,0.001,0.08766666666666666,0.0,0.0
2024-01-03 06:00:00,0.001,0.0,0.001,0.32566666666666666,0.0,0.0
2024-01-03 06:15:00,0.001,0.0,0.001,0.20959999999999998,0.0,0.0
2024-01-03 06:30:00,0.001,0.0,0.001,0.4499333333333333,0.0,0.0
2024-01-03 06:45:00,0.001,0.0,0.001,0.4378,0.0,0.0
2024-01-03 07:00:00,0.001,0.0,0.001,0.17126666666666665,0.0,0.0
2024-01-03 07:15:00,0.001,0.0,0.001,0.3,0.0,2.4
2024-01-03 07:30:00,0.001,0.0,0.001,0.5228666666666667,0.0,0.4
2024-01-03 07:45:00,0.001,0.0,0.001,0.18426666666666666,0.0,0.0
2024-01-03 08:00:00,0.001,0.0,0.001,0.5840666666666666,0.0,0.0
2024-01-03 08:15:00,0.001,0.0,0.001,0.051,0.0,0.0
2024-01-03 08:30:00,0.001,0.0,0.001,0.26366666666666666,0.0,0.2
2024-01-03 08:45:00,0.001,0.0,0.001,0.7080666666666667,0.0,2.6
2024-01-03 09:00:00,0.001,0.0,0.001,0.04493333333333333,0.0,0.0
2024-01-03 09:15:00,0.001,0.0,0.001,0.051,0.0,0.0
2024-01-03 09:30:00,0.001,0.0,0.001,0.051,0.0,1.6
2024-01-03 09:45:00,0.001,0.0,0.001,0.21433333333333332,0.0,0.8
2024-01-03 10:00:00,0.001,0.0,0.001,0.22433333333333333,0.0,0.0
