,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV
2024-01-03 08:15:00,0.001,0.001,0.0,0.21466666666666664,0.0
2024-01-03 08:30:00,0.001,0.001,0.0,0.20199999999999999,0.0
2024-01-03 08:45:00,0.001,0.001,0.0,0.13799999999999998,0.0
2024-01-03 09:00:00,0.001,0.001,0.0,0.13933333333333334,0.0
2024-01-03 09:15:00,0.001,0.001,0.0,0.17666666666666667,0.0
2024-01-03 09:30:00,0.001,0.001,0.0,0.20199999999999999,0.7333333333333333
2024-01-03 09:45:00,0.001,0.001,0.0,0.21466666666666664,8.066666666666666
2024-01-03 10:00:00,0.001,0.001,0.0,0.06466666666666668,0.0
2024-01-03 10:15:00,0.001,0.001,0.0,0.16,0.0
2024-01-03 10:30:00,0.001,0.001,0.0,0.07733333333333334,0.0
2024-01-03 10:45:00,0.001,0.001,0.0,0.3413333333333333,0.0
2024-01-03 11:00:00,0.001,0.001,0.0,0.2273333333333333,0.0
2024-01-03 11:15:00,0.001,0.001,0.0,0.05,0.0
2024-01-03 11:30:00,0.001,0.001,0.0,0.10133333333333333,0.0
2024-01-03 11:45:00,0.001,0.001,0.0,0.13799999999999998,0.0
2024-01-03 12:00:00,0.001,0.001,0.0,0.17666666666666667,0.0
2024-01-03 12:15:00,0.001,0.001,0.0,0.4046666666666667,0.0
2024-01-03 12:30:00,0.001,0.001,0.0,0.05,0.0
2024-01-03 12:45:00,0.001,0.001,0.0,0.5830666666666667,0.0
2024-01-03 13:00:00,0.001,0.001,0.0,0.15062087894116571,0.0
2024-01-03 13:15:00,0.001,0.001,0.0,0.24688553068624763,0.0
2024-01-03 13:30:00,0.001,0.001,0.0,0.2715521973529143,0.0
2024-01-03 13:45:00,0.001,0.001,0.0,0.24621886401958099,0.0
2024-01-03 14:00:00,0.001,0.001,0.0,0.09421886401958096,0.0
2024-01-03 14:15:00,0.001,0.001,0.0,0.16636813156860955,0.0
2024-01-03 14:30:00,0.001,0.001,0.0,0.38233333333333336,0.7333333333333333
2024-01-03 14:45:00,0.001,0.001,0.0,0.37566666666666665,0.7333333333333333
2024-01-03 15:00:00,0.001,0.001,0.0,0.19633333333333336,0.0
2024-01-03 15:15:00,0.001,0.001,0.0,0.29766666666666663,0.0
2024-01-03 15:30:00,0.001,0.001,0.0,0.11220000000000001,0.0
2024-01-03 15:45:00,0.001,0.001,0.0,0.18999999999999997,0.0
2024-01-03 16:00:00,0.001,0.001,0.0,0.328,0.0
2024-01-03 16:15:00,0.001,0.001,0.0,0.08800000000000001,0.0
2024-01-03 16:30:00,0.001,0.001,0.0,0.05,0.0
2024-01-03 16:45:00,0.001,0.001,0.0,0.15133333333333335,0.0
2024-01-03 17:00:00,0.001,0.001,0.0,0.18933333333333333,0.0
2024-01-03 17:15:00,0.001,0.001,0.0,0.328,0.0
2024-01-03 17:30:00,0.001,0.001,0.0,0.15620695964705522,0.0
2024-01-03 17:45:00,0.001,0.001,0.0,0.0815521973529143,0.0
2024-01-03 18:00:00,0.001,0.001,0.0,0.0815521973529143,0.0
2024-01-03 18:15:00,0.001,0.001,0.0,0.22088553068624764,0.0
2024-01-03 18:30:00,0.001,0.001,0.0,0.37921886401958094,0.0
2024-01-03 18:45:00,0.001,0.001,1.2003333333333333,0.24895421227449907,0.0
2024-01-03 19:00:00,0.001,0.001,1.8002,0.08791391005631703,0.0
2024-01-03 19:15:00,0.001,0.001,1.3504,0.15549040903934017,0.0
2024-01-03 19:30:00,0.001,0.001,0.30086666666666667,0.2464904090393402,0.0
2024-01-03 19:45:00,0.001,0.001,0.00013333333333333334,0.42349040903934015,0.0
2024-01-03 20:00:00,0.001,0.001,0.0,0.43229040903934013,0.0
2024-01-03 20:15:00,0.001,0.001,0.0,0.40859774644058094,0.0
2024-01-03 20:30:00,0.001,0.001,0.0,0.30065333333333333,0.0
2024-01-03 20:45:00,0.001,0.001,0.0,0.3050437728039162,0.0
2024-01-03 21:00:00,0.001,0.001,0.0,0.9143521973529142,0.0
2024-01-03 21:15:00,0.001,0.001,0.0,0.5555521973529143,0.0
2024-01-03 21:30:00,0.1064713048076884,0.001,0.0,0.5240816943019836,0.0
2024-01-03 21:45:00,0.7920347860576631,0.001,0.0,0.3877092730589211,0.0
2024-01-03 22:00:00,0.7920347860576631,0.001,0.0,0.36170927305892114,0.0
2024-01-03 22:15:00,0.7920347860576631,0.001,0.0,0.5263759397255877,0.0
2024-01-03 22:30:00,0.7920347860576631,0.001,0.0,0.4377092730589211,0.0
2024-01-03 22:45:00,0.7920347860576631,0.001,0.0,0.7508426063922545,0.0
2024-01-03 23:00:00,0.7920347860576631,0.001,0.0,1.144109273058921,0.0
2024-01-03 23:15:00,0.7920347860576631,0.001,0.0,0.3637092730589211,0.0
2024-01-03 23:30:00,0.7920347860576631,0.001,0.0,0.47324644277651834,0.0
2024-01-03 23:45:00,0.7920347860576631,0.001,0.0,0.29290135893469665,0.0
2024-01-04 00:00:00,0.7920347860576631,0.001,0.0,0.2557092730589211,0.0
2024-01-04 00:15:00,0.7920347860576631,0.001,0.0,0.36877795464717256,0.0
2024-01-04 00:30:00,0.7920347860576631,0.001,0.0,0.5701112879805058,0.0
2024-01-04 00:45:00,0.7920347860576631,0.001,0.0,0.5263759397255877,0.0
2024-01-04 01:00:00,0.001,0.001,0.0,0.3445131094431851,0.0
2024-01-04 01:15:00,0.001,0.001,0.0,0.0815521973529143,0.0
2024-01-04 01:30:00,0.001,0.001,0.0,0.19195219735291427,0.0
2024-01-04 01:45:00,0.001,0.001,0.0,0.15903479823527622,0.0
2024-01-04 02:00:00,0.001,0.001,0.0,0.9510666666666666,0.0
2024-01-04 02:15:00,0.001,0.001,0.0,0.21466666666666664,0.0
2024-01-04 02:30:00,0.001,0.001,0.0,0.05,0.0
2024-01-04 02:45:00,0.001,0.001,0.0,0.05,0.0
2024-01-04 03:00:00,0.001,0.001,0.0,0.06466666666666668,0.0
2024-01-04 03:15:00,0.001,0.001,0.0,0.32466666666666666,0.0
2024-01-04 03:30:00,0.001,0.001,0.0,0.33066666666666666,0.0
2024-01-04 03:45:00,0.001,0.001,0.0,0.10066666666666667,0.0
2024-01-04 04:00:00,0.001,0.001,0.0,0.05,0.7333333333333333
2024-01-04 04:15:00,0.001,0.001,0.0,0.05,2.933333333333333
2024-01-04 04:30:00,0.001,0.001,0.0,0.2533333333333333,0.0
2024-01-04 04:45:00,0.001,0.001,0.0,0.3026666666666667,0.0
2024-01-04 05:00:00,0.001,0.001,0.0,0.13866666666666666,0.0
2024-01-04 05:15:00,0.001,0.001,0.0,0.5257999999999999,0.0
2024-01-04 05:30:00,0.001,0.001,0.0,0.05,0.0
2024-01-04 05:45:00,0.001,0.001,0.0,0.18933333333333333,0.0
2024-01-04 06:00:00,0.001,0.001,0.0,0.3153333333333333,0.0
2024-01-04 06:15:00,0.001,0.001,0.0,0.5098,0.0
2024-01-04 06:30:00,0.001,0.001,0.0,0.2596,0.0
2024-01-04 06:45:00,0.001,0.001,0.0,0.16433333333333333,0.0
2024-01-04 07:00:00,0.001,0.001,0.0,0.18966666666666668,0.0
2024-01-04 07:15:00,0.001,0.001,0.0,0.259,0.0
2024-01-04 07:30:00,0.001,0.001,0.0,0.16,0.0
2024-01-04 07:45:00,0.001,0.001,0.0,0.06466666666666668,0.0
2024-01-04 08:00:00,0.001,0.001,0.0,0.08800000000000001,0.0
2024-01-04 08:15:00,0.001,0.001,0.0,0.29066666666666663,0.0
2024-01-04 08:30:00,0.001,0.001,0.0,0.23999999999999996,0.0
2024-01-04 08:45:00,0.001,0.001,0.0,0.114,0.0
2024-01-04 09:00:00,0.001,0.001,0.0,0.13799999999999998,0.0
2024-01-04 09:15:00,0.001,0.001,0.0,0.05,0.0
2024-01-04 09:30:00,0.001,0.001,0.0,0.164,0.0
2024-01-04 09:45:00,0.001,0.001,0.0,0.392,0.0
2024-01-04 10:00:00,0.001,0.001,0.0,0.07533333333333334,0.0
2024-01-04 10:15:00,0.001,0.001,0.0,0.13799999999999998,0.0
2024-01-04 10:30:00,0.001,0.001,0.0,0.10133333333333333,0.0
2024-01-04 10:45:00,0.001,0.001,0.0,0.13866666666666666,0.0
2024-01-04 11:00:00,0.001,0.001,0.0,0.23999999999999996,6.6
2024-01-04 11:15:00,0.001,0.001,0.0,0.25266666666666665,0.0
2024-01-04 11:30:00,0.001,0.001,0.0,0.06466666666666668,0.0
2024-01-04 11:45:00,0.001,0.001,0.0,0.16,0.0
2024-01-04 12:00:00,0.001,0.001,0.0,0.14066666666666666,0.0
2024-01-04 12:15:00,0.001,0.001,0.0,0.23999999999999996,0.0
2024-01-04 12:30:00,0.001,0.001,0.0,0.10066666666666667,0.0
2024-01-04 12:45:00,0.001,0.001,0.0,0.20199999999999999,0.0
2024-01-04 13:00:00,0.001,0.001,0.0,0.114,1.4666666666666666
2024-01-04 13:15:00,0.001,0.001,0.0,0.20133333333333334,0.0
2024-01-04 13:30:00,0.001,0.001,0.0,0.23999999999999996,0.0
2024-01-04 13:45:00,0.001,0.001,0.0,0.11333333333333333,0.0
2024-01-04 14:00:00,0.001,0.001,0.0,0.05,0.0
2024-01-04 14:15:00,0.001,0.001,0.0,0.17666666666666667,0.0
2024-01-04 14:30:00,0.001,0.001,0.0,0.22666666666666666,0.0
2024-01-04 14:45:00,0.001,0.001,0.0,0.29133333333333333,0.0
2024-01-04 15:00:00,0.001,0.001,0.0,0.126,0.0
2024-01-04 15:15:00,0.001,0.001,0.0,0.05346666666666667,0.0
2024-01-04 15:30:00,0.001,0.001,0.0,0.5960666666666666,0.0
2024-01-04 15:45:00,0.001,0.001,0.0,0.217,0.0
2024-01-04 16:00:00,0.001,0.001,0.0,0.42633333333333334,0.0
2024-01-04 16:15:00,0.001,0.001,0.0,0.16373333333333334,0.0
2024-01-04 16:30:00,0.001,0.001,0.0,0.18326666666666666,0.0
2024-01-04 16:45:00,0.001,0.001,0.0,0.31653333333333333,0.0
2024-01-04 17:00:00,0.001,0.001,0.0,0.07533333333333332,0.0
2024-01-04 17:15:00,0.001,0.001,0.0,0.7671333333333333,0.0
2024-01-04 17:30:00,0.001,0.001,0.0,0.7278,0.0
2024-01-04 17:45:00,0.001,0.001,0.0,0.05,0.0
2024-01-04 18:00:00,0.001,0.001,0.0,0.12146666666666667,0.0
2024-01-04 18:15:00,0.001,0.001,0.0,0.3105333333333333,0.0
2024-01-04 18:30:00,0.001,0.001,0.0,0.49599999999999994,0.0
2024-01-04 18:45:00,0.001,0.001,0.0,0.5586666666666666,0.0
2024-01-04 19:00:00,0.001,0.001,0.0,0.4600666666666667,0.0
2024-01-04 19:15:00,0.001,0.001,0.0,0.27686666666666665,0.0
2024-01-04 19:30:00,0.001,0.001,0.0,0.09046666666666667,0.0
2024-01-04 19:45:00,0.001,0.001,1.3503333333333332,0.3799313184117486,0.0
2024-01-04 20:00:00,0.001,0.001,1.6502666666666668,0.3517680256013633,0.0
2024-01-04 20:15:00,0.001,0.001,1.5003333333333333,0.39037593972558776,0.0
2024-01-04 20:30:00,0.001,0.001,0.15053333333333332,0.4903759397255877,0.0
2024-01-04 20:45:00,0.001,0.001,0.0,0.33637593972558777,0.0
2024-01-04 21:00:00,0.001,0.001,0.0,0.4498904090393402,0.0
2024-01-04 21:15:00,0.001,0.001,0.0,0.34761502763531704,0.0
2024-01-04 21:30:00,0.001,0.001,0.0,0.1853759397255878,0.0
2024-01-04 21:45:00,0.001,0.001,0.0,0.29430927305892113,0.0
2024-01-04 22:00:00,0.001,0.001,0.0,0.9446426063922544,0.0
2024-01-04 22:15:00,0.001,0.001,0.0,0.5010426063922544,0.0
2024-01-04 22:30:00,0.001,1.097658519979849,0.0,0.4649763930157769,0.0
2024-01-04 22:45:00,0.001,1.885593053077702,0.0,0.2961529979660462,0.0
2024-01-04 23:00:00,0.001,1.9703161243890035,0.0,0.27182374237267354,0.0
2024-01-04 23:15:00,0.001,1.8448225303006172,0.0,0.2026237423726735,0.0
2024-01-04 23:30:00,0.001,0.24163535205144038,0.0,0.37849040903934017,0.0
2024-01-04 23:45:00,0.001,0.001,0.0,0.22570215954782863,0.0
2024-01-05 00:00:00,0.001,0.001,0.0,0.05,0.0
2024-01-05 00:15:00,0.001,0.001,0.0,0.06466666666666668,0.0
2024-01-05 00:30:00,0.001,0.001,0.0,0.16,0.0
2024-01-05 00:45:00,0.001,0.001,0.0,0.20400000000000001,0.0
2024-01-05 01:00:00,0.001,0.001,0.0,0.36666666666666664,0.0
2024-01-05 01:15:00,0.001,0.001,0.0,0.07533333333333334,0.0
2024-01-05 01:30:00,0.001,0.001,0.0,0.05,0.0
2024-01-05 01:45:00,0.001,0.001,0.0,0.10133333333333333,0.0
2024-01-05 02:00:00,0.001,0.001,0.0,0.26466666666666666,0.0
2024-01-05 02:15:00,0.001,0.001,0.0,0.23999999999999996,0.0
2024-01-05 02:30:00,0.001,0.001,0.0,0.164,0.0
2024-01-05 02:45:00,0.001,0.001,0.0,0.10066666666666667,0.0
2024-01-05 03:00:00,0.001,0.001,0.0,0.05,0.0
2024-01-05 03:15:00,0.001,0.001,0.0,0.252,3.6666666666666665
2024-01-05 03:30:00,0.001,0.001,0.0,0.29133333333333333,0.0
2024-01-05 03:45:00,0.001,0.001,0.0,0.06266666666666668,0.0
2024-01-05 04:00:00,0.001,0.001,0.0,0.13866666666666666,0.0
2024-01-05 04:15:00,0.001,0.001,0.0,0.126,0.0
2024-01-05 04:30:00,0.001,0.001,0.0,0.16599999999999998,0.0
2024-01-05 04:45:00,0.001,0.001,0.0,0.35,0.0
2024-01-05 05:00:00,0.001,0.001,0.0,0.09000000000000001,0.0
2024-01-05 05:15:00,0.001,0.001,0.0,0.05,0.0
2024-01-05 05:30:00,0.001,0.001,0.0,0.11333333333333333,0.0
2024-01-05 05:45:00,0.001,0.001,0.0,0.23999999999999996,0.0
2024-01-05 06:00:00,0.001,0.001,0.0,0.29133333333333333,0.0
2024-01-05 06:15:00,0.001,0.001,0.0,0.17600000000000002,0.0
2024-01-05 06:30:00,0.001,0.001,0.0,0.5830666666666666,0.0
2024-01-05 06:45:00,0.001,0.001,0.0,0.05,0.0
