,TumbleDryer,WashingMachine,BaseLoad
2024-01-05 01:30:00,0.001,0.001,0.22080000000000002
2024-01-05 01:45:00,0.001,0.001,0.238
2024-01-05 02:00:00,0.001,0.001,0.06066666666666667
2024-01-05 02:15:00,0.001,0.001,0.048
2024-01-05 02:30:00,0.001,0.001,0.44780000000000003
2024-01-05 02:45:00,0.001,0.001,0.048
2024-01-05 03:00:00,0.001,0.001,0.22533333333333333
2024-01-05 03:15:00,0.001,0.001,0.14933333333333332
2024-01-05 03:30:00,0.001,0.001,0.048
2024-01-05 03:45:00,0.001,0.001,0.048
2024-01-05 04:00:00,0.001,0.001,0.048
2024-01-05 04:15:00,0.001,0.001,0.13666666666666666
2024-01-05 04:30:00,0.001,0.001,0.238
2024-01-05 04:45:00,0.001,0.001,0.5810666666666667
2024-01-05 05:00:00,0.001,0.001,0.048
2024-01-05 05:15:00,0.001,0.001,0.048
2024-01-05 05:30:00,0.001,0.001,0.048
2024-01-05 05:45:00,0.001,0.001,0.238
2024-01-05 06:00:00,0.001,0.001,0.13666666666666666
2024-01-05 06:15:00,0.001,0.001,0.048
2024-01-05 06:30:00,0.001,0.001,0.048
2024-01-05 06:45:00,0.001,0.001,0.048
2024-01-05 07:00:00,0.001,0.001,0.14933333333333332
2024-01-05 07:15:00,0.001,0.001,0.22533333333333333
2024-01-05 07:30:00,0.001,0.001,0.048
2024-01-05 07:45:00,0.001,0.001,0.048
2024-01-05 08:00:00,0.001,0.001,0.048
2024-01-05 08:15:00,0.001,0.001,0.06066666666666667
2024-01-05 08:30:00,0.001,0.001,0.238
2024-01-05 08:45:00,0.001,0.001,0.12399999999999999
2024-01-05 09:00:00,0.001,0.001,0.048
2024-01-05 09:15:00,0.001,0.001,0.048
2024-01-05 09:30:00,0.001,0.001,0.048
2024-01-05 09:45:00,0.001,0.001,0.16199999999999998
2024-01-05 10:00:00,0.001,0.001,0.21266666666666667
2024-01-05 10:15:00,0.001,0.001,0.048
2024-01-05 10:30:00,0.001,0.001,0.048
2024-01-05 10:45:00,0.001,0.001,0.048
2024-01-05 11:00:00,0.001,0.001,0.07333333333333333
2024-01-05 11:15:00,0.001,0.001,0.238
2024-01-05 11:30:00,0.001,0.001,0.11133333333333333
2024-01-05 11:45:00,0.001,0.001,0.5810666666666667
2024-01-05 12:00:00,0.001,0.001,0.048
2024-01-05 12:15:00,0.001,0.001,0.048
2024-01-05 12:30:00,0.001,0.001,0.17466666666666666
2024-01-05 12:45:00,0.001,0.001,0.2
2024-01-05 13:00:00,0.001,0.001,0.048
2024-01-05 13:15:00,0.001,0.001,0.048
2024-01-05 13:30:00,0.001,0.001,0.5810666666666667
2024-01-05 13:45:00,0.001,0.001,0.6190666666666668
2024-01-05 14:00:00,0.001,0.001,0.238
2024-01-05 14:15:00,0.001,0.001,0.49846666666666667
2024-01-05 14:30:00,0.001,0.001,0.048
2024-01-05 14:45:00,0.001,0.001,0.8480000000000001
2024-01-05 15:00:00,0.001,0.001,2.048
2024-01-05 15:15:00,0.001,0.001,0.4336
2024-01-05 15:30:00,0.001,0.001,0.30833333333333335
2024-01-05 15:45:00,0.001,0.001,1.2885333333333333
2024-01-05 16:00:00,0.001,0.001,1.4484666666666668
2024-01-05 16:15:00,0.001,0.001,0.169
2024-01-05 16:30:00,0.001,0.001,0.13899999999999998
2024-01-05 16:45:00,0.001,0.001,0.238
2024-01-05 17:00:00,0.001,0.001,0.08600000000000001
2024-01-05 17:15:00,0.001,0.001,0.048
2024-01-05 17:30:00,0.001,0.001,0.048
2024-01-05 17:45:00,0.001,0.001,0.05606666666666667
2024-01-05 18:00:00,0.001,0.001,0.32099999999999995
2024-01-05 18:15:00,0.001,0.001,0.29566666666666663
2024-01-05 18:30:00,0.001,0.001,0.9686666666666668
2024-01-05 18:45:00,0.001,0.001,2.2407333333333335
2024-01-05 19:00:00,0.001,0.001,0.29
2024-01-05 19:15:00,0.001,0.001,0.2954576920980267
2024-01-05 19:30:00,0.001,0.001,0.4147521973529143
2024-01-05 19:45:00,0.001,0.001,0.4011655306862476
2024-01-05 20:00:00,0.001,0.001,0.45725219735291434
2024-01-05 20:15:00,0.001,0.001,0.3764013589346967
2024-01-05 20:30:00,0.001,0.001,0.34317447482364494
2024-01-05 20:45:00,0.001,0.001,0.6021904090393401
2024-01-05 21:00:00,0.001,0.001,0.5515237423726734
2024-01-05 21:15:00,0.001,0.001,0.4396272221962011
2024-01-05 21:30:00,0.001,0.001,0.4604051953189606
2024-01-05 21:45:00,0.001,0.001,0.392718864019581
2024-01-05 22:00:00,0.001,0.001,0.3136915266183402
2024-01-05 22:15:00,0.001,0.001,0.45740927305892115
2024-01-05 22:30:00,0.001,0.001,0.40914260639225447
2024-01-05 22:45:00,0.001,0.001,0.8373237423726735
2024-01-05 23:00:00,0.001,0.001,0.4375237423726735
2024-01-05 23:15:00,0.001,0.001,0.4312177464405809
2024-01-05 23:30:00,0.001,0.001,0.5707666666666668
2024-01-05 23:45:00,0.001,0.001,0.29309999999999997
2024-01-06 00:00:00,0.001,0.001,0.1837
2024-01-06 00:15:00,0.001,0.001,0.1837
2024-01-06 00:30:00,0.001,0.001,0.1981
2024-01-06 00:45:00,0.001,0.001,0.25766666666666665
2024-01-06 01:00:00,0.001,0.001,0.38844871752938664
2024-01-06 01:15:00,0.001,0.001,0.20055219735291427
2024-01-06 01:30:00,0.001,0.001,0.20055219735291427
2024-01-06 01:45:00,0.001,0.001,0.15215219735291427
2024-01-06 02:00:00,0.001,0.001,0.060620878941165725
2024-01-06 02:15:00,0.001,0.001,0.238
2024-01-06 02:30:00,0.001,0.001,0.13666666666666666
2024-01-06 02:45:00,0.001,0.001,0.048
2024-01-06 03:00:00,0.001,0.001,0.048
2024-01-06 03:15:00,0.001,0.001,0.048
2024-01-06 03:30:00,0.001,0.001,0.14933333333333332
2024-01-06 03:45:00,0.001,0.001,0.22533333333333333
