,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-12 12:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 12:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 13:00:00,0.001,0.0,0.001,0.11033333333333334,0.0,0.0
2024-01-12 13:15:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-12 13:30:00,0.001,0.0,0.001,0.11033333333333334,0.0,0.0
2024-01-12 13:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 14:00:00,0.001,0.0,0.001,0.047,0.0,1.8
2024-01-12 14:15:00,0.001,0.0,0.001,0.047,0.0,1.4
2024-01-12 14:30:00,0.001,0.0,0.001,0.13566666666666669,0.0,0.0
2024-01-12 14:45:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-12 15:00:00,0.001,0.0,0.001,0.08499999999999999,0.0,0.0
2024-01-12 15:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 15:30:00,0.001,0.0,0.001,0.4467999999999999,0.0,0.0
2024-01-12 15:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 16:00:00,0.001,0.0,0.001,0.161,0.0,0.0
2024-01-12 16:15:00,0.001,0.0,0.001,0.34740000000000004,0.0,0.0
2024-01-12 16:30:00,0.001,0.0,0.001,0.059666666666666666,0.0,0.0
2024-01-12 16:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 17:00:00,0.001,0.0,0.001,0.047,13.0,0.0
2024-01-12 17:15:00,0.001,0.0,0.001,0.047,4.0,0.0
2024-01-12 17:30:00,0.001,0.0,0.001,0.18633333333333332,0.0,0.0
2024-01-12 17:45:00,0.001,0.0,0.001,0.22433333333333333,0.0,0.0
2024-01-12 18:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 18:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-12 18:30:00,0.001,0.0,0.001,0.047,0.0,0.6
2024-01-12 18:45:00,0.001,0.0,0.001,0.047,0.0,2.6
2024-01-12 19:00:00,0.001,0.0,0.001,0.21166666666666664,0.0,0.0
2024-01-12 19:15:00,0.001,0.0,0.001,0.19899999999999998,0.0,0.0
2024-01-12 19:30:00,0.001,0.0,0.001,0.050941247457557834,0.0,0.0
2024-01-12 19:45:00,0.001,0.0,0.001,0.0588237423726735,0.0,0.0
2024-01-12 20:00:00,0.001,0.0,0.001,0.0588237423726735,0.0,0.0
2024-01-12 20:15:00,0.001,0.0,0.001,0.0588237423726735,0.0,0.0
2024-01-12 20:30:00,0.001,0.0,0.001,0.24882374237267352,0.0,0.0
2024-01-12 20:45:00,0.001,0.0,0.001,0.2830904090393402,0.0,0.0
2024-01-12 21:00:00,0.001,0.0,0.001,0.17924724338965037,0.0,0.0
2024-01-12 21:15:00,0.001,0.0,0.001,0.169,0.0,0.0
2024-01-12 21:30:00,0.001,0.0,0.001,0.18372435876469334,0.0,0.0
2024-01-12 21:45:00,0.001,0.0,0.001,0.22588553068624764,0.0,0.0
2024-01-12 22:00:00,0.001,0.0,0.0836337114293139,0.3498855306862476,0.0,0.0
2024-01-12 22:15:00,0.001,0.0,0.35241852509254945,0.17988553068624763,0.0,0.0
2024-01-12 22:30:00,0.001,0.0,0.759159940451665,0.08170519531896056,0.0,0.0
2024-01-12 22:45:00,0.001,0.0,0.1313832674071484,0.06934114149031159,0.0,0.0
2024-01-12 23:00:00,0.001,0.0,0.16556550051723923,0.1314237423726735,0.0,0.0
2024-01-12 23:15:00,0.001,0.0,1.1133278462578373,0.23049040903934018,0.0,0.6
2024-01-12 23:30:00,0.001,0.0,0.6646948238997311,0.3698237423726735,0.0,2.8
2024-01-12 23:45:00,0.001,0.0,0.12497312234815415,0.2534589938981388,0.0,0.0
2024-01-13 00:00:00,0.001,0.0,0.2759831373647351,0.1798237423726735,0.0,0.0
2024-01-13 00:15:00,0.001,0.0,0.8756974757013526,0.16579388886286778,0.0,0.0
2024-01-13 00:30:00,0.001,0.0,0.07226666666666669,0.0903759397255878,0.0,0.0
2024-01-13 00:45:00,0.001,0.0,0.001,0.1663759397255878,0.0,0.0
2024-01-13 01:00:00,0.001,0.0,0.001,0.2803759397255878,0.0,0.0
2024-01-13 01:15:00,0.001,0.0,0.001,0.13946610740923132,0.0,0.0
2024-01-13 01:30:00,0.001,0.0,0.001,0.07013827805880382,0.0,0.0
2024-01-13 01:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-13 02:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-13 02:15:00,0.001,0.0,0.001,0.14833333333333334,0.0,0.0
2024-01-13 02:30:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-13 02:45:00,0.001,0.0,0.001,0.07233333333333333,0.0,0.0
2024-01-13 03:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-13 03:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-13 03:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-13 03:45:00,0.001,0.0,0.001,0.17366666666666666,0.0,0.0
2024-01-13 04:00:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-13 04:15:00,0.001,0.0,0.001,0.047,0.0,2.0
2024-01-13 04:30:00,0.001,0.0,0.001,0.9798666666666666,0.0,1.4
2024-01-13 04:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-13 05:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-13 05:15:00,0.001,0.0,0.001,0.19899999999999998,0.0,0.0
2024-01-13 05:30:00,0.001,0.0,0.001,0.2686,0.0,0.0
2024-01-13 05:45:00,0.001,0.0,0.001,0.169,0.0,0.0
2024-01-13 06:00:00,0.001,0.0,0.001,0.169,0.0,0.0
2024-01-13 06:15:00,0.001,0.0,0.001,0.169,0.0,0.0
2024-01-13 06:30:00,0.001,0.0,0.001,0.15273333333333336,0.0,0.0
2024-01-13 06:45:00,0.001,0.0,0.001,0.22433333333333333,0.0,0.0
2024-01-13 07:00:00,0.001,0.0,0.001,0.18633333333333332,0.0,0.0
2024-01-13 07:15:00,0.001,0.0,0.001,0.5800666666666666,0.0,0.0
